id,name,ordnance_id
ocd-division/country:uk/cty:buckinghamshire_county/diw:hambleden_valley_ward,Hambleden Valley Ward,E05002685
ocd-division/country:uk/cty:buckinghamshire_county/diw:stokenchurch_and_radnage_ward,Stokenchurch and Radnage Ward,E05002696
ocd-division/country:uk/cty:buckinghamshire_county/diw:greater_marlow_ward,Greater Marlow Ward,E05002684
ocd-division/country:uk/cty:buckinghamshire_county/diw:flackwell_heath_and_little_marlow_ward,Flackwell Heath and Little Marlow Ward,E05002682
ocd-division/country:uk/cty:buckinghamshire_county/diw:chiltern_rise_ward,Chiltern Rise Ward,E05002679
ocd-division/country:uk/cty:buckinghamshire_county/diw:bledlow_and_bradenham_ward,Bledlow and Bradenham Ward,E05002675
ocd-division/country:uk/cty:buckinghamshire_county/diw:lacey_green_speen_and_the_hampdens_ward,"Lacey Green, Speen and the Hampdens Ward",E05002689
ocd-division/country:uk/cty:buckinghamshire_county/diw:icknield_ward,Icknield Ward,E05002688
ocd-division/country:uk/cty:buckinghamshire_county/diw:marlow_north_and_west_ward,Marlow North and West Ward,E05002690
ocd-division/country:uk/cty:buckinghamshire_county/diw:booker_and_cressex_ward,Booker and Cressex Ward,E05002676
ocd-division/country:uk/cty:buckinghamshire_county/diw:abbey_ward,Abbey Ward,E05002674
ocd-division/country:uk/cty:buckinghamshire_county/diw:the_wooburns_ward,The Wooburns Ward,E05002700
ocd-division/country:uk/cty:buckinghamshire_county/diw:sands_ward,Sands Ward,E05002695
ocd-division/country:uk/cty:buckinghamshire_county/diw:disraeli_ward,Disraeli Ward,E05002680
ocd-division/country:uk/cty:buckinghamshire_county/diw:terriers_and_amersham_hill_ward,Terriers and Amersham Hill Ward,E05002697
ocd-division/country:uk/cty:buckinghamshire_county/diw:greater_hughenden_ward,Greater Hughenden Ward,E05002683
ocd-division/country:uk/cty:buckinghamshire_county/diw:tylers_green_and_loudwater_ward,Tylers Green and Loudwater Ward,E05002701
ocd-division/country:uk/cty:buckinghamshire_county/diw:the_risboroughs_ward,The Risboroughs Ward,E05002699
ocd-division/country:uk/cty:buckinghamshire_county/diw:marlow_south_east_ward,Marlow South East Ward,E05002691
ocd-division/country:uk/cty:buckinghamshire_county/diw:ryemead_ward,Ryemead Ward,E05002694
ocd-division/country:uk/cty:buckinghamshire_county/diw:bourne_end-cum-hedsor_ward,Bourne End-cum-Hedsor Ward,E05002677
ocd-division/country:uk/cty:buckinghamshire_county/diw:oakridge_and_castlefield_ward,Oakridge and Castlefield Ward,E05002693
ocd-division/country:uk/cty:buckinghamshire_county/diw:downley_and_plomer_hill_ward,Downley and Plomer Hill Ward,E05002681
ocd-division/country:uk/cty:buckinghamshire_county/diw:totteridge_ward,Totteridge Ward,E05002698
ocd-division/country:uk/cty:buckinghamshire_county/diw:micklefield_ward,Micklefield Ward,E05002692
ocd-division/country:uk/cty:buckinghamshire_county/diw:hazlemere_south_ward,Hazlemere South Ward,E05002687
ocd-division/country:uk/cty:buckinghamshire_county/diw:hazlemere_north_ward,Hazlemere North Ward,E05002686
ocd-division/country:uk/cty:buckinghamshire_county/diw:bowerdean_ward,Bowerdean Ward,E05002678
ocd-division/country:uk/cty:buckinghamshire_county/diw:burnham_lent_rise_taplow_ward,Burnham Lent Rise & Taplow Ward,E05010572
ocd-division/country:uk/cty:buckinghamshire_county/diw:wexham_fulmer_ward,Wexham & Fulmer Ward,E05010579
ocd-division/country:uk/cty:buckinghamshire_county/diw:denham_ward,Denham Ward,E05010573
ocd-division/country:uk/cty:buckinghamshire_county/diw:burnham_church_beeches_ward,Burnham Church & Beeches Ward,E05010571
ocd-division/country:uk/cty:buckinghamshire_county/diw:farnham_hedgerley_ward,Farnham & Hedgerley Ward,E05010574
ocd-division/country:uk/cty:buckinghamshire_county/diw:beaconsfield_south_ward,Beaconsfield South Ward,E05010569
ocd-division/country:uk/cty:buckinghamshire_county/diw:iver_village_richings_park_ward,Iver Village & Richings Park Ward,E05010577
ocd-division/country:uk/cty:buckinghamshire_county/diw:stoke_poges_ward,Stoke Poges Ward,E05010578
ocd-division/country:uk/cty:buckinghamshire_county/diw:iver_heath_ward,Iver Heath Ward,E05010576
ocd-division/country:uk/cty:buckinghamshire_county/diw:gerrards_cross_ward,Gerrards Cross Ward,E05010575
ocd-division/country:uk/cty:buckinghamshire_county/diw:beaconsfield_north_ward,Beaconsfield North Ward,E05010568
ocd-division/country:uk/cty:buckinghamshire_county/diw:beaconsfield_west_ward,Beaconsfield West Ward,E05010570
ocd-division/country:uk/cty:buckinghamshire_county/diw:penn_and_coleshill_ward,Penn and Coleshill Ward,E05002649
ocd-division/country:uk/cty:buckinghamshire_county/diw:ballinger_south_heath_and_chartridge_ward,"Ballinger, South Heath and Chartridge Ward",E05002636
ocd-division/country:uk/cty:buckinghamshire_county/diw:cholesbury_the_lee_and_bellingdon_ward,"Cholesbury, The Lee and Bellingdon Ward",E05002641
