id,name,ordnance_id,sameAs
ocd-division/country:uk/lac:havering_and_redbridge,Havering and Redbridge,E32000009,
ocd-division/country:uk/lac:croydon_and_sutton,Croydon and Sutton,E32000005,
ocd-division/country:uk/lac:bexley_and_bromley,Bexley and Bromley,E32000002,
ocd-division/country:uk/lac:south_west,South West,E32000013,
ocd-division/country:uk/lac:ealing_and_hillingdon,Ealing and Hillingdon,E32000006,
ocd-division/country:uk/lac:brent_and_harrow,Brent and Harrow,E32000003,
ocd-division/country:uk/lac:barnet_and_camden,Barnet and Camden,E32000001,
ocd-division/country:uk/lac:lambeth_and_southwark,Lambeth and Southwark,E32000010,
ocd-division/country:uk/lac:greenwich_and_lewisham,Greenwich and Lewisham,E32000008,
ocd-division/country:uk/lac:north_east,North East,E32000012,
ocd-division/country:uk/lac:enfield_and_haringey,Enfield and Haringey,E32000007,
ocd-division/country:uk/lac:city_and_east,City and East,E32000004,
ocd-division/country:uk/lac:merton_and_wandsworth,Merton and Wandsworth,E32000011,
ocd-division/country:uk/lac:west_central,West Central,E32000014,
