id,name,gss_code
ocd-division/country:uk/pfa:cumbria,Cumbria,E23000002
ocd-division/country:uk/pfa:lancashire,Lancashire,E23000003
ocd-division/country:uk/pfa:merseyside,Merseyside,E23000004
ocd-division/country:uk/pfa:cheshire,Cheshire,E23000006
ocd-division/country:uk/pfa:northumbria,Northumbria,E23000007
ocd-division/country:uk/pfa:durham,Durham,E23000008
ocd-division/country:uk/pfa:north_yorkshire,North Yorkshire,E23000009
ocd-division/country:uk/pfa:west_yorkshire,West Yorkshire,E23000010
ocd-division/country:uk/pfa:south_yorkshire,South Yorkshire,E23000011
ocd-division/country:uk/pfa:humberside,Humberside,E23000012
ocd-division/country:uk/pfa:cleveland,Cleveland,E23000013
ocd-division/country:uk/pfa:west_midlands,West Midlands,E23000014
ocd-division/country:uk/pfa:staffordshire,Staffordshire,E23000015
ocd-division/country:uk/pfa:west_mercia,West Mercia,E23000016
ocd-division/country:uk/pfa:warwickshire,Warwickshire,E23000017
ocd-division/country:uk/pfa:derbyshire,Derbyshire,E23000018
ocd-division/country:uk/pfa:nottinghamshire,Nottinghamshire,E23000019
ocd-division/country:uk/pfa:lincolnshire,Lincolnshire,E23000020
ocd-division/country:uk/pfa:leicestershire,Leicestershire,E23000021
ocd-division/country:uk/pfa:northamptonshire,Northamptonshire,E23000022
ocd-division/country:uk/pfa:cambridgeshire,Cambridgeshire,E23000023
ocd-division/country:uk/pfa:norfolk,Norfolk,E23000024
ocd-division/country:uk/pfa:suffolk,Suffolk,E23000025
ocd-division/country:uk/pfa:bedfordshire,Bedfordshire,E23000026
ocd-division/country:uk/pfa:hertfordshire,Hertfordshire,E23000027
ocd-division/country:uk/pfa:essex,Essex,E23000028
ocd-division/country:uk/pfa:thames_valley,Thames Valley,E23000029
ocd-division/country:uk/pfa:hampshire,Hampshire,E23000030
ocd-division/country:uk/pfa:surrey,Surrey,E23000031
ocd-division/country:uk/pfa:kent,Kent,E23000032
ocd-division/country:uk/pfa:sussex,Sussex,E23000033
ocd-division/country:uk/pfa:devon_and_cornwall,Devon and Cornwall,E23000035
ocd-division/country:uk/pfa:avon_and_somerset,Avon and Somerset,E23000036
ocd-division/country:uk/pfa:gloucestershire,Gloucestershire,E23000037
ocd-division/country:uk/pfa:wiltshire,Wiltshire,E23000038
ocd-division/country:uk/pfa:dorset,Dorset,E23000039
ocd-division/country:uk/pfa:north_wales,North Wales,W15000001
ocd-division/country:uk/pfa:gwent,Gwent,W15000002
ocd-division/country:uk/pfa:south_wales,South Wales,W15000003
ocd-division/country:uk/pfa:dyfed-powys,Dyfed-Powys,W15000004
