id,name,ordnance_id,sameAs
ocd-division/country:uk/spe:central_scotland_per,Central Scotland PER,S17000009,
ocd-division/country:uk/spe:glasgow_per,Glasgow PER,S17000017,
ocd-division/country:uk/spe:highlands_and_islands_per,Highlands and Islands PER,S17000011,
ocd-division/country:uk/wae:south_wales_west_assembly_er,South Wales West Assembly ER,W10000009,
ocd-division/country:uk/wae:south_wales_central_assembly_er,South Wales Central Assembly ER,W10000007,
ocd-division/country:uk/wae:south_wales_east_assembly_er,South Wales East Assembly ER,W10000008,
ocd-division/country:uk/wae:mid_and_west_wales_assembly_er,Mid and West Wales Assembly ER,W10000006,
ocd-division/country:uk/wae:north_wales_assembly_er,North Wales Assembly ER,W10000001,
ocd-division/country:uk/spe:north_east_scotland_per,North East Scotland PER,S17000014,
ocd-division/country:uk/spe:south_scotland_per,South Scotland PER,S17000015,
ocd-division/country:uk/spe:mid_scotland_and_fife_per,Mid Scotland and Fife PER,S17000013,
ocd-division/country:uk/spe:lothian_per,Lothian PER,S17000012,
ocd-division/country:uk/spe:west_scotland_per,West Scotland PER,S17000018,
