id,name,ordnance_id,sameAs
ocd-division/country:uk/ute:fairwood,Fairwood,W05000966,
ocd-division/country:uk/ute:cockett,Cockett,W05000963,
ocd-division/country:uk/ute:clydach,Clydach,W05000962,
ocd-division/country:uk/ute:penclawdd,Penclawdd,W05000974,
ocd-division/country:uk/ute:gower,Gower,W05000524,
ocd-division/country:uk/ute:llangyfelach,Llangyfelach,W05000970,
ocd-division/country:uk/ute:mawr,Mawr,W05000533,
ocd-division/country:uk/ute:pennard,Pennard,W05000977,
ocd-division/country:uk/ute:west_cross,West Cross,W05000550,
ocd-division/country:uk/ute:mayals,Mayals,W05000534,
ocd-division/country:uk/ute:sketty,Sketty,W05000546,
ocd-division/country:uk/ute:st_thomas,St. Thomas,W05000545,
ocd-division/country:uk/ute:bonymaen,Bonymaen,W05000960,
ocd-division/country:uk/ute:gowerton,Gowerton,W05000525,
ocd-division/country:uk/ute:kingsbridge,Kingsbridge,W05000968,
ocd-division/country:uk/ute:penllergaer,Penllergaer,W05000976,
ocd-division/country:uk/ute:penyrheol,Penyrheol,W05000978,
ocd-division/country:uk/ute:mynyddbach,Mynyddbach,W05000973,
ocd-division/country:uk/ute:morriston,Morriston,W05000972,
ocd-division/country:uk/ute:llansamlet,Llansamlet,W05000971,
ocd-division/country:uk/ute:pontardulais,Pontardulais,W05000544,
ocd-division/country:uk/ute:oystermouth,Oystermouth,W05000538,
ocd-division/country:uk/ute:bishopston,Bishopston,W05000959,
ocd-division/country:uk/ute:newton,Newton,W05000537,
ocd-division/country:uk/ute:killay_south,Killay South,W05000527,
ocd-division/country:uk/ute:killay_north,Killay North,W05000526,
ocd-division/country:uk/ute:dunvant,Dunvant,W05000965,
ocd-division/country:uk/ute:uplands,Uplands,W05000548,
ocd-division/country:uk/ute:castle,Castle,W05000961,
ocd-division/country:uk/ute:townhill,Townhill,W05000979,
ocd-division/country:uk/ute:cwmbwrla,Cwmbwrla,W05000964,
ocd-division/country:uk/ute:landore,Landore,W05000969,
ocd-division/country:uk/ute:lower_loughor,Lower Loughor,W05000532,
ocd-division/country:uk/ute:upper_loughor,Upper Loughor,W05000980,
ocd-division/country:uk/ute:gorseinon,Gorseinon,W05000967,
ocd-division/country:uk/ute:penderry,Penderry,W05000975,
ocd-division/country:uk/ute:sirhowy,Sirhowy,W05000764,
ocd-division/country:uk/ute:llanhilleth,Llanhilleth,W05000761,
ocd-division/country:uk/ute:six_bells,Six Bells,W05000765,
ocd-division/country:uk/ute:abertillery,Abertillery,W05000751,
ocd-division/country:uk/ute:tredegar_central_and_west,Tredegar Central and West,W05000766,
ocd-division/country:uk/ute:georgetown,Georgetown,W05000760,
ocd-division/country:uk/ute:cwmtillery,Cwmtillery,W05000941,
ocd-division/country:uk/ute:cwm,Cwm,W05000940,
ocd-division/country:uk/ute:blaina,Blaina,W05000938,
ocd-division/country:uk/ute:ebbw_vale_south,Ebbw Vale South,W05000943,
ocd-division/country:uk/ute:badminton,Badminton,W05000936,
ocd-division/country:uk/ute:nantyglo,Nantyglo,W05000944,
ocd-division/country:uk/ute:brynmawr,Brynmawr,W05000939,
ocd-division/country:uk/ute:rassau,Rassau,W05000945,
ocd-division/country:uk/ute:ebbw_vale_north,Ebbw Vale North,W05000942,
ocd-division/country:uk/ute:beaufort,Beaufort,W05000937,
ocd-division/country:uk/ute:llantwit_major,Llantwit Major,W05000645,
ocd-division/country:uk/ute:peterston-super-ely,Peterston-super-Ely,W05000646,
ocd-division/country:uk/ute:st_athan,St. Athan,W05000649,
ocd-division/country:uk/ute:baruc,Baruc,W05000632,
ocd-division/country:uk/ute:dyfan,Dyfan,W05000640,
ocd-division/country:uk/ute:sully,Sully,W05000935,
ocd-division/country:uk/ute:cadoc,Cadoc,W05000634,
ocd-division/country:uk/ute:st_brides_major,St. Bride's Major,W05000651,
ocd-division/country:uk/ute:llandow~ewenny,Llandow/Ewenny,W05000644,
ocd-division/country:uk/ute:rhoose,Rhoose,W05000648,
ocd-division/country:uk/ute:cowbridge,Cowbridge,W05000638,
ocd-division/country:uk/ute:wenvoe,Wenvoe,W05000654,
ocd-division/country:uk/ute:dinas_powys,Dinas Powys,W05000932,
ocd-division/country:uk/ute:st_augustines,St. Augustine's,W05000650,
ocd-division/country:uk/ute:castleland,Castleland,W05000635,
ocd-division/country:uk/ute:illtyd,Illtyd,W05000642,
ocd-division/country:uk/ute:buttrills,Buttrills,W05000633,
ocd-division/country:uk/ute:gibbonsdown,Gibbonsdown,W05000641,
ocd-division/country:uk/ute:court,Court,W05000637,
ocd-division/country:uk/ute:plymouth,Plymouth,W05000934,
ocd-division/country:uk/ute:llandough,Llandough,W05000933,
ocd-division/country:uk/ute:stanwell,Stanwell,W05000652,
ocd-division/country:uk/ute:cornerswell,Cornerswell,W05000636,
ocd-division/country:uk/ute:lisvane,Lisvane,W05000865,
ocd-division/country:uk/ute:ely,Ely,W05000860,
ocd-division/country:uk/ute:creigiau~st_fagans,Creigiau/St. Fagans,W05000858,
ocd-division/country:uk/ute:pentyrch,Pentyrch,W05000871,
ocd-division/country:uk/ute:grangetown,Grangetown,W05000863,
ocd-division/country:uk/ute:splott,Splott,W05000879,
ocd-division/country:uk/ute:whitchurch_and_tongwynlais,Whitchurch and Tongwynlais,W05000881,
ocd-division/country:uk/ute:rumney,Rumney,W05001015,
ocd-division/country:uk/ute:trowbridge,Trowbridge,W05001016,
ocd-division/country:uk/ute:pontprennau~old_st_mellons,Pontprennau/Old St. Mellons,W05000900,
ocd-division/country:uk/ute:caerau,Caerau,W05000855,
ocd-division/country:uk/ute:fairwater,Fairwater,W05000861,
ocd-division/country:uk/ute:llandaff,Llandaff,W05000866,
ocd-division/country:uk/ute:radyr,Radyr,W05000875,
ocd-division/country:uk/ute:canton,Canton,W05000856,
ocd-division/country:uk/ute:riverside,Riverside,W05000877,
