id,name
ocd-division/country:uk/community:birchgrove,Birchgrove
ocd-division/country:uk/community:bishopston,Bishopston
ocd-division/country:uk/community:bishopston/community_ward:murton,Murton
ocd-division/country:uk/community:bishopston,Bishopston
ocd-division/country:uk/community:bishopston/community_ward:bishopston,Bishopston
ocd-division/country:uk/community:bonymaen,Bonymaen
ocd-division/country:uk/community:castle,Castle
ocd-division/country:uk/community:clydach,Clydach
ocd-division/country:uk/community:clydach/community_ward:vardre,Vardre
ocd-division/country:uk/community:clydach,Clydach
ocd-division/country:uk/community:clydach/community_ward:clydach,Clydach
ocd-division/country:uk/community:clydach,Clydach
ocd-division/country:uk/community:clydach/community_ward:glais,Glais
ocd-division/country:uk/community:clydach,Clydach
ocd-division/country:uk/community:clydach/community_ward:graigfelen,Graigfelen
ocd-division/country:uk/community:cockett,Cockett
ocd-division/country:uk/community:cwmbwrla,Cwmbwrla
ocd-division/country:uk/community:dunvant,Dunvant
ocd-division/country:uk/community:gorseinon,Gorseinon
ocd-division/country:uk/community:gorseinon/community_ward:gorseinon_west,Gorseinon West
ocd-division/country:uk/community:gorseinon,Gorseinon
ocd-division/country:uk/community:gorseinon/community_ward:gorseinon_central,Gorseinon Central
ocd-division/country:uk/community:gorseinon,Gorseinon
ocd-division/country:uk/community:gorseinon/community_ward:gorseinon_east,Gorseinon East
ocd-division/country:uk/community:gorseinon,Gorseinon
ocd-division/country:uk/community:gorseinon/community_ward:penyrheol,Penyrheol
ocd-division/country:uk/community:gowerton,Gowerton
ocd-division/country:uk/community:gowerton/community_ward:gowerton_east,Gowerton East
ocd-division/country:uk/community:gowerton,Gowerton
ocd-division/country:uk/community:gowerton/community_ward:gowerton_west,Gowerton West
ocd-division/country:uk/community:grovesend_and_waungron,Grovesend and Waungron
ocd-division/country:uk/community:ilston,Ilston
ocd-division/country:uk/community:ilston/community_ward:penmaen,Penmaen
ocd-division/country:uk/community:ilston,Ilston
ocd-division/country:uk/community:ilston/community_ward:ilston,Ilston
ocd-division/country:uk/community:ilston,Ilston
ocd-division/country:uk/community:ilston/community_ward:nicholaston,Nicholaston
ocd-division/country:uk/community:killay,Killay
ocd-division/country:uk/community:killay/community_ward:north,North
ocd-division/country:uk/community:killay,Killay
ocd-division/country:uk/community:killay/community_ward:south,South
ocd-division/country:uk/community:landore,Landore
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton,"Llangennith, Llanmadoc and Cheriton"
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton/community_ward:llanmadoc,Llanmadoc
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton,"Llangennith, Llanmadoc and Cheriton"
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton/community_ward:cheriton,Cheriton
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton,"Llangennith, Llanmadoc and Cheriton"
ocd-division/country:uk/community:llangennith_llanmadoc_and_cheriton/community_ward:llangennith,Llangennith
ocd-division/country:uk/community:llangyfelach,Llangyfelach
ocd-division/country:uk/community:llanrhidian_higher,Llanrhidian Higher
ocd-division/country:uk/community:llanrhidian_higher/community_ward:penclawdd,Penclawdd
ocd-division/country:uk/community:llanrhidian_higher,Llanrhidian Higher
ocd-division/country:uk/community:llanrhidian_higher/community_ward:llannmorlais,Llannmorlais
ocd-division/country:uk/community:llanrhidian_lower,Llanrhidian Lower
ocd-division/country:uk/community:llansamlet,Llansamlet
ocd-division/country:uk/community:llwchwr,Llwchwr
ocd-division/country:uk/community:llwchwr/community_ward:upper_loughor,Upper Loughor
ocd-division/country:uk/community:llwchwr,Llwchwr
ocd-division/country:uk/community:llwchwr/community_ward:kingsbridge,Kingsbridge
ocd-division/country:uk/community:llwchwr,Llwchwr
ocd-division/country:uk/community:llwchwr/community_ward:garden_village,Garden Village
ocd-division/country:uk/community:llwchwr,Llwchwr
ocd-division/country:uk/community:llwchwr/community_ward:lower_loughor,Lower Loughor
ocd-division/country:uk/community:mawr,Mawr
ocd-division/country:uk/community:mawr/community_ward:garnswllt,Garnswllt
ocd-division/country:uk/community:mawr,Mawr
ocd-division/country:uk/community:mawr/community_ward:felindre,Felindre
ocd-division/country:uk/community:mawr,Mawr
ocd-division/country:uk/community:mawr/community_ward:craig-cefn-parc,Craig-cefn-parc
ocd-division/country:uk/community:morriston,Morriston
ocd-division/country:uk/community:mumbles,Mumbles
ocd-division/country:uk/community:mumbles/community_ward:mayals,Mayals
ocd-division/country:uk/community:mumbles,Mumbles
ocd-division/country:uk/community:mumbles/community_ward:oystermouth,Oystermouth
ocd-division/country:uk/community:mumbles,Mumbles
ocd-division/country:uk/community:mumbles/community_ward:newton,Newton
ocd-division/country:uk/community:mumbles,Mumbles
ocd-division/country:uk/community:mumbles/community_ward:west_cross,West Cross
ocd-division/country:uk/community:mynyddbach,Mynyddbach
ocd-division/country:uk/community:penderry,Penderry
ocd-division/country:uk/community:penllergaer,Penllergaer
ocd-division/country:uk/community:penllergaer/community_ward:east,East
ocd-division/country:uk/community:penllergaer,Penllergaer
