id,name,ordnance_id
ocd-division/country:uk/wmc:aberavon_co,Aberavon Co,W07000049
ocd-division/country:uk/wmc:aberconwy_co,Aberconwy Co,W07000058
ocd-division/country:uk/wmc:aberdeen_north_burgh,Aberdeen North Burgh,S14000001
ocd-division/country:uk/wmc:airdrie_and_shotts_co,Airdrie and Shotts Co,S14000003
ocd-division/country:uk/wmc:aldershot_boro,Aldershot Boro,E14000530
ocd-division/country:uk/wmc:aldridge-brownhills_boro,Aldridge-Brownhills Boro,E14000531
ocd-division/country:uk/wmc:altrincham_and_sale_west_boro,Altrincham and Sale West Boro,E14000532
ocd-division/country:uk/wmc:alyn_and_deeside_co,Alyn and Deeside Co,W07000043
ocd-division/country:uk/wmc:amber_valley_co,Amber Valley Co,E14000533
ocd-division/country:uk/wmc:angus_co,Angus Co,S14000004
ocd-division/country:uk/wmc:arfon_co,Arfon Co,W07000057
ocd-division/country:uk/wmc:arundel_and_south_downs_co,Arundel and South Downs Co,E14000534
ocd-division/country:uk/wmc:ashfield_co,Ashfield Co,E14000535
ocd-division/country:uk/wmc:ashford_co,Ashford Co,E14000536
ocd-division/country:uk/wmc:ashton-under-lyne_boro,Ashton-under-Lyne Boro,E14000537
ocd-division/country:uk/wmc:aylesbury_co,Aylesbury Co,E14000538
ocd-division/country:uk/wmc:banbury_co,Banbury Co,E14000539
ocd-division/country:uk/wmc:barking_boro,Barking Boro,E14000540
ocd-division/country:uk/wmc:barnsley_central_boro,Barnsley Central Boro,E14000541
ocd-division/country:uk/wmc:barnsley_east_co,Barnsley East Co,E14000542
ocd-division/country:uk/wmc:barrow_and_furness_co,Barrow and Furness Co,E14000543
ocd-division/country:uk/wmc:basildon_and_billericay_boro,Basildon and Billericay Boro,E14000544
ocd-division/country:uk/wmc:basingstoke_boro,Basingstoke Boro,E14000545
ocd-division/country:uk/wmc:bassetlaw_co,Bassetlaw Co,E14000546
ocd-division/country:uk/wmc:bath_boro,Bath Boro,E14000547
