id,name,census_geoid,validThrough
ocd-division/country:us/state:ak/cd:at-large,Alaska's at-large congressional district,,
ocd-division/country:us/state:al/cd:1,Alabama's 1st congressional district,cd-0101,
ocd-division/country:us/state:al/cd:2,Alabama's 2nd congressional district,cd-0102,
ocd-division/country:us/state:al/cd:3,Alabama's 3rd congressional district,cd-0103,
ocd-division/country:us/state:al/cd:4,Alabama's 4th congressional district,cd-0104,
ocd-division/country:us/state:al/cd:5,Alabama's 5th congressional district,cd-0105,
ocd-division/country:us/state:al/cd:6,Alabama's 6th congressional district,cd-0106,
ocd-division/country:us/state:al/cd:7,Alabama's 7th congressional district,cd-0107,
ocd-division/country:us/state:ar/cd:1,Arkansas's 1st congressional district,cd-0501,
ocd-division/country:us/state:ar/cd:2,Arkansas's 2nd congressional district,cd-0502,
ocd-division/country:us/state:ar/cd:3,Arkansas's 3rd congressional district,cd-0503,
ocd-division/country:us/state:ar/cd:4,Arkansas's 4th congressional district,cd-0504,
ocd-division/country:us/state:az/cd:1,Arizona's 1st congressional district,cd-0401,
ocd-division/country:us/state:az/cd:2,Arizona's 2nd congressional district,cd-0402,
ocd-division/country:us/state:az/cd:3,Arizona's 3rd congressional district,cd-0403,
ocd-division/country:us/state:az/cd:4,Arizona's 4th congressional district,cd-0404,
ocd-division/country:us/state:az/cd:5,Arizona's 5th congressional district,cd-0405,
ocd-division/country:us/state:az/cd:6,Arizona's 6th congressional district,cd-0406,
ocd-division/country:us/state:az/cd:7,Arizona's 7th congressional district,cd-0407,
ocd-division/country:us/state:az/cd:8,Arizona's 8th congressional district,cd-0408,
ocd-division/country:us/state:az/cd:9,Arizona's 9th congressional district,cd-0409,
ocd-division/country:us/state:ca/cd:10,California's 10th congressional district,cd-0610,
ocd-division/country:us/state:ca/cd:11,California's 11th congressional district,cd-0611,
ocd-division/country:us/state:ca/cd:12,California's 12th congressional district,cd-0612,
ocd-division/country:us/state:ca/cd:13,California's 13th congressional district,cd-0613,
ocd-division/country:us/state:ca/cd:14,California's 14th congressional district,cd-0614,
ocd-division/country:us/state:ca/cd:15,California's 15th congressional district,cd-0615,
ocd-division/country:us/state:ca/cd:16,California's 16th congressional district,cd-0616,
ocd-division/country:us/state:ca/cd:17,California's 17th congressional district,cd-0617,
ocd-division/country:us/state:ca/cd:18,California's 18th congressional district,cd-0618,
ocd-division/country:us/state:ca/cd:19,California's 19th congressional district,cd-0619,
ocd-division/country:us/state:ca/cd:1,California's 1st congressional district,cd-0601,
ocd-division/country:us/state:ca/cd:20,California's 20th congressional district,cd-0620,
ocd-division/country:us/state:ca/cd:21,California's 21st congressional district,cd-0621,
ocd-division/country:us/state:ca/cd:22,California's 22nd congressional district,cd-0622,
ocd-division/country:us/state:ca/cd:23,California's 23rd congressional district,cd-0623,
ocd-division/country:us/state:ca/cd:24,California's 24th congressional district,cd-0624,
ocd-division/country:us/state:ca/cd:25,California's 25th congressional district,cd-0625,
ocd-division/country:us/state:ca/cd:26,California's 26th congressional district,cd-0626,
ocd-division/country:us/state:ca/cd:27,California's 27th congressional district,cd-0627,
ocd-division/country:us/state:ca/cd:28,California's 28th congressional district,cd-0628,
ocd-division/country:us/state:ca/cd:29,California's 29th congressional district,cd-0629,
ocd-division/country:us/state:ca/cd:2,California's 2nd congressional district,cd-0602,
ocd-division/country:us/state:ca/cd:30,California's 30th congressional district,cd-0630,
ocd-division/country:us/state:ca/cd:31,California's 31st congressional district,cd-0631,
ocd-division/country:us/state:ca/cd:32,California's 32nd congressional district,cd-0632,
ocd-division/country:us/state:ca/cd:33,California's 33rd congressional district,cd-0633,
ocd-division/country:us/state:ca/cd:34,California's 34th congressional district,cd-0634,
ocd-division/country:us/state:ca/cd:35,California's 35th congressional district,cd-0635,
ocd-division/country:us/state:ca/cd:36,California's 36th congressional district,cd-0636,
ocd-division/country:us/state:ca/cd:37,California's 37th congressional district,cd-0637,
ocd-division/country:us/state:ca/cd:38,California's 38th congressional district,cd-0638,
ocd-division/country:us/state:ca/cd:39,California's 39th congressional district,cd-0639,
ocd-division/country:us/state:ca/cd:3,California's 3rd congressional district,cd-0603,
ocd-division/country:us/state:ca/cd:40,California's 40th congressional district,cd-0640,
ocd-division/country:us/state:ca/cd:41,California's 41st congressional district,cd-0641,
ocd-division/country:us/state:ca/cd:42,California's 42nd congressional district,cd-0642,
ocd-division/country:us/state:ca/cd:43,California's 43rd congressional district,cd-0643,
ocd-division/country:us/state:ca/cd:44,California's 44th congressional district,cd-0644,
ocd-division/country:us/state:ca/cd:45,California's 45th congressional district,cd-0645,
ocd-division/country:us/state:ca/cd:46,California's 46th congressional district,cd-0646,
ocd-division/country:us/state:ca/cd:47,California's 47th congressional district,cd-0647,
ocd-division/country:us/state:ca/cd:48,California's 48th congressional district,cd-0648,
ocd-division/country:us/state:ca/cd:49,California's 49th congressional district,cd-0649,
ocd-division/country:us/state:ca/cd:4,California's 4th congressional district,cd-0604,
ocd-division/country:us/state:ca/cd:50,California's 50th congressional district,cd-0650,
ocd-division/country:us/state:ca/cd:51,California's 51st congressional district,cd-0651,
ocd-division/country:us/state:ca/cd:52,California's 52nd congressional district,cd-0652,
ocd-division/country:us/state:ca/cd:53,California's 53rd congressional district,cd-0653,
ocd-division/country:us/state:ca/cd:5,California's 5th congressional district,cd-0605,
ocd-division/country:us/state:ca/cd:6,California's 6th congressional district,cd-0606,
ocd-division/country:us/state:ca/cd:7,California's 7th congressional district,cd-0607,
ocd-division/country:us/state:ca/cd:8,California's 8th congressional district,cd-0608,
