id,census_geoid_12,validThrough
ocd-division/country:us/state:al/sldl:1,sldl-01001,
ocd-division/country:us/state:al/sldl:2,sldl-01002,
ocd-division/country:us/state:al/sldl:3,sldl-01003,
ocd-division/country:us/state:al/sldl:4,sldl-01004,
ocd-division/country:us/state:al/sldl:5,sldl-01005,
ocd-division/country:us/state:al/sldl:6,sldl-01006,
ocd-division/country:us/state:al/sldl:7,sldl-01007,
ocd-division/country:us/state:al/sldl:8,sldl-01008,
ocd-division/country:us/state:al/sldl:9,sldl-01009,
ocd-division/country:us/state:al/sldl:10,sldl-01010,
ocd-division/country:us/state:al/sldl:11,sldl-01011,
ocd-division/country:us/state:al/sldl:12,sldl-01012,
ocd-division/country:us/state:al/sldl:13,sldl-01013,
ocd-division/country:us/state:al/sldl:14,sldl-01014,
ocd-division/country:us/state:al/sldl:15,sldl-01015,
ocd-division/country:us/state:al/sldl:16,sldl-01016,
ocd-division/country:us/state:al/sldl:17,sldl-01017,
ocd-division/country:us/state:al/sldl:18,sldl-01018,
ocd-division/country:us/state:al/sldl:19,sldl-01019,
ocd-division/country:us/state:al/sldl:20,sldl-01020,
ocd-division/country:us/state:al/sldl:21,sldl-01021,
ocd-division/country:us/state:al/sldl:22,sldl-01022,
ocd-division/country:us/state:al/sldl:23,sldl-01023,
ocd-division/country:us/state:al/sldl:24,sldl-01024,
ocd-division/country:us/state:al/sldl:25,sldl-01025,
ocd-division/country:us/state:al/sldl:26,sldl-01026,
ocd-division/country:us/state:al/sldl:27,sldl-01027,
ocd-division/country:us/state:al/sldl:28,sldl-01028,
ocd-division/country:us/state:al/sldl:29,sldl-01029,
ocd-division/country:us/state:al/sldl:30,sldl-01030,
ocd-division/country:us/state:al/sldl:31,sldl-01031,
ocd-division/country:us/state:al/sldl:32,sldl-01032,
ocd-division/country:us/state:al/sldl:33,sldl-01033,
ocd-division/country:us/state:al/sldl:34,sldl-01034,
ocd-division/country:us/state:al/sldl:35,sldl-01035,
ocd-division/country:us/state:al/sldl:36,sldl-01036,
ocd-division/country:us/state:al/sldl:37,sldl-01037,
ocd-division/country:us/state:al/sldl:38,sldl-01038,
ocd-division/country:us/state:al/sldl:39,sldl-01039,
ocd-division/country:us/state:al/sldl:40,sldl-01040,
ocd-division/country:us/state:al/sldl:41,sldl-01041,
ocd-division/country:us/state:al/sldl:42,sldl-01042,
ocd-division/country:us/state:al/sldl:43,sldl-01043,
ocd-division/country:us/state:al/sldl:44,sldl-01044,
ocd-division/country:us/state:al/sldl:45,sldl-01045,
ocd-division/country:us/state:al/sldl:46,sldl-01046,
ocd-division/country:us/state:al/sldl:47,sldl-01047,
ocd-division/country:us/state:al/sldl:48,sldl-01048,
ocd-division/country:us/state:al/sldl:49,sldl-01049,
ocd-division/country:us/state:al/sldl:50,sldl-01050,
ocd-division/country:us/state:al/sldl:51,sldl-01051,
ocd-division/country:us/state:al/sldl:52,sldl-01052,
ocd-division/country:us/state:al/sldl:53,sldl-01053,
ocd-division/country:us/state:al/sldl:54,sldl-01054,
ocd-division/country:us/state:al/sldl:55,sldl-01055,
ocd-division/country:us/state:al/sldl:56,sldl-01056,
ocd-division/country:us/state:al/sldl:57,sldl-01057,
ocd-division/country:us/state:al/sldl:58,sldl-01058,
ocd-division/country:us/state:al/sldl:59,sldl-01059,
ocd-division/country:us/state:al/sldl:60,sldl-01060,
ocd-division/country:us/state:al/sldl:61,sldl-01061,
ocd-division/country:us/state:al/sldl:62,sldl-01062,
ocd-division/country:us/state:al/sldl:63,sldl-01063,
ocd-division/country:us/state:al/sldl:64,sldl-01064,
ocd-division/country:us/state:al/sldl:65,sldl-01065,
ocd-division/country:us/state:al/sldl:66,sldl-01066,
ocd-division/country:us/state:al/sldl:67,sldl-01067,
ocd-division/country:us/state:al/sldl:68,sldl-01068,
ocd-division/country:us/state:al/sldl:69,sldl-01069,
ocd-division/country:us/state:al/sldl:70,sldl-01070,
ocd-division/country:us/state:al/sldl:71,sldl-01071,
ocd-division/country:us/state:al/sldl:72,sldl-01072,
ocd-division/country:us/state:al/sldl:73,sldl-01073,
ocd-division/country:us/state:al/sldl:74,sldl-01074,
ocd-division/country:us/state:al/sldl:75,sldl-01075,
ocd-division/country:us/state:al/sldl:76,sldl-01076,
ocd-division/country:us/state:al/sldl:77,sldl-01077,
ocd-division/country:us/state:al/sldl:78,sldl-01078,
ocd-division/country:us/state:al/sldl:79,sldl-01079,
ocd-division/country:us/state:al/sldl:80,sldl-01080,
ocd-division/country:us/state:al/sldl:81,sldl-01081,
ocd-division/country:us/state:al/sldl:82,sldl-01082,
ocd-division/country:us/state:al/sldl:83,sldl-01083,
ocd-division/country:us/state:al/sldl:84,sldl-01084,
ocd-division/country:us/state:al/sldl:85,sldl-01085,
ocd-division/country:us/state:al/sldl:86,sldl-01086,
ocd-division/country:us/state:al/sldl:87,sldl-01087,
ocd-division/country:us/state:al/sldl:88,sldl-01088,
ocd-division/country:us/state:al/sldl:89,sldl-01089,
ocd-division/country:us/state:al/sldl:90,sldl-01090,
ocd-division/country:us/state:al/sldl:91,sldl-01091,
ocd-division/country:us/state:al/sldl:92,sldl-01092,
ocd-division/country:us/state:al/sldl:93,sldl-01093,
ocd-division/country:us/state:al/sldl:94,sldl-01094,
ocd-division/country:us/state:al/sldl:95,sldl-01095,
ocd-division/country:us/state:al/sldl:96,sldl-01096,
ocd-division/country:us/state:al/sldl:97,sldl-01097,
ocd-division/country:us/state:al/sldl:98,sldl-01098,
ocd-division/country:us/state:al/sldl:99,sldl-01099,
ocd-division/country:us/state:al/sldl:100,sldl-01100,
ocd-division/country:us/state:al/sldl:101,sldl-01101,
ocd-division/country:us/state:al/sldl:102,sldl-01102,
ocd-division/country:us/state:al/sldl:103,sldl-01103,
ocd-division/country:us/state:al/sldl:104,sldl-01104,
ocd-division/country:us/state:al/sldl:105,sldl-01105,
ocd-division/country:us/state:ak/sldl:1,sldl-02001,
ocd-division/country:us/state:ak/sldl:2,sldl-02002,
ocd-division/country:us/state:ak/sldl:3,sldl-02003,
ocd-division/country:us/state:ak/sldl:4,sldl-02004,
ocd-division/country:us/state:ak/sldl:5,sldl-02005,
ocd-division/country:us/state:ak/sldl:6,sldl-02006,
ocd-division/country:us/state:ak/sldl:7,sldl-02007,
ocd-division/country:us/state:ak/sldl:8,sldl-02008,
ocd-division/country:us/state:ak/sldl:9,sldl-02009,
ocd-division/country:us/state:ak/sldl:10,sldl-02010,
ocd-division/country:us/state:ak/sldl:11,sldl-02011,
ocd-division/country:us/state:ak/sldl:12,sldl-02012,
ocd-division/country:us/state:ak/sldl:13,sldl-02013,
ocd-division/country:us/state:ak/sldl:14,sldl-02014,
ocd-division/country:us/state:ak/sldl:15,sldl-02015,
ocd-division/country:us/state:ak/sldl:16,sldl-02016,
ocd-division/country:us/state:ak/sldl:17,sldl-02017,
ocd-division/country:us/state:ak/sldl:18,sldl-02018,
ocd-division/country:us/state:ak/sldl:19,sldl-02019,
ocd-division/country:us/state:ak/sldl:20,sldl-02020,
ocd-division/country:us/state:ak/sldl:21,sldl-02021,
ocd-division/country:us/state:ak/sldl:22,sldl-02022,
ocd-division/country:us/state:ak/sldl:23,sldl-02023,
ocd-division/country:us/state:ak/sldl:24,sldl-02024,
ocd-division/country:us/state:ak/sldl:25,sldl-02025,
ocd-division/country:us/state:ak/sldl:26,sldl-02026,
ocd-division/country:us/state:ak/sldl:27,sldl-02027,
ocd-division/country:us/state:ak/sldl:28,sldl-02028,
ocd-division/country:us/state:ak/sldl:29,sldl-02029,
ocd-division/country:us/state:ak/sldl:30,sldl-02030,
ocd-division/country:us/state:ak/sldl:31,sldl-02031,
ocd-division/country:us/state:ak/sldl:32,sldl-02032,
ocd-division/country:us/state:ak/sldl:33,sldl-02033,
ocd-division/country:us/state:ak/sldl:34,sldl-02034,
ocd-division/country:us/state:ak/sldl:35,sldl-02035,
ocd-division/country:us/state:ak/sldl:36,sldl-02036,
ocd-division/country:us/state:ak/sldl:37,sldl-02037,
ocd-division/country:us/state:ak/sldl:38,sldl-02038,
ocd-division/country:us/state:ak/sldl:39,sldl-02039,
