id,state_id
ocd-division/country:us/state:mn/place:aitkin,5
ocd-division/country:us/state:mn/county:aitkin/place:aitkin,10
ocd-division/country:us/state:mn/county:aitkin/place:ball_bluff,15
ocd-division/country:us/state:mn/county:aitkin/place:balsam,20
ocd-division/country:us/state:mn/county:aitkin/place:beaver,25
ocd-division/country:us/state:mn/county:aitkin/place:clark,30
ocd-division/country:us/state:mn/county:aitkin/place:cornish,35
ocd-division/country:us/state:mn/county:aitkin/place:farm_island,40
ocd-division/country:us/state:mn/county:aitkin/place:fleming,45
ocd-division/country:us/state:mn/county:aitkin/place:glen,50
ocd-division/country:us/state:mn/county:aitkin/place:haugen,55
ocd-division/country:us/state:mn/county:aitkin/place:hazelton,60
ocd-division/country:us/state:mn/place:hill_city,65
ocd-division/country:us/state:mn/county:aitkin/place:hill_lake,70
ocd-division/country:us/state:mn/county:aitkin/place:idun,75
ocd-division/country:us/state:mn/county:aitkin/place:jevne,80
ocd-division/country:us/state:mn/county:aitkin/place:kimberly,85
ocd-division/country:us/state:mn/county:aitkin/place:lakeside,90
ocd-division/country:us/state:mn/county:aitkin/place:lee,95
ocd-division/country:us/state:mn/county:aitkin/place:libby/precinct:east,100
ocd-division/country:us/state:mn/county:aitkin/place:libby/precinct:west,105
ocd-division/country:us/state:mn/county:aitkin/place:logan,110
ocd-division/country:us/state:mn/county:aitkin/place:macville,130
ocd-division/country:us/state:mn/county:aitkin/place:malmo,135
ocd-division/country:us/state:mn/place:mcgrath,115
ocd-division/country:us/state:mn/place:mcgregor,120
ocd-division/country:us/state:mn/county:aitkin/place:mcgregor,125
ocd-division/country:us/state:mn/county:aitkin/place:millward,132
ocd-division/country:us/state:mn/county:aitkin/place:morrison,140
ocd-division/country:us/state:mn/county:aitkin/precinct:ne_aitkin,240
ocd-division/country:us/state:mn/county:aitkin/place:nordland,145
ocd-division/country:us/state:mn/county:aitkin/precinct:nw_aitkin_1,290
ocd-division/country:us/state:mn/county:aitkin/precinct:nw_aitkin_2,260
ocd-division/country:us/state:mn/place:palisade,150
ocd-division/country:us/state:mn/county:aitkin/place:pliny,155
