id,placeholder_id
ocd-division/country:us/state:nh/place:acworth,1
ocd-division/country:us/state:nh/place:albany,2
ocd-division/country:us/state:nh/place:alexandria,3
ocd-division/country:us/state:nh/place:allenstown,4
ocd-division/country:us/state:nh/place:alstead,5
ocd-division/country:us/state:nh/place:alton,6
ocd-division/country:us/state:nh/place:amherst,7
ocd-division/country:us/state:nh/place:andover,8
ocd-division/country:us/state:nh/place:antrim,9
ocd-division/country:us/state:nh/place:ashland,10
ocd-division/country:us/state:nh/place:atkinson,11
ocd-division/country:us/state:nh/place:auburn,12
ocd-division/country:us/state:nh/place:barnstead,13
ocd-division/country:us/state:nh/place:barrington,14
ocd-division/country:us/state:nh/place:bartlett,15
ocd-division/country:us/state:nh/place:bath,16
ocd-division/country:us/state:nh/place:bedford,17
ocd-division/country:us/state:nh/place:belmont,18
ocd-division/country:us/state:nh/place:bennington,19
ocd-division/country:us/state:nh/place:benton,20
ocd-division/country:us/state:nh/place:berlin,21
ocd-division/country:us/state:nh/place:bethlehem,22
ocd-division/country:us/state:nh/place:boscawen,23
ocd-division/country:us/state:nh/place:bow,24
ocd-division/country:us/state:nh/place:bradford,25
ocd-division/country:us/state:nh/place:brentwood,26
ocd-division/country:us/state:nh/place:bridgewater,27
ocd-division/country:us/state:nh/place:bristol,28
ocd-division/country:us/state:nh/place:brookfield,29
ocd-division/country:us/state:nh/place:brookline,30
ocd-division/country:us/state:nh/place:campton,31
ocd-division/country:us/state:nh/place:canaan,32
ocd-division/country:us/state:nh/place:candia,33
ocd-division/country:us/state:nh/place:canterbury,34
ocd-division/country:us/state:nh/place:carroll,35
ocd-division/country:us/state:nh/place:center_harbor,36
ocd-division/country:us/state:nh/place:charlestown,37
ocd-division/country:us/state:nh/place:chatham,38
ocd-division/country:us/state:nh/place:chester,39
ocd-division/country:us/state:nh/place:chesterfield,40
ocd-division/country:us/state:nh/place:chichester,41
ocd-division/country:us/state:nh/place:claremont/ward:1,42
ocd-division/country:us/state:nh/place:claremont/ward:2,43
ocd-division/country:us/state:nh/place:claremont/ward:3,44
ocd-division/country:us/state:nh/place:clarksville,45
ocd-division/country:us/state:nh/place:colebrook,46
ocd-division/country:us/state:nh/place:columbia,47
ocd-division/country:us/state:nh/place:concord/ward:1,48
ocd-division/country:us/state:nh/place:concord/ward:2,49
ocd-division/country:us/state:nh/place:concord/ward:3,50
ocd-division/country:us/state:nh/place:concord/ward:4,51
ocd-division/country:us/state:nh/place:concord/ward:5,52
ocd-division/country:us/state:nh/place:concord/ward:6,53
ocd-division/country:us/state:nh/place:concord/ward:7,54
ocd-division/country:us/state:nh/place:concord/ward:8,55
ocd-division/country:us/state:nh/place:concord/ward:9,56
ocd-division/country:us/state:nh/place:concord/ward:10,57
ocd-division/country:us/state:nh/place:conway,58
ocd-division/country:us/state:nh/place:cornish,59
ocd-division/country:us/state:nh/place:croydon,60
ocd-division/country:us/state:nh/place:dalton,61
ocd-division/country:us/state:nh/place:danbury,62
ocd-division/country:us/state:nh/place:danville,63
ocd-division/country:us/state:nh/place:deerfield,64
ocd-division/country:us/state:nh/place:deering,65
ocd-division/country:us/state:nh/place:derry,66
ocd-division/country:us/state:nh/place:dorchester,67
ocd-division/country:us/state:nh/place:dover/ward:1,68
ocd-division/country:us/state:nh/place:dover/ward:2,69
ocd-division/country:us/state:nh/place:dover/ward:3,70
ocd-division/country:us/state:nh/place:dover/ward:4,71
ocd-division/country:us/state:nh/place:dover/ward:5,72
ocd-division/country:us/state:nh/place:dover/ward:6,73
ocd-division/country:us/state:nh/place:dublin,74
ocd-division/country:us/state:nh/place:dummer,75
ocd-division/country:us/state:nh/place:dunbarton,76
ocd-division/country:us/state:nh/place:durham,77
ocd-division/country:us/state:nh/place:east_kingston,78
ocd-division/country:us/state:nh/place:easton,79
ocd-division/country:us/state:nh/place:eaton,80
ocd-division/country:us/state:nh/place:effingham,81
ocd-division/country:us/state:nh/place:ellsworth,82
ocd-division/country:us/state:nh/place:enfield,83
ocd-division/country:us/state:nh/place:epping,84
