id,openstates_district
ocd-division/country:us/state:ar/sldl:100,ar-lower-100
ocd-division/country:us/state:ar/sldl:10,ar-lower-10
ocd-division/country:us/state:ar/sldl:11,ar-lower-11
ocd-division/country:us/state:ar/sldl:1,ar-lower-1
ocd-division/country:us/state:ar/sldl:12,ar-lower-12
ocd-division/country:us/state:ar/sldl:13,ar-lower-13
ocd-division/country:us/state:ar/sldl:14,ar-lower-14
ocd-division/country:us/state:ar/sldl:15,ar-lower-15
ocd-division/country:us/state:ar/sldl:16,ar-lower-16
ocd-division/country:us/state:ar/sldl:17,ar-lower-17
ocd-division/country:us/state:ar/sldl:18,ar-lower-18
ocd-division/country:us/state:ar/sldl:19,ar-lower-19
ocd-division/country:us/state:ar/sldl:20,ar-lower-20
ocd-division/country:us/state:ar/sldl:21,ar-lower-21
ocd-division/country:us/state:ar/sldl:2,ar-lower-2
ocd-division/country:us/state:ar/sldl:22,ar-lower-22
ocd-division/country:us/state:ar/sldl:23,ar-lower-23
ocd-division/country:us/state:ar/sldl:24,ar-lower-24
ocd-division/country:us/state:ar/sldl:25,ar-lower-25
ocd-division/country:us/state:ar/sldl:26,ar-lower-26
ocd-division/country:us/state:ar/sldl:27,ar-lower-27
ocd-division/country:us/state:ar/sldl:28,ar-lower-28
ocd-division/country:us/state:ar/sldl:29,ar-lower-29
ocd-division/country:us/state:ar/sldl:30,ar-lower-30
ocd-division/country:us/state:ar/sldl:31,ar-lower-31
ocd-division/country:us/state:ar/sldl:3,ar-lower-3
ocd-division/country:us/state:ar/sldl:32,ar-lower-32
ocd-division/country:us/state:ar/sldl:33,ar-lower-33
ocd-division/country:us/state:ar/sldl:34,ar-lower-34
ocd-division/country:us/state:ar/sldl:35,ar-lower-35
ocd-division/country:us/state:ar/sldl:36,ar-lower-36
ocd-division/country:us/state:ar/sldl:37,ar-lower-37
ocd-division/country:us/state:ar/sldl:38,ar-lower-38
ocd-division/country:us/state:ar/sldl:39,ar-lower-39
ocd-division/country:us/state:ar/sldl:40,ar-lower-40
ocd-division/country:us/state:ar/sldl:41,ar-lower-41
ocd-division/country:us/state:ar/sldl:4,ar-lower-4
ocd-division/country:us/state:ar/sldl:42,ar-lower-42
ocd-division/country:us/state:ar/sldl:43,ar-lower-43
ocd-division/country:us/state:ar/sldl:44,ar-lower-44
ocd-division/country:us/state:ar/sldl:45,ar-lower-45
ocd-division/country:us/state:ar/sldl:46,ar-lower-46
ocd-division/country:us/state:ar/sldl:47,ar-lower-47
ocd-division/country:us/state:ar/sldl:48,ar-lower-48
ocd-division/country:us/state:ar/sldl:49,ar-lower-49
ocd-division/country:us/state:ar/sldl:50,ar-lower-50
ocd-division/country:us/state:ar/sldl:51,ar-lower-51
ocd-division/country:us/state:ar/sldl:5,ar-lower-5
ocd-division/country:us/state:ar/sldl:52,ar-lower-52
ocd-division/country:us/state:ar/sldl:53,ar-lower-53
ocd-division/country:us/state:ar/sldl:54,ar-lower-54
ocd-division/country:us/state:ar/sldl:55,ar-lower-55
ocd-division/country:us/state:ar/sldl:56,ar-lower-56
ocd-division/country:us/state:ar/sldl:57,ar-lower-57
ocd-division/country:us/state:ar/sldl:58,ar-lower-58
ocd-division/country:us/state:ar/sldl:59,ar-lower-59
ocd-division/country:us/state:ar/sldl:60,ar-lower-60
ocd-division/country:us/state:ar/sldl:61,ar-lower-61
ocd-division/country:us/state:ar/sldl:6,ar-lower-6
ocd-division/country:us/state:ar/sldl:62,ar-lower-62
ocd-division/country:us/state:ar/sldl:63,ar-lower-63
ocd-division/country:us/state:ar/sldl:64,ar-lower-64
ocd-division/country:us/state:ar/sldl:65,ar-lower-65
ocd-division/country:us/state:ar/sldl:66,ar-lower-66
ocd-division/country:us/state:ar/sldl:67,ar-lower-67
ocd-division/country:us/state:ar/sldl:68,ar-lower-68
ocd-division/country:us/state:ar/sldl:69,ar-lower-69
ocd-division/country:us/state:ar/sldl:70,ar-lower-70
ocd-division/country:us/state:ar/sldl:71,ar-lower-71
ocd-division/country:us/state:ar/sldl:7,ar-lower-7
ocd-division/country:us/state:ar/sldl:72,ar-lower-72
ocd-division/country:us/state:ar/sldl:73,ar-lower-73
ocd-division/country:us/state:ar/sldl:74,ar-lower-74
ocd-division/country:us/state:ar/sldl:75,ar-lower-75
ocd-division/country:us/state:ar/sldl:76,ar-lower-76
ocd-division/country:us/state:ar/sldl:77,ar-lower-77
ocd-division/country:us/state:ar/sldl:78,ar-lower-78
ocd-division/country:us/state:ar/sldl:79,ar-lower-79
ocd-division/country:us/state:ar/sldl:80,ar-lower-80
ocd-division/country:us/state:ar/sldl:81,ar-lower-81
ocd-division/country:us/state:ar/sldl:8,ar-lower-8
ocd-division/country:us/state:ar/sldl:82,ar-lower-82
ocd-division/country:us/state:ar/sldl:83,ar-lower-83
ocd-division/country:us/state:ar/sldl:84,ar-lower-84
