id,openstates_district
ocd-division/country:us/state:ks/sldl:100,ks-lower-100
ocd-division/country:us/state:ks/sldl:101,ks-lower-101
ocd-division/country:us/state:ks/sldl:10,ks-lower-10
ocd-division/country:us/state:ks/sldl:102,ks-lower-102
ocd-division/country:us/state:ks/sldl:103,ks-lower-103
ocd-division/country:us/state:ks/sldl:104,ks-lower-104
ocd-division/country:us/state:ks/sldl:105,ks-lower-105
ocd-division/country:us/state:ks/sldl:106,ks-lower-106
ocd-division/country:us/state:ks/sldl:107,ks-lower-107
ocd-division/country:us/state:ks/sldl:108,ks-lower-108
ocd-division/country:us/state:ks/sldl:109,ks-lower-109
ocd-division/country:us/state:ks/sldl:110,ks-lower-110
ocd-division/country:us/state:ks/sldl:111,ks-lower-111
ocd-division/country:us/state:ks/sldl:11,ks-lower-11
ocd-division/country:us/state:ks/sldl:112,ks-lower-112
ocd-division/country:us/state:ks/sldl:113,ks-lower-113
ocd-division/country:us/state:ks/sldl:114,ks-lower-114
ocd-division/country:us/state:ks/sldl:115,ks-lower-115
ocd-division/country:us/state:ks/sldl:116,ks-lower-116
ocd-division/country:us/state:ks/sldl:117,ks-lower-117
ocd-division/country:us/state:ks/sldl:118,ks-lower-118
ocd-division/country:us/state:ks/sldl:119,ks-lower-119
ocd-division/country:us/state:ks/sldl:1,ks-lower-1
ocd-division/country:us/state:ks/sldl:120,ks-lower-120
ocd-division/country:us/state:ks/sldl:121,ks-lower-121
ocd-division/country:us/state:ks/sldl:12,ks-lower-12
ocd-division/country:us/state:ks/sldl:122,ks-lower-122
ocd-division/country:us/state:ks/sldl:123,ks-lower-123
ocd-division/country:us/state:ks/sldl:124,ks-lower-124
ocd-division/country:us/state:ks/sldl:125,ks-lower-125
ocd-division/country:us/state:ks/sldl:13,ks-lower-13
ocd-division/country:us/state:ks/sldl:14,ks-lower-14
ocd-division/country:us/state:ks/sldl:15,ks-lower-15
ocd-division/country:us/state:ks/sldl:16,ks-lower-16
ocd-division/country:us/state:ks/sldl:17,ks-lower-17
ocd-division/country:us/state:ks/sldl:18,ks-lower-18
ocd-division/country:us/state:ks/sldl:19,ks-lower-19
ocd-division/country:us/state:ks/sldl:20,ks-lower-20
ocd-division/country:us/state:ks/sldl:21,ks-lower-21
ocd-division/country:us/state:ks/sldl:2,ks-lower-2
