id,openstates_district
ocd-division/country:us/state:ne/sldu:10,ne-upper-10
ocd-division/country:us/state:ne/sldu:11,ne-upper-11
ocd-division/country:us/state:ne/sldu:1,ne-upper-1
ocd-division/country:us/state:ne/sldu:12,ne-upper-12
ocd-division/country:us/state:ne/sldu:13,ne-upper-13
ocd-division/country:us/state:ne/sldu:14,ne-upper-14
ocd-division/country:us/state:ne/sldu:15,ne-upper-15
ocd-division/country:us/state:ne/sldu:16,ne-upper-16
ocd-division/country:us/state:ne/sldu:17,ne-upper-17
ocd-division/country:us/state:ne/sldu:18,ne-upper-18
ocd-division/country:us/state:ne/sldu:19,ne-upper-19
ocd-division/country:us/state:ne/sldu:20,ne-upper-20
ocd-division/country:us/state:ne/sldu:21,ne-upper-21
ocd-division/country:us/state:ne/sldu:2,ne-upper-2
ocd-division/country:us/state:ne/sldu:22,ne-upper-22
ocd-division/country:us/state:ne/sldu:23,ne-upper-23
ocd-division/country:us/state:ne/sldu:24,ne-upper-24
ocd-division/country:us/state:ne/sldu:25,ne-upper-25
ocd-division/country:us/state:ne/sldu:26,ne-upper-26
ocd-division/country:us/state:ne/sldu:27,ne-upper-27
ocd-division/country:us/state:ne/sldu:28,ne-upper-28
ocd-division/country:us/state:ne/sldu:29,ne-upper-29
ocd-division/country:us/state:ne/sldu:30,ne-upper-30
ocd-division/country:us/state:ne/sldu:31,ne-upper-31
ocd-division/country:us/state:ne/sldu:3,ne-upper-3
ocd-division/country:us/state:ne/sldu:32,ne-upper-32
ocd-division/country:us/state:ne/sldu:33,ne-upper-33
ocd-division/country:us/state:ne/sldu:34,ne-upper-34
ocd-division/country:us/state:ne/sldu:35,ne-upper-35
ocd-division/country:us/state:ne/sldu:36,ne-upper-36
ocd-division/country:us/state:ne/sldu:37,ne-upper-37
ocd-division/country:us/state:ne/sldu:38,ne-upper-38
ocd-division/country:us/state:ne/sldu:39,ne-upper-39
ocd-division/country:us/state:ne/sldu:40,ne-upper-40
ocd-division/country:us/state:ne/sldu:41,ne-upper-41
ocd-division/country:us/state:ne/sldu:4,ne-upper-4
ocd-division/country:us/state:ne/sldu:42,ne-upper-42
ocd-division/country:us/state:ne/sldu:43,ne-upper-43
ocd-division/country:us/state:ne/sldu:44,ne-upper-44
ocd-division/country:us/state:ne/sldu:45,ne-upper-45
ocd-division/country:us/state:ne/sldu:46,ne-upper-46
ocd-division/country:us/state:ne/sldu:47,ne-upper-47
ocd-division/country:us/state:ne/sldu:48,ne-upper-48
ocd-division/country:us/state:ne/sldu:49,ne-upper-49
ocd-division/country:us/state:ne/sldu:5,ne-upper-5
ocd-division/country:us/state:ne/sldu:6,ne-upper-6
ocd-division/country:us/state:ne/sldu:7,ne-upper-7
ocd-division/country:us/state:ne/sldu:8,ne-upper-8
ocd-division/country:us/state:ne/sldu:9,ne-upper-9
