id,openstates_district
ocd-division/country:us/state:nm/sldl:10,nm-lower-10
ocd-division/country:us/state:nm/sldl:11,nm-lower-11
ocd-division/country:us/state:nm/sldl:1,nm-lower-1
ocd-division/country:us/state:nm/sldl:12,nm-lower-12
ocd-division/country:us/state:nm/sldl:13,nm-lower-13
ocd-division/country:us/state:nm/sldl:14,nm-lower-14
ocd-division/country:us/state:nm/sldl:15,nm-lower-15
ocd-division/country:us/state:nm/sldl:16,nm-lower-16
ocd-division/country:us/state:nm/sldl:17,nm-lower-17
ocd-division/country:us/state:nm/sldl:18,nm-lower-18
ocd-division/country:us/state:nm/sldl:19,nm-lower-19
ocd-division/country:us/state:nm/sldl:20,nm-lower-20
ocd-division/country:us/state:nm/sldl:21,nm-lower-21
ocd-division/country:us/state:nm/sldl:2,nm-lower-2
ocd-division/country:us/state:nm/sldl:22,nm-lower-22
ocd-division/country:us/state:nm/sldl:23,nm-lower-23
ocd-division/country:us/state:nm/sldl:24,nm-lower-24
ocd-division/country:us/state:nm/sldl:25,nm-lower-25
ocd-division/country:us/state:nm/sldl:26,nm-lower-26
ocd-division/country:us/state:nm/sldl:27,nm-lower-27
ocd-division/country:us/state:nm/sldl:28,nm-lower-28
ocd-division/country:us/state:nm/sldl:29,nm-lower-29
ocd-division/country:us/state:nm/sldl:30,nm-lower-30
ocd-division/country:us/state:nm/sldl:31,nm-lower-31
ocd-division/country:us/state:nm/sldl:3,nm-lower-3
ocd-division/country:us/state:nm/sldl:32,nm-lower-32
ocd-division/country:us/state:nm/sldl:33,nm-lower-33
ocd-division/country:us/state:nm/sldl:34,nm-lower-34
ocd-division/country:us/state:nm/sldl:35,nm-lower-35
ocd-division/country:us/state:nm/sldl:36,nm-lower-36
ocd-division/country:us/state:nm/sldl:37,nm-lower-37
ocd-division/country:us/state:nm/sldl:38,nm-lower-38
ocd-division/country:us/state:nm/sldl:39,nm-lower-39
ocd-division/country:us/state:nm/sldl:40,nm-lower-40
ocd-division/country:us/state:nm/sldl:41,nm-lower-41
ocd-division/country:us/state:nm/sldl:4,nm-lower-4
ocd-division/country:us/state:nm/sldl:42,nm-lower-42
ocd-division/country:us/state:nm/sldl:43,nm-lower-43
ocd-division/country:us/state:nm/sldl:44,nm-lower-44
ocd-division/country:us/state:nm/sldl:45,nm-lower-45
ocd-division/country:us/state:nm/sldl:46,nm-lower-46
ocd-division/country:us/state:nm/sldl:47,nm-lower-47
ocd-division/country:us/state:nm/sldl:48,nm-lower-48
ocd-division/country:us/state:nm/sldl:49,nm-lower-49
ocd-division/country:us/state:nm/sldl:50,nm-lower-50
ocd-division/country:us/state:nm/sldl:51,nm-lower-51
ocd-division/country:us/state:nm/sldl:5,nm-lower-5
ocd-division/country:us/state:nm/sldl:52,nm-lower-52
ocd-division/country:us/state:nm/sldl:53,nm-lower-53
ocd-division/country:us/state:nm/sldl:54,nm-lower-54
ocd-division/country:us/state:nm/sldl:55,nm-lower-55
ocd-division/country:us/state:nm/sldl:56,nm-lower-56
ocd-division/country:us/state:nm/sldl:57,nm-lower-57
ocd-division/country:us/state:nm/sldl:58,nm-lower-58
ocd-division/country:us/state:nm/sldl:59,nm-lower-59
ocd-division/country:us/state:nm/sldl:60,nm-lower-60
ocd-division/country:us/state:nm/sldl:61,nm-lower-61
ocd-division/country:us/state:nm/sldl:6,nm-lower-6
ocd-division/country:us/state:nm/sldl:62,nm-lower-62
ocd-division/country:us/state:nm/sldl:63,nm-lower-63
ocd-division/country:us/state:nm/sldl:64,nm-lower-64
ocd-division/country:us/state:nm/sldl:65,nm-lower-65
ocd-division/country:us/state:nm/sldl:66,nm-lower-66
ocd-division/country:us/state:nm/sldl:67,nm-lower-67
ocd-division/country:us/state:nm/sldl:68,nm-lower-68
ocd-division/country:us/state:nm/sldl:69,nm-lower-69
ocd-division/country:us/state:nm/sldl:70,nm-lower-70
ocd-division/country:us/state:nm/sldl:7,nm-lower-7
ocd-division/country:us/state:nm/sldl:8,nm-lower-8
ocd-division/country:us/state:nm/sldl:9,nm-lower-9
ocd-division/country:us/state:nm/sldu:10,nm-upper-10
ocd-division/country:us/state:nm/sldu:11,nm-upper-11
ocd-division/country:us/state:nm/sldu:1,nm-upper-1
ocd-division/country:us/state:nm/sldu:12,nm-upper-12
ocd-division/country:us/state:nm/sldu:13,nm-upper-13
ocd-division/country:us/state:nm/sldu:14,nm-upper-14
ocd-division/country:us/state:nm/sldu:15,nm-upper-15
ocd-division/country:us/state:nm/sldu:16,nm-upper-16
ocd-division/country:us/state:nm/sldu:17,nm-upper-17
ocd-division/country:us/state:nm/sldu:18,nm-upper-18
ocd-division/country:us/state:nm/sldu:19,nm-upper-19
ocd-division/country:us/state:nm/sldu:20,nm-upper-20
ocd-division/country:us/state:nm/sldu:21,nm-upper-21
ocd-division/country:us/state:nm/sldu:2,nm-upper-2
ocd-division/country:us/state:nm/sldu:22,nm-upper-22
ocd-division/country:us/state:nm/sldu:23,nm-upper-23
ocd-division/country:us/state:nm/sldu:24,nm-upper-24
ocd-division/country:us/state:nm/sldu:25,nm-upper-25
ocd-division/country:us/state:nm/sldu:26,nm-upper-26
ocd-division/country:us/state:nm/sldu:27,nm-upper-27
ocd-division/country:us/state:nm/sldu:28,nm-upper-28
ocd-division/country:us/state:nm/sldu:29,nm-upper-29
ocd-division/country:us/state:nm/sldu:30,nm-upper-30
ocd-division/country:us/state:nm/sldu:31,nm-upper-31
ocd-division/country:us/state:nm/sldu:3,nm-upper-3
ocd-division/country:us/state:nm/sldu:32,nm-upper-32
ocd-division/country:us/state:nm/sldu:33,nm-upper-33
ocd-division/country:us/state:nm/sldu:34,nm-upper-34
ocd-division/country:us/state:nm/sldu:35,nm-upper-35
ocd-division/country:us/state:nm/sldu:36,nm-upper-36
ocd-division/country:us/state:nm/sldu:37,nm-upper-37
ocd-division/country:us/state:nm/sldu:38,nm-upper-38
ocd-division/country:us/state:nm/sldu:39,nm-upper-39
ocd-division/country:us/state:nm/sldu:40,nm-upper-40
ocd-division/country:us/state:nm/sldu:41,nm-upper-41
ocd-division/country:us/state:nm/sldu:4,nm-upper-4
ocd-division/country:us/state:nm/sldu:42,nm-upper-42
ocd-division/country:us/state:nm/sldu:5,nm-upper-5
ocd-division/country:us/state:nm/sldu:6,nm-upper-6
ocd-division/country:us/state:nm/sldu:7,nm-upper-7
ocd-division/country:us/state:nm/sldu:8,nm-upper-8
ocd-division/country:us/state:nm/sldu:9,nm-upper-9
