id,openstates_district
ocd-division/country:us/territory:pr/sldl:10,pr-lower-10
ocd-division/country:us/territory:pr/sldl:11,pr-lower-11
ocd-division/country:us/territory:pr/sldl:1,pr-lower-1
ocd-division/country:us/territory:pr/sldl:12,pr-lower-12
ocd-division/country:us/territory:pr/sldl:13,pr-lower-13
ocd-division/country:us/territory:pr/sldl:14,pr-lower-14
ocd-division/country:us/territory:pr/sldl:15,pr-lower-15
ocd-division/country:us/territory:pr/sldl:16,pr-lower-16
ocd-division/country:us/territory:pr/sldl:17,pr-lower-17
ocd-division/country:us/territory:pr/sldl:18,pr-lower-18
ocd-division/country:us/territory:pr/sldl:19,pr-lower-19
ocd-division/country:us/territory:pr/sldl:20,pr-lower-20
ocd-division/country:us/territory:pr/sldl:21,pr-lower-21
ocd-division/country:us/territory:pr/sldl:2,pr-lower-2
ocd-division/country:us/territory:pr/sldl:22,pr-lower-22
ocd-division/country:us/territory:pr/sldl:23,pr-lower-23
ocd-division/country:us/territory:pr/sldl:24,pr-lower-24
ocd-division/country:us/territory:pr/sldl:25,pr-lower-25
ocd-division/country:us/territory:pr/sldl:26,pr-lower-26
ocd-division/country:us/territory:pr/sldl:27,pr-lower-27
ocd-division/country:us/territory:pr/sldl:28,pr-lower-28
ocd-division/country:us/territory:pr/sldl:29,pr-lower-29
ocd-division/country:us/territory:pr/sldl:30,pr-lower-30
ocd-division/country:us/territory:pr/sldl:31,pr-lower-31
ocd-division/country:us/territory:pr/sldl:3,pr-lower-3
ocd-division/country:us/territory:pr/sldl:32,pr-lower-32
ocd-division/country:us/territory:pr/sldl:33,pr-lower-33
ocd-division/country:us/territory:pr/sldl:34,pr-lower-34
ocd-division/country:us/territory:pr/sldl:35,pr-lower-35
ocd-division/country:us/territory:pr/sldl:36,pr-lower-36
ocd-division/country:us/territory:pr/sldl:37,pr-lower-37
ocd-division/country:us/territory:pr/sldl:38,pr-lower-38
ocd-division/country:us/territory:pr/sldl:39,pr-lower-39
ocd-division/country:us/territory:pr/sldl:40,pr-lower-40
ocd-division/country:us/territory:pr/sldl:4,pr-lower-4
ocd-division/country:us/territory:pr/sldl:5,pr-lower-5
ocd-division/country:us/territory:pr/sldl:6,pr-lower-6
ocd-division/country:us/territory:pr/sldl:7,pr-lower-7
ocd-division/country:us/territory:pr/sldl:8,pr-lower-8
ocd-division/country:us/territory:pr/sldl:9,pr-lower-9
ocd-division/country:us/territory:pr/sldl:at-large,pr-lower-resident-commissioner-district-at-large
ocd-division/country:us/territory:pr/sldu:1,pr-upper-i
ocd-division/country:us/territory:pr/sldu:2,pr-upper-ii
ocd-division/country:us/territory:pr/sldu:3,pr-upper-iii
ocd-division/country:us/territory:pr/sldu:4,pr-upper-iv
ocd-division/country:us/territory:pr/sldu:5,pr-upper-v
ocd-division/country:us/territory:pr/sldu:6,pr-upper-vi
ocd-division/country:us/territory:pr/sldu:7,pr-upper-vii
ocd-division/country:us/territory:pr/sldu:8,pr-upper-viii
ocd-division/country:us/territory:pr/sldu:at-large,pr-upper-resident-commissioner-district-at-large
