id,openstates_district
ocd-division/country:us/state:sc/sldl:1,sc-lower-hd-001
ocd-division/country:us/state:sc/sldl:2,sc-lower-hd-002
ocd-division/country:us/state:sc/sldl:3,sc-lower-hd-003
ocd-division/country:us/state:sc/sldl:4,sc-lower-hd-004
ocd-division/country:us/state:sc/sldl:5,sc-lower-hd-005
ocd-division/country:us/state:sc/sldl:6,sc-lower-hd-006
ocd-division/country:us/state:sc/sldl:7,sc-lower-hd-007
ocd-division/country:us/state:sc/sldl:8,sc-lower-hd-008
ocd-division/country:us/state:sc/sldl:9,sc-lower-hd-009
ocd-division/country:us/state:sc/sldl:10,sc-lower-hd-010
ocd-division/country:us/state:sc/sldl:11,sc-lower-hd-011
ocd-division/country:us/state:sc/sldl:12,sc-lower-hd-012
ocd-division/country:us/state:sc/sldl:13,sc-lower-hd-013
ocd-division/country:us/state:sc/sldl:14,sc-lower-hd-014
ocd-division/country:us/state:sc/sldl:15,sc-lower-hd-015
ocd-division/country:us/state:sc/sldl:16,sc-lower-hd-016
ocd-division/country:us/state:sc/sldl:17,sc-lower-hd-017
ocd-division/country:us/state:sc/sldl:18,sc-lower-hd-018
ocd-division/country:us/state:sc/sldl:19,sc-lower-hd-019
ocd-division/country:us/state:sc/sldl:20,sc-lower-hd-020
ocd-division/country:us/state:sc/sldl:21,sc-lower-hd-021
ocd-division/country:us/state:sc/sldl:22,sc-lower-hd-022
ocd-division/country:us/state:sc/sldl:23,sc-lower-hd-023
ocd-division/country:us/state:sc/sldl:24,sc-lower-hd-024
ocd-division/country:us/state:sc/sldl:25,sc-lower-hd-025
ocd-division/country:us/state:sc/sldl:26,sc-lower-hd-026
ocd-division/country:us/state:sc/sldl:27,sc-lower-hd-027
ocd-division/country:us/state:sc/sldl:28,sc-lower-hd-028
ocd-division/country:us/state:sc/sldl:29,sc-lower-hd-029
ocd-division/country:us/state:sc/sldl:30,sc-lower-hd-030
ocd-division/country:us/state:sc/sldl:31,sc-lower-hd-031
ocd-division/country:us/state:sc/sldl:32,sc-lower-hd-032
ocd-division/country:us/state:sc/sldl:33,sc-lower-hd-033
ocd-division/country:us/state:sc/sldl:34,sc-lower-hd-034
ocd-division/country:us/state:sc/sldl:35,sc-lower-hd-035
ocd-division/country:us/state:sc/sldl:36,sc-lower-hd-036
ocd-division/country:us/state:sc/sldl:37,sc-lower-hd-037
ocd-division/country:us/state:sc/sldl:38,sc-lower-hd-038
ocd-division/country:us/state:sc/sldl:39,sc-lower-hd-039
ocd-division/country:us/state:sc/sldl:40,sc-lower-hd-040
ocd-division/country:us/state:sc/sldl:41,sc-lower-hd-041
ocd-division/country:us/state:sc/sldl:42,sc-lower-hd-042
ocd-division/country:us/state:sc/sldl:43,sc-lower-hd-043
ocd-division/country:us/state:sc/sldl:44,sc-lower-hd-044
ocd-division/country:us/state:sc/sldl:45,sc-lower-hd-045
ocd-division/country:us/state:sc/sldl:46,sc-lower-hd-046
ocd-division/country:us/state:sc/sldl:47,sc-lower-hd-047
ocd-division/country:us/state:sc/sldl:48,sc-lower-hd-048
ocd-division/country:us/state:sc/sldl:49,sc-lower-hd-049
ocd-division/country:us/state:sc/sldl:50,sc-lower-hd-050
ocd-division/country:us/state:sc/sldl:51,sc-lower-hd-051
ocd-division/country:us/state:sc/sldl:52,sc-lower-hd-052
ocd-division/country:us/state:sc/sldl:53,sc-lower-hd-053
ocd-division/country:us/state:sc/sldl:54,sc-lower-hd-054
ocd-division/country:us/state:sc/sldl:55,sc-lower-hd-055
ocd-division/country:us/state:sc/sldl:56,sc-lower-hd-056
ocd-division/country:us/state:sc/sldl:57,sc-lower-hd-057
ocd-division/country:us/state:sc/sldl:58,sc-lower-hd-058
ocd-division/country:us/state:sc/sldl:59,sc-lower-hd-059
ocd-division/country:us/state:sc/sldl:60,sc-lower-hd-060
ocd-division/country:us/state:sc/sldl:61,sc-lower-hd-061
ocd-division/country:us/state:sc/sldl:62,sc-lower-hd-062
ocd-division/country:us/state:sc/sldl:63,sc-lower-hd-063
ocd-division/country:us/state:sc/sldl:64,sc-lower-hd-064
ocd-division/country:us/state:sc/sldl:65,sc-lower-hd-065
ocd-division/country:us/state:sc/sldl:66,sc-lower-hd-066
ocd-division/country:us/state:sc/sldl:67,sc-lower-hd-067
ocd-division/country:us/state:sc/sldl:68,sc-lower-hd-068
ocd-division/country:us/state:sc/sldl:69,sc-lower-hd-069
ocd-division/country:us/state:sc/sldl:70,sc-lower-hd-070
ocd-division/country:us/state:sc/sldl:71,sc-lower-hd-071
ocd-division/country:us/state:sc/sldl:72,sc-lower-hd-072
ocd-division/country:us/state:sc/sldl:73,sc-lower-hd-073
ocd-division/country:us/state:sc/sldl:74,sc-lower-hd-074
ocd-division/country:us/state:sc/sldl:75,sc-lower-hd-075
ocd-division/country:us/state:sc/sldl:76,sc-lower-hd-076
ocd-division/country:us/state:sc/sldl:77,sc-lower-hd-077
ocd-division/country:us/state:sc/sldl:78,sc-lower-hd-078
ocd-division/country:us/state:sc/sldl:79,sc-lower-hd-079
ocd-division/country:us/state:sc/sldl:80,sc-lower-hd-080
ocd-division/country:us/state:sc/sldl:81,sc-lower-hd-081
ocd-division/country:us/state:sc/sldl:82,sc-lower-hd-082
ocd-division/country:us/state:sc/sldl:83,sc-lower-hd-083
ocd-division/country:us/state:sc/sldl:84,sc-lower-hd-084
ocd-division/country:us/state:sc/sldl:85,sc-lower-hd-085
ocd-division/country:us/state:sc/sldl:86,sc-lower-hd-086
ocd-division/country:us/state:sc/sldl:87,sc-lower-hd-087
ocd-division/country:us/state:sc/sldl:88,sc-lower-hd-088
ocd-division/country:us/state:sc/sldl:89,sc-lower-hd-089
ocd-division/country:us/state:sc/sldl:90,sc-lower-hd-090
ocd-division/country:us/state:sc/sldl:91,sc-lower-hd-091
ocd-division/country:us/state:sc/sldl:92,sc-lower-hd-092
ocd-division/country:us/state:sc/sldl:93,sc-lower-hd-093
ocd-division/country:us/state:sc/sldl:94,sc-lower-hd-094
ocd-division/country:us/state:sc/sldl:95,sc-lower-hd-095
ocd-division/country:us/state:sc/sldl:96,sc-lower-hd-096
ocd-division/country:us/state:sc/sldl:97,sc-lower-hd-097
ocd-division/country:us/state:sc/sldl:98,sc-lower-hd-098
ocd-division/country:us/state:sc/sldl:99,sc-lower-hd-099
ocd-division/country:us/state:sc/sldl:100,sc-lower-hd-100
ocd-division/country:us/state:sc/sldl:101,sc-lower-hd-101
ocd-division/country:us/state:sc/sldl:102,sc-lower-hd-102
ocd-division/country:us/state:sc/sldl:103,sc-lower-hd-103
ocd-division/country:us/state:sc/sldl:104,sc-lower-hd-104
ocd-division/country:us/state:sc/sldl:105,sc-lower-hd-105
ocd-division/country:us/state:sc/sldl:106,sc-lower-hd-106
ocd-division/country:us/state:sc/sldl:107,sc-lower-hd-107
ocd-division/country:us/state:sc/sldl:108,sc-lower-hd-108
ocd-division/country:us/state:sc/sldl:109,sc-lower-hd-109
ocd-division/country:us/state:sc/sldl:110,sc-lower-hd-110
ocd-division/country:us/state:sc/sldl:111,sc-lower-hd-111
ocd-division/country:us/state:sc/sldl:112,sc-lower-hd-112
ocd-division/country:us/state:sc/sldl:113,sc-lower-hd-113
ocd-division/country:us/state:sc/sldl:114,sc-lower-hd-114
ocd-division/country:us/state:sc/sldl:115,sc-lower-hd-115
ocd-division/country:us/state:sc/sldl:116,sc-lower-hd-116
ocd-division/country:us/state:sc/sldl:117,sc-lower-hd-117
ocd-division/country:us/state:sc/sldl:118,sc-lower-hd-118
ocd-division/country:us/state:sc/sldl:119,sc-lower-hd-119
ocd-division/country:us/state:sc/sldl:120,sc-lower-hd-120
ocd-division/country:us/state:sc/sldl:121,sc-lower-hd-121
ocd-division/country:us/state:sc/sldl:122,sc-lower-hd-122
ocd-division/country:us/state:sc/sldl:123,sc-lower-hd-123
ocd-division/country:us/state:sc/sldl:124,sc-lower-hd-124
ocd-division/country:us/state:sc/sldu:10,sc-upper-10
ocd-division/country:us/state:sc/sldu:11,sc-upper-11
ocd-division/country:us/state:sc/sldu:1,sc-upper-1
ocd-division/country:us/state:sc/sldu:12,sc-upper-12
ocd-division/country:us/state:sc/sldu:13,sc-upper-13
ocd-division/country:us/state:sc/sldu:14,sc-upper-14
ocd-division/country:us/state:sc/sldu:15,sc-upper-15
ocd-division/country:us/state:sc/sldu:16,sc-upper-16
ocd-division/country:us/state:sc/sldu:17,sc-upper-17
ocd-division/country:us/state:sc/sldu:18,sc-upper-18
ocd-division/country:us/state:sc/sldu:19,sc-upper-19
ocd-division/country:us/state:sc/sldu:20,sc-upper-20
ocd-division/country:us/state:sc/sldu:21,sc-upper-21
ocd-division/country:us/state:sc/sldu:2,sc-upper-2
ocd-division/country:us/state:sc/sldu:22,sc-upper-22
ocd-division/country:us/state:sc/sldu:23,sc-upper-23
ocd-division/country:us/state:sc/sldu:24,sc-upper-24
ocd-division/country:us/state:sc/sldu:25,sc-upper-25
ocd-division/country:us/state:sc/sldu:26,sc-upper-26
ocd-division/country:us/state:sc/sldu:27,sc-upper-27
ocd-division/country:us/state:sc/sldu:28,sc-upper-28
ocd-division/country:us/state:sc/sldu:29,sc-upper-29
ocd-division/country:us/state:sc/sldu:30,sc-upper-30
ocd-division/country:us/state:sc/sldu:31,sc-upper-31
ocd-division/country:us/state:sc/sldu:3,sc-upper-3
ocd-division/country:us/state:sc/sldu:32,sc-upper-32
ocd-division/country:us/state:sc/sldu:33,sc-upper-33
ocd-division/country:us/state:sc/sldu:34,sc-upper-34
ocd-division/country:us/state:sc/sldu:35,sc-upper-35
ocd-division/country:us/state:sc/sldu:36,sc-upper-36
ocd-division/country:us/state:sc/sldu:37,sc-upper-37
ocd-division/country:us/state:sc/sldu:38,sc-upper-38
ocd-division/country:us/state:sc/sldu:39,sc-upper-39
ocd-division/country:us/state:sc/sldu:40,sc-upper-40
ocd-division/country:us/state:sc/sldu:41,sc-upper-41
ocd-division/country:us/state:sc/sldu:4,sc-upper-4
ocd-division/country:us/state:sc/sldu:42,sc-upper-42
ocd-division/country:us/state:sc/sldu:43,sc-upper-43
ocd-division/country:us/state:sc/sldu:44,sc-upper-44
ocd-division/country:us/state:sc/sldu:45,sc-upper-45
ocd-division/country:us/state:sc/sldu:46,sc-upper-46
ocd-division/country:us/state:sc/sldu:5,sc-upper-5
ocd-division/country:us/state:sc/sldu:6,sc-upper-6
ocd-division/country:us/state:sc/sldu:7,sc-upper-7
ocd-division/country:us/state:sc/sldu:8,sc-upper-8
ocd-division/country:us/state:sc/sldu:9,sc-upper-9
