id,openstates_district
ocd-division/country:us/state:va/sldl:100,va-lower-100
ocd-division/country:us/state:va/sldl:10,va-lower-10
ocd-division/country:us/state:va/sldl:11,va-lower-11
ocd-division/country:us/state:va/sldl:1,va-lower-1
ocd-division/country:us/state:va/sldl:12,va-lower-12
ocd-division/country:us/state:va/sldl:13,va-lower-13
ocd-division/country:us/state:va/sldl:14,va-lower-14
ocd-division/country:us/state:va/sldl:15,va-lower-15
ocd-division/country:us/state:va/sldl:16,va-lower-16
ocd-division/country:us/state:va/sldl:17,va-lower-17
ocd-division/country:us/state:va/sldl:18,va-lower-18
ocd-division/country:us/state:va/sldl:19,va-lower-19
ocd-division/country:us/state:va/sldl:20,va-lower-20
ocd-division/country:us/state:va/sldl:21,va-lower-21
ocd-division/country:us/state:va/sldl:2,va-lower-2
ocd-division/country:us/state:va/sldl:22,va-lower-22
ocd-division/country:us/state:va/sldl:23,va-lower-23
ocd-division/country:us/state:va/sldl:24,va-lower-24
ocd-division/country:us/state:va/sldl:25,va-lower-25
ocd-division/country:us/state:va/sldl:26,va-lower-26
ocd-division/country:us/state:va/sldl:27,va-lower-27
ocd-division/country:us/state:va/sldl:28,va-lower-28
ocd-division/country:us/state:va/sldl:29,va-lower-29
ocd-division/country:us/state:va/sldl:30,va-lower-30
ocd-division/country:us/state:va/sldl:31,va-lower-31
ocd-division/country:us/state:va/sldl:3,va-lower-3
ocd-division/country:us/state:va/sldl:32,va-lower-32
ocd-division/country:us/state:va/sldl:33,va-lower-33
ocd-division/country:us/state:va/sldl:34,va-lower-34
ocd-division/country:us/state:va/sldl:35,va-lower-35
ocd-division/country:us/state:va/sldl:36,va-lower-36
ocd-division/country:us/state:va/sldl:37,va-lower-37
ocd-division/country:us/state:va/sldl:38,va-lower-38
ocd-division/country:us/state:va/sldl:39,va-lower-39
ocd-division/country:us/state:va/sldl:40,va-lower-40
ocd-division/country:us/state:va/sldl:41,va-lower-41
ocd-division/country:us/state:va/sldl:4,va-lower-4
ocd-division/country:us/state:va/sldl:42,va-lower-42
ocd-division/country:us/state:va/sldl:43,va-lower-43
ocd-division/country:us/state:va/sldl:44,va-lower-44
ocd-division/country:us/state:va/sldl:45,va-lower-45
ocd-division/country:us/state:va/sldl:46,va-lower-46
ocd-division/country:us/state:va/sldl:47,va-lower-47
