id,openstates_district
ocd-division/country:us/state:vt/sldl:addison-1,vt-lower-addison-1
ocd-division/country:us/state:vt/sldl:addison-2,vt-lower-addison-2
ocd-division/country:us/state:vt/sldl:addison-3,vt-lower-addison-3
ocd-division/country:us/state:vt/sldl:addison-4,vt-lower-addison-4
ocd-division/country:us/state:vt/sldl:addison-5,vt-lower-addison-5
ocd-division/country:us/state:vt/sldl:addison-rutland,vt-lower-addison-rutland
ocd-division/country:us/state:vt/sldl:bennington-1,vt-lower-bennington-1
ocd-division/country:us/state:vt/sldl:bennington-2-1,vt-lower-bennington-2-1
ocd-division/country:us/state:vt/sldl:bennington-2-2,vt-lower-bennington-2-2
ocd-division/country:us/state:vt/sldl:bennington-3,vt-lower-bennington-3
ocd-division/country:us/state:vt/sldl:bennington-4,vt-lower-bennington-4
ocd-division/country:us/state:vt/sldl:bennington-rutland,vt-lower-bennington-rutland
ocd-division/country:us/state:vt/sldl:caledonia-1,vt-lower-caledonia-1
ocd-division/country:us/state:vt/sldl:caledonia-2,vt-lower-caledonia-2
ocd-division/country:us/state:vt/sldl:caledonia-3,vt-lower-caledonia-3
ocd-division/country:us/state:vt/sldl:caledonia-4,vt-lower-caledonia-4
ocd-division/country:us/state:vt/sldl:caledonia-washington,vt-lower-caledonia-washington
ocd-division/country:us/state:vt/sldl:chittenden-10,vt-lower-chittenden-10
ocd-division/country:us/state:vt/sldl:chittenden-1,vt-lower-chittenden-1
ocd-division/country:us/state:vt/sldl:chittenden-2,vt-lower-chittenden-2
ocd-division/country:us/state:vt/sldl:chittenden-3,vt-lower-chittenden-3
ocd-division/country:us/state:vt/sldl:chittenden-4-1,vt-lower-chittenden-4-1
ocd-division/country:us/state:vt/sldl:chittenden-4-2,vt-lower-chittenden-4-2
ocd-division/country:us/state:vt/sldl:chittenden-5-1,vt-lower-chittenden-5-1
ocd-division/country:us/state:vt/sldl:chittenden-5-2,vt-lower-chittenden-5-2
ocd-division/country:us/state:vt/sldl:chittenden-6-1,vt-lower-chittenden-6-1
ocd-division/country:us/state:vt/sldl:chittenden-6-2,vt-lower-chittenden-6-2
ocd-division/country:us/state:vt/sldl:chittenden-6-3,vt-lower-chittenden-6-3
ocd-division/country:us/state:vt/sldl:chittenden-6-4,vt-lower-chittenden-6-4
ocd-division/country:us/state:vt/sldl:chittenden-6-5,vt-lower-chittenden-6-5
ocd-division/country:us/state:vt/sldl:chittenden-6-6,vt-lower-chittenden-6-6
ocd-division/country:us/state:vt/sldl:chittenden-6-7,vt-lower-chittenden-6-7
ocd-division/country:us/state:vt/sldl:chittenden-7-1,vt-lower-chittenden-7-1
ocd-division/country:us/state:vt/sldl:chittenden-7-2,vt-lower-chittenden-7-2
ocd-division/country:us/state:vt/sldl:chittenden-7-3,vt-lower-chittenden-7-3
ocd-division/country:us/state:vt/sldl:chittenden-7-4,vt-lower-chittenden-7-4
ocd-division/country:us/state:vt/sldl:chittenden-8-1,vt-lower-chittenden-8-1
ocd-division/country:us/state:vt/sldl:chittenden-8-2,vt-lower-chittenden-8-2
ocd-division/country:us/state:vt/sldl:chittenden-8-3,vt-lower-chittenden-8-3
ocd-division/country:us/state:vt/sldl:chittenden-9-1,vt-lower-chittenden-9-1
ocd-division/country:us/state:vt/sldl:chittenden-9-2,vt-lower-chittenden-9-2
ocd-division/country:us/state:vt/sldl:essex-caledonia,vt-lower-essex-caledonia
ocd-division/country:us/state:vt/sldl:essex-caledonia-orleans,vt-lower-essex-caledonia-orleans
ocd-division/country:us/state:vt/sldl:franklin-1,vt-lower-franklin-1
ocd-division/country:us/state:vt/sldl:franklin-2,vt-lower-franklin-2
ocd-division/country:us/state:vt/sldl:franklin-3-1,vt-lower-franklin-3-1
ocd-division/country:us/state:vt/sldl:franklin-3-2,vt-lower-franklin-3-2
ocd-division/country:us/state:vt/sldl:franklin-4,vt-lower-franklin-4
ocd-division/country:us/state:vt/sldl:franklin-5,vt-lower-franklin-5
ocd-division/country:us/state:vt/sldl:franklin-6,vt-lower-franklin-6
ocd-division/country:us/state:vt/sldl:franklin-7,vt-lower-franklin-7
ocd-division/country:us/state:vt/sldl:grand_isle-chittenden,vt-lower-grand-isle-chittenden
ocd-division/country:us/state:vt/sldl:lamoille-1,vt-lower-lamoille-1
ocd-division/country:us/state:vt/sldl:lamoille-2,vt-lower-lamoille-2
ocd-division/country:us/state:vt/sldl:lamoille-3,vt-lower-lamoille-3
ocd-division/country:us/state:vt/sldl:lamoille-washington,vt-lower-lamoille-washington
ocd-division/country:us/state:vt/sldl:orange-1,vt-lower-orange-1
ocd-division/country:us/state:vt/sldl:orange-2,vt-lower-orange-2
ocd-division/country:us/state:vt/sldl:orange-caledonia,vt-lower-orange-caledonia
ocd-division/country:us/state:vt/sldl:orange-washington-addison,vt-lower-orange-washington-addison
ocd-division/country:us/state:vt/sldl:orleans-1,vt-lower-orleans-1
ocd-division/country:us/state:vt/sldl:orleans-2,vt-lower-orleans-2
ocd-division/country:us/state:vt/sldl:orleans-caledonia,vt-lower-orleans-caledonia
ocd-division/country:us/state:vt/sldl:orleans-lamoille,vt-lower-orleans-lamoille
ocd-division/country:us/state:vt/sldl:rutland-1,vt-lower-rutland-1
ocd-division/country:us/state:vt/sldl:rutland-2,vt-lower-rutland-2
ocd-division/country:us/state:vt/sldl:rutland-3,vt-lower-rutland-3
ocd-division/country:us/state:vt/sldl:rutland-4,vt-lower-rutland-4
ocd-division/country:us/state:vt/sldl:rutland-5-1,vt-lower-rutland-5-1
ocd-division/country:us/state:vt/sldl:rutland-5-2,vt-lower-rutland-5-2
ocd-division/country:us/state:vt/sldl:rutland-5-3,vt-lower-rutland-5-3
ocd-division/country:us/state:vt/sldl:rutland-5-4,vt-lower-rutland-5-4
ocd-division/country:us/state:vt/sldl:rutland-6,vt-lower-rutland-6
ocd-division/country:us/state:vt/sldl:rutland-bennington,vt-lower-rutland-bennington
ocd-division/country:us/state:vt/sldl:rutland-windsor-1,vt-lower-rutland-windsor-1
ocd-division/country:us/state:vt/sldl:rutland-windsor-2,vt-lower-rutland-windsor-2
ocd-division/country:us/state:vt/sldl:washington-1,vt-lower-washington-1
ocd-division/country:us/state:vt/sldl:washington-2,vt-lower-washington-2
ocd-division/country:us/state:vt/sldl:washington-3,vt-lower-washington-3
ocd-division/country:us/state:vt/sldl:washington-4,vt-lower-washington-4
ocd-division/country:us/state:vt/sldl:washington-5,vt-lower-washington-5
ocd-division/country:us/state:vt/sldl:washington-6,vt-lower-washington-6
ocd-division/country:us/state:vt/sldl:washington-7,vt-lower-washington-7
ocd-division/country:us/state:vt/sldl:washington-chittenden,vt-lower-washington-chittenden
ocd-division/country:us/state:vt/sldl:windham-1,vt-lower-windham-1
ocd-division/country:us/state:vt/sldl:windham-2-1,vt-lower-windham-2-1
ocd-division/country:us/state:vt/sldl:windham-2-2,vt-lower-windham-2-2
ocd-division/country:us/state:vt/sldl:windham-2-3,vt-lower-windham-2-3
ocd-division/country:us/state:vt/sldl:windham-3,vt-lower-windham-3
ocd-division/country:us/state:vt/sldl:windham-4,vt-lower-windham-4
ocd-division/country:us/state:vt/sldl:windham-5,vt-lower-windham-5
ocd-division/country:us/state:vt/sldl:windham-6,vt-lower-windham-6
ocd-division/country:us/state:vt/sldl:windham-bennington,vt-lower-windham-bennington
ocd-division/country:us/state:vt/sldl:windham-bennington-windsor,vt-lower-windham-bennington-windsor
ocd-division/country:us/state:vt/sldl:windsor-1,vt-lower-windsor-1
ocd-division/country:us/state:vt/sldl:windsor-2,vt-lower-windsor-2
ocd-division/country:us/state:vt/sldl:windsor-3-1,vt-lower-windsor-3-1
ocd-division/country:us/state:vt/sldl:windsor-3-2,vt-lower-windsor-3-2
ocd-division/country:us/state:vt/sldl:windsor-4-1,vt-lower-windsor-4-1
ocd-division/country:us/state:vt/sldl:windsor-4-2,vt-lower-windsor-4-2
ocd-division/country:us/state:vt/sldl:windsor-5,vt-lower-windsor-5
ocd-division/country:us/state:vt/sldl:windsor-orange-1,vt-lower-windsor-orange-1
ocd-division/country:us/state:vt/sldl:windsor-orange-2,vt-lower-windsor-orange-2
ocd-division/country:us/state:vt/sldl:windsor-rutland,vt-lower-windsor-rutland
ocd-division/country:us/state:vt/sldu:addison,vt-upper-addison
ocd-division/country:us/state:vt/sldu:bennington,vt-upper-bennington
ocd-division/country:us/state:vt/sldu:caledonia,vt-upper-caledonia
ocd-division/country:us/state:vt/sldu:chittenden,vt-upper-chittenden
ocd-division/country:us/state:vt/sldu:essex-orleans,vt-upper-essex-orleans
ocd-division/country:us/state:vt/sldu:franklin,vt-upper-franklin
ocd-division/country:us/state:vt/sldu:grand_isle-chittenden,vt-upper-grand-isle-chittenden
ocd-division/country:us/state:vt/sldu:lamoille,vt-upper-lamoille
ocd-division/country:us/state:vt/sldu:orange,vt-upper-orange
ocd-division/country:us/state:vt/sldu:rutland,vt-upper-rutland
ocd-division/country:us/state:vt/sldu:washington,vt-upper-washington
ocd-division/country:us/state:vt/sldu:windham,vt-upper-windham
ocd-division/country:us/state:vt/sldu:windsor,vt-upper-windsor
