id,openstates_district
ocd-division/country:us/state:wv/sldl:1,wv-lower-1
ocd-division/country:us/state:wv/sldl:2,wv-lower-2
ocd-division/country:us/state:wv/sldl:3,wv-lower-3
ocd-division/country:us/state:wv/sldl:4,wv-lower-4
ocd-division/country:us/state:wv/sldl:5,wv-lower-5
ocd-division/country:us/state:wv/sldl:6,wv-lower-6
ocd-division/country:us/state:wv/sldl:7,wv-lower-7
ocd-division/country:us/state:wv/sldl:8,wv-lower-8
ocd-division/country:us/state:wv/sldl:9,wv-lower-9
ocd-division/country:us/state:wv/sldl:10,wv-lower-10
ocd-division/country:us/state:wv/sldl:11,wv-lower-11
ocd-division/country:us/state:wv/sldl:12,wv-lower-12
ocd-division/country:us/state:wv/sldl:13,wv-lower-13
ocd-division/country:us/state:wv/sldl:14,wv-lower-14
ocd-division/country:us/state:wv/sldl:15,wv-lower-15
ocd-division/country:us/state:wv/sldl:16,wv-lower-16
ocd-division/country:us/state:wv/sldl:17,wv-lower-17
ocd-division/country:us/state:wv/sldl:18,wv-lower-18
ocd-division/country:us/state:wv/sldl:19,wv-lower-19
ocd-division/country:us/state:wv/sldl:20,wv-lower-20
ocd-division/country:us/state:wv/sldl:21,wv-lower-21
ocd-division/country:us/state:wv/sldl:22,wv-lower-22
ocd-division/country:us/state:wv/sldl:23,wv-lower-23
ocd-division/country:us/state:wv/sldl:24,wv-lower-24
ocd-division/country:us/state:wv/sldl:25,wv-lower-25
ocd-division/country:us/state:wv/sldl:26,wv-lower-26
ocd-division/country:us/state:wv/sldl:27,wv-lower-27
ocd-division/country:us/state:wv/sldl:28,wv-lower-28
ocd-division/country:us/state:wv/sldl:29,wv-lower-29
ocd-division/country:us/state:wv/sldl:30,wv-lower-30
ocd-division/country:us/state:wv/sldl:31,wv-lower-31
ocd-division/country:us/state:wv/sldl:32,wv-lower-32
ocd-division/country:us/state:wv/sldl:33,wv-lower-33
ocd-division/country:us/state:wv/sldl:34,wv-lower-34
ocd-division/country:us/state:wv/sldl:35,wv-lower-35
ocd-division/country:us/state:wv/sldl:36,wv-lower-36
ocd-division/country:us/state:wv/sldl:37,wv-lower-37
ocd-division/country:us/state:wv/sldl:38,wv-lower-38
ocd-division/country:us/state:wv/sldl:39,wv-lower-39
ocd-division/country:us/state:wv/sldl:40,wv-lower-40
ocd-division/country:us/state:wv/sldl:41,wv-lower-41
ocd-division/country:us/state:wv/sldl:42,wv-lower-42
ocd-division/country:us/state:wv/sldl:43,wv-lower-43
ocd-division/country:us/state:wv/sldl:44,wv-lower-44
ocd-division/country:us/state:wv/sldl:45,wv-lower-45
ocd-division/country:us/state:wv/sldl:46,wv-lower-46
ocd-division/country:us/state:wv/sldl:47,wv-lower-47
ocd-division/country:us/state:wv/sldl:48,wv-lower-48
ocd-division/country:us/state:wv/sldl:49,wv-lower-49
ocd-division/country:us/state:wv/sldl:50,wv-lower-50
ocd-division/country:us/state:wv/sldl:51,wv-lower-51
ocd-division/country:us/state:wv/sldl:52,wv-lower-52
ocd-division/country:us/state:wv/sldl:53,wv-lower-53
ocd-division/country:us/state:wv/sldl:54,wv-lower-54
ocd-division/country:us/state:wv/sldl:55,wv-lower-55
ocd-division/country:us/state:wv/sldl:56,wv-lower-56
ocd-division/country:us/state:wv/sldl:57,wv-lower-57
ocd-division/country:us/state:wv/sldl:58,wv-lower-58
ocd-division/country:us/state:wv/sldl:59,wv-lower-59
ocd-division/country:us/state:wv/sldl:60,wv-lower-60
ocd-division/country:us/state:wv/sldl:61,wv-lower-61
ocd-division/country:us/state:wv/sldl:62,wv-lower-62
ocd-division/country:us/state:wv/sldl:63,wv-lower-63
ocd-division/country:us/state:wv/sldl:64,wv-lower-64
ocd-division/country:us/state:wv/sldl:65,wv-lower-65
ocd-division/country:us/state:wv/sldl:66,wv-lower-66
ocd-division/country:us/state:wv/sldl:67,wv-lower-67
ocd-division/country:us/state:wv/sldu:1,wv-upper-1
ocd-division/country:us/state:wv/sldu:2,wv-upper-2
ocd-division/country:us/state:wv/sldu:3,wv-upper-3
ocd-division/country:us/state:wv/sldu:4,wv-upper-4
ocd-division/country:us/state:wv/sldu:5,wv-upper-5
ocd-division/country:us/state:wv/sldu:6,wv-upper-6
ocd-division/country:us/state:wv/sldu:7,wv-upper-7
ocd-division/country:us/state:wv/sldu:8,wv-upper-8
ocd-division/country:us/state:wv/sldu:9,wv-upper-9
ocd-division/country:us/state:wv/sldu:10,wv-upper-10
ocd-division/country:us/state:wv/sldu:11,wv-upper-11
ocd-division/country:us/state:wv/sldu:12,wv-upper-12
ocd-division/country:us/state:wv/sldu:13,wv-upper-13
ocd-division/country:us/state:wv/sldu:14,wv-upper-14
ocd-division/country:us/state:wv/sldu:15,wv-upper-15
ocd-division/country:us/state:wv/sldu:16,wv-upper-16
ocd-division/country:us/state:wv/sldu:17,wv-upper-17
