ocd-division/country:us/state:ak/sldl:1/precinct:135-chena_lakes,Alaska precinct 01-135 Chena Lakes
ocd-division/country:us/state:ak/sldl:1/precinct:145-eielson,Alaska precinct 01-145 Eielson
ocd-division/country:us/state:ak/sldl:1/precinct:155-moose_creek,Alaska precinct 01-155 Moose Creek
ocd-division/country:us/state:ak/sldl:1/precinct:165-newby,Alaska precinct 01-165 Newby
ocd-division/country:us/state:ak/sldl:1/precinct:175-north_pole,Alaska precinct 01-175 North Pole
ocd-division/country:us/state:ak/sldl:1/precinct:183-plack,Alaska precinct 01-183 Plack
ocd-division/country:us/state:ak/sldl:1/precinct:195-salcha_1,Alaska precinct 01-195 Salcha No. 1
ocd-division/country:us/state:ak/sldl:2/precinct:235-badger_1,Alaska precinct 02-235 Badger No. 1
ocd-division/country:us/state:ak/sldl:2/precinct:245-fox,Alaska precinct 02-245 Fox
ocd-division/country:us/state:ak/sldl:2/precinct:265-steese_east,Alaska precinct 02-265 Steese East
ocd-division/country:us/state:ak/sldl:2/precinct:270-steese_west,Alaska precinct 02-270 Steese West
ocd-division/country:us/state:ak/sldl:2/precinct:275-two_rivers,Alaska precinct 02-275 Two Rivers
ocd-division/country:us/state:ak/sldl:3/precinct:345-badger_2,Alaska precinct 03-345 Badger No. 2
ocd-division/country:us/state:ak/sldl:3/precinct:355-fairbanks_8,Alaska precinct 03-355 Fairbanks No. 8
ocd-division/country:us/state:ak/sldl:3/precinct:365-fairbanks_9,Alaska precinct 03-365 Fairbanks No. 9
ocd-division/country:us/state:ak/sldl:3/precinct:375-fort_wainwright,Alaska precinct 03-375 Fort Wainwright
ocd-division/country:us/state:ak/sldl:3/precinct:385-richardson,Alaska precinct 03-385 Richardson
ocd-division/country:us/state:ak/sldl:4/precinct:446-aurora,Alaska precinct 04-446 Aurora
ocd-division/country:us/state:ak/sldl:4/precinct:455-fairbanks_1,Alaska precinct 04-455 Fairbanks No. 1
ocd-division/country:us/state:ak/sldl:4/precinct:465-fairbanks_2,Alaska precinct 04-465 Fairbanks No. 2
ocd-division/country:us/state:ak/sldl:4/precinct:470-fairbanks_3,Alaska precinct 04-470 Fairbanks No. 3
ocd-division/country:us/state:ak/sldl:4/precinct:475-fairbanks_4,Alaska precinct 04-475 Fairbanks No. 4
ocd-division/country:us/state:ak/sldl:4/precinct:480-fairbanks_5,Alaska precinct 04-480 Fairbanks No. 5
ocd-division/country:us/state:ak/sldl:4/precinct:485-fairbanks_6,Alaska precinct 04-485 Fairbanks No. 6
ocd-division/country:us/state:ak/sldl:4/precinct:490-fairbanks_7,Alaska precinct 04-490 Fairbanks No. 7
ocd-division/country:us/state:ak/sldl:4/precinct:495-fairbanks_10,Alaska precinct 04-495 Fairbanks No. 10
ocd-division/country:us/state:ak/sldl:4/precinct:499-lakeview,Alaska precinct 04-499 Lakeview
ocd-division/country:us/state:ak/sldl:5/precinct:580-airport,Alaska precinct 05-580 Airport
ocd-division/country:us/state:ak/sldl:5/precinct:582-chena,Alaska precinct 05-582 Chena
ocd-division/country:us/state:ak/sldl:5/precinct:584-farmers_loop,Alaska precinct 05-584 Farmers Loop
ocd-division/country:us/state:ak/sldl:5/precinct:586-geist,Alaska precinct 05-586 Geist
ocd-division/country:us/state:ak/sldl:5/precinct:588-pike,Alaska precinct 05-588 Pike
ocd-division/country:us/state:ak/sldl:5/precinct:590-salcha_2,Alaska precinct 05-590 Salcha No. 2
ocd-division/country:us/state:ak/sldl:5/precinct:592-shanly,Alaska precinct 05-592 Shanly
ocd-division/country:us/state:ak/sldl:5/precinct:594-university_campus,Alaska precinct 05-594 University Campus
ocd-division/country:us/state:ak/sldl:5/precinct:596-university_west,Alaska precinct 05-596 University West
ocd-division/country:us/state:ak/sldl:6/precinct:600-big_delta,Alaska precinct 06-600 Big Delta
