Autauga County,ocd-division/country:us/state:al/county:autauga
Baldwin County,ocd-division/country:us/state:al/county:baldwin
Barbour County,ocd-division/country:us/state:al/county:barbour
Bibb County,ocd-division/country:us/state:al/county:bibb
Blount County,ocd-division/country:us/state:al/county:blount
Bullock County,ocd-division/country:us/state:al/county:bullock
Butler County,ocd-division/country:us/state:al/county:butler
Calhoun County,ocd-division/country:us/state:al/county:calhoun
Chambers County,ocd-division/country:us/state:al/county:chambers
Cherokee County,ocd-division/country:us/state:al/county:cherokee
Chilton County,ocd-division/country:us/state:al/county:chilton
Choctaw County,ocd-division/country:us/state:al/county:choctaw
Clarke County,ocd-division/country:us/state:al/county:clarke
Clay County,ocd-division/country:us/state:al/county:clay
Cleburne County,ocd-division/country:us/state:al/county:cleburne
Coffee County,ocd-division/country:us/state:al/county:coffee
Colbert County,ocd-division/country:us/state:al/county:colbert
Conecuh County,ocd-division/country:us/state:al/county:conecuh
Coosa County,ocd-division/country:us/state:al/county:coosa
Covington County,ocd-division/country:us/state:al/county:covington
Crenshaw County,ocd-division/country:us/state:al/county:crenshaw
Cullman County,ocd-division/country:us/state:al/county:cullman
Dale County,ocd-division/country:us/state:al/county:dale
Dallas County,ocd-division/country:us/state:al/county:dallas
DeKalb County,ocd-division/country:us/state:al/county:dekalb
Elmore County,ocd-division/country:us/state:al/county:elmore
Escambia County,ocd-division/country:us/state:al/county:escambia
Etowah County,ocd-division/country:us/state:al/county:etowah
Fayette County,ocd-division/country:us/state:al/county:fayette
Franklin County,ocd-division/country:us/state:al/county:franklin
Geneva County,ocd-division/country:us/state:al/county:geneva
Greene County,ocd-division/country:us/state:al/county:greene
Hale County,ocd-division/country:us/state:al/county:hale
Henry County,ocd-division/country:us/state:al/county:henry
Houston County,ocd-division/country:us/state:al/county:houston
Jackson County,ocd-division/country:us/state:al/county:jackson
Jefferson County,ocd-division/country:us/state:al/county:jefferson
Lamar County,ocd-division/country:us/state:al/county:lamar
Lauderdale County,ocd-division/country:us/state:al/county:lauderdale
Lawrence County,ocd-division/country:us/state:al/county:lawrence
Lee County,ocd-division/country:us/state:al/county:lee
Limestone County,ocd-division/country:us/state:al/county:limestone
Lowndes County,ocd-division/country:us/state:al/county:lowndes
Macon County,ocd-division/country:us/state:al/county:macon
Madison County,ocd-division/country:us/state:al/county:madison
Marengo County,ocd-division/country:us/state:al/county:marengo
Marion County,ocd-division/country:us/state:al/county:marion
Marshall County,ocd-division/country:us/state:al/county:marshall
Mobile County,ocd-division/country:us/state:al/county:mobile
Monroe County,ocd-division/country:us/state:al/county:monroe
Montgomery County,ocd-division/country:us/state:al/county:montgomery
Morgan County,ocd-division/country:us/state:al/county:morgan
Perry County,ocd-division/country:us/state:al/county:perry
Pickens County,ocd-division/country:us/state:al/county:pickens
Pike County,ocd-division/country:us/state:al/county:pike
Randolph County,ocd-division/country:us/state:al/county:randolph
Russell County,ocd-division/country:us/state:al/county:russell
Shelby County,ocd-division/country:us/state:al/county:shelby
St. Clair County,ocd-division/country:us/state:al/county:st_clair
Sumter County,ocd-division/country:us/state:al/county:sumter
Talladega County,ocd-division/country:us/state:al/county:talladega
Tallapoosa County,ocd-division/country:us/state:al/county:tallapoosa
Tuscaloosa County,ocd-division/country:us/state:al/county:tuscaloosa
Walker County,ocd-division/country:us/state:al/county:walker
Washington County,ocd-division/country:us/state:al/county:washington
Wilcox County,ocd-division/country:us/state:al/county:wilcox
