ocd-division/country:us/state:al/county:autauga/school_district:autauga_county,autauga county
ocd-division/country:us/state:al/county:baldwin/school_district:baldwin_county,baldwin county
ocd-division/country:us/state:al/county:barbour/school_district:barbour_county,barbour county
ocd-division/country:us/state:al/county:barbour/school_district:eufaula_city,eufaula city
ocd-division/country:us/state:al/county:bibb/school_district:bibb_county,bibb county
ocd-division/country:us/state:al/county:bibb/school_district:boyd_school,boyd school
ocd-division/country:us/state:al/county:blount/school_district:blount_county,blount county
ocd-division/country:us/state:al/county:blount/school_district:oneonta_city,oneonta city
ocd-division/country:us/state:al/county:bullock/school_district:bullock_county,bullock county
ocd-division/country:us/state:al/county:butler/school_district:butler_county,butler county
ocd-division/country:us/state:al/county:calhoun/school_district:anniston_city,anniston city
ocd-division/country:us/state:al/county:calhoun/school_district:calhoun_county,calhoun county
ocd-division/country:us/state:al/county:calhoun/school_district:jacksonville_city,jacksonville city
ocd-division/country:us/state:al/county:calhoun/school_district:oxford_city,oxford city
ocd-division/country:us/state:al/county:calhoun/school_district:piedmont_city,piedmont city
ocd-division/country:us/state:al/county:chambers/school_district:chambers_county,chambers county
ocd-division/country:us/state:al/county:chambers/school_district:lanett_city,lanett city
ocd-division/country:us/state:al/county:cherokee/school_district:cherokee_county,cherokee county
ocd-division/country:us/state:al/county:chilton/school_district:chilton_county,chilton county
ocd-division/country:us/state:al/county:choctaw/school_district:choctaw_county,choctaw county
ocd-division/country:us/state:al/county:clarke/school_district:clarke_county,clarke county
ocd-division/country:us/state:al/county:clarke/school_district:thomasville_city,thomasville city
ocd-division/country:us/state:al/county:clay/school_district:clay_county,clay county
ocd-division/country:us/state:al/county:cleburne/school_district:cleburne_county,cleburne county
ocd-division/country:us/state:al/county:coffee/school_district:coffee_county,coffee county
ocd-division/country:us/state:al/county:coffee/school_district:elba_city,elba city
ocd-division/country:us/state:al/county:coffee/school_district:enterprise_city,enterprise city
ocd-division/country:us/state:al/county:coffee/school_district:pathway_inc,pathway inc
ocd-division/country:us/state:al/county:colbert/school_district:colbert_county,colbert county
ocd-division/country:us/state:al/county:colbert/school_district:muscle_shoals_city,muscle shoals city
ocd-division/country:us/state:al/county:colbert/school_district:sheffield_city,sheffield city
ocd-division/country:us/state:al/county:colbert/school_district:tuscumbia_city,tuscumbia city
ocd-division/country:us/state:al/county:conecuh/school_district:compass_academy,compass academy
ocd-division/country:us/state:al/county:conecuh/school_district:conecuh_county,conecuh county
ocd-division/country:us/state:al/county:coosa/school_district:coosa_county,coosa county
ocd-division/country:us/state:al/county:covington/school_district:andalusia_city,andalusia city
ocd-division/country:us/state:al/county:covington/school_district:covington_county,covington county
ocd-division/country:us/state:al/county:covington/school_district:opp_city,opp city
ocd-division/country:us/state:al/county:crenshaw/school_district:crenshaw_county,crenshaw county
ocd-division/country:us/state:al/county:cullman/school_district:cullman_city,cullman city
ocd-division/country:us/state:al/county:cullman/school_district:cullman_county,cullman county
ocd-division/country:us/state:al/county:dale/school_district:dale_county,dale county
ocd-division/country:us/state:al/county:dale/school_district:daleville_city,daleville city
ocd-division/country:us/state:al/county:dale/school_district:ozark_city,ozark city
ocd-division/country:us/state:al/county:dallas/school_district:dallas_county,dallas county
ocd-division/country:us/state:al/county:dallas/school_district:selma_city,selma city
ocd-division/country:us/state:al/county:dekalb/school_district:dekalb_county,dekalb county
ocd-division/country:us/state:al/county:dekalb/school_district:fort_payne_city,fort payne city
ocd-division/country:us/state:al/county:elmore/school_district:elmore_county,elmore county
ocd-division/country:us/state:al/county:elmore/school_district:tallassee_city,tallassee city
ocd-division/country:us/state:al/county:escambia/school_district:brewton_city,brewton city
ocd-division/country:us/state:al/county:escambia/school_district:compass_school,compass school
ocd-division/country:us/state:al/county:escambia/school_district:escambia_county,escambia county
ocd-division/country:us/state:al/county:etowah/school_district:attalla_city,attalla city
ocd-division/country:us/state:al/county:etowah/school_district:etowah_academy,etowah academy
ocd-division/country:us/state:al/county:etowah/school_district:etowah_county,etowah county
ocd-division/country:us/state:al/county:etowah/school_district:excel_institute,excel institute
ocd-division/country:us/state:al/county:etowah/school_district:gadsden_city,gadsden city
ocd-division/country:us/state:al/county:etowah/school_district:the_bridge_ii,the bridge ii
ocd-division/country:us/state:al/county:fayette/school_district:fayette_county,fayette county
ocd-division/country:us/state:al/county:franklin/school_district:franklin_county,franklin county
ocd-division/country:us/state:al/county:franklin/school_district:russellville_city,russellville city
ocd-division/country:us/state:al/county:geneva/school_district:geneva_city,geneva city
ocd-division/country:us/state:al/county:geneva/school_district:geneva_county,geneva county
ocd-division/country:us/state:al/county:greene/school_district:greene_county,greene county
ocd-division/country:us/state:al/county:hale/school_district:hale_county,hale county
ocd-division/country:us/state:al/county:henry/school_district:henry_county,henry county
ocd-division/country:us/state:al/county:houston/school_district:dothan_city,dothan city
ocd-division/country:us/state:al/county:houston/school_district:houston_county,houston county
ocd-division/country:us/state:al/county:jackson/school_district:jackson_county,jackson county
ocd-division/country:us/state:al/county:jackson/school_district:scottsboro_city,scottsboro city
ocd-division/country:us/state:al/county:jefferson/school_district:alabama_clinical_school,alabama clinical school
ocd-division/country:us/state:al/county:jefferson/school_district:alabama_school_of_fine_arts,alabama school of fine arts
ocd-division/country:us/state:al/county:jefferson/school_district:bessemer_city,bessemer city
ocd-division/country:us/state:al/county:jefferson/school_district:birmingham_city,birmingham city
ocd-division/country:us/state:al/county:jefferson/school_district:fairfield_city,fairfield city
ocd-division/country:us/state:al/county:jefferson/school_district:glenwood_mental_health_service,glenwood mental health service
ocd-division/country:us/state:al/county:jefferson/school_district:higdon_hill_school,higdon hill school
ocd-division/country:us/state:al/county:jefferson/school_district:homewood_city,homewood city
ocd-division/country:us/state:al/county:jefferson/school_district:hoover_city,hoover city
ocd-division/country:us/state:al/county:jefferson/school_district:jefferson_county,jefferson county
ocd-division/country:us/state:al/county:jefferson/school_district:leeds_city,leeds city
ocd-division/country:us/state:al/county:jefferson/school_district:midfield_city,midfield city
ocd-division/country:us/state:al/county:jefferson/school_district:mountain_brook_city,mountain brook city
ocd-division/country:us/state:al/county:jefferson/school_district:safetynet_academy,safetynet academy
ocd-division/country:us/state:al/county:jefferson/school_district:tarrant_city,tarrant city
ocd-division/country:us/state:al/county:jefferson/school_district:the_rushton_school,the rushton school
ocd-division/country:us/state:al/county:jefferson/school_district:trussville_city,trussville city
ocd-division/country:us/state:al/county:jefferson/school_district:ucp_of_greater_birmingham,ucp of greater birmingham
ocd-division/country:us/state:al/county:jefferson/school_district:vestavia_hills_city,vestavia hills city
ocd-division/country:us/state:al/county:lamar/school_district:lamar_county,lamar county
ocd-division/country:us/state:al/county:lauderdale/school_district:florence_city,florence city
ocd-division/country:us/state:al/county:lauderdale/school_district:lauderdale_county,lauderdale county
ocd-division/country:us/state:al/county:lawrence/school_district:lawrence_county,lawrence county
ocd-division/country:us/state:al/county:lee/school_district:auburn_city,auburn city
ocd-division/country:us/state:al/county:lee/school_district:lee_county,lee county
ocd-division/country:us/state:al/county:lee/school_district:opelika_city,opelika city
ocd-division/country:us/state:al/county:limestone/school_district:athens_city,athens city
ocd-division/country:us/state:al/county:limestone/school_district:limestone_county,limestone county
ocd-division/country:us/state:al/county:lowndes/school_district:lowndes_county,lowndes county
ocd-division/country:us/state:al/county:macon/school_district:macon_county,macon county
ocd-division/country:us/state:al/county:macon/school_district:three_springs_new_tuskegee,three springs new tuskegee
ocd-division/country:us/state:al/county:madison/school_district:huntsville_city,huntsville city
