ocd-division/country:us/state:ar/county:arkansas/school_district:dewitt_school_district,dewitt school district
ocd-division/country:us/state:ar/county:arkansas/school_district:phillips_community_college_career_and_technical_center,phillips community college career & technical center
ocd-division/country:us/state:ar/county:arkansas/school_district:stuttgart_school_district,stuttgart school district
ocd-division/country:us/state:ar/county:ashley/school_district:crossett_school_district,crossett school district
ocd-division/country:us/state:ar/county:ashley/school_district:hamburg_school_district,hamburg school district
ocd-division/country:us/state:ar/county:baxter/school_district:cotter_school_district,cotter school district
ocd-division/country:us/state:ar/county:baxter/school_district:mountain_home_school_district,mountain home school district
ocd-division/country:us/state:ar/county:baxter/school_district:norfork_school_district,norfork school district
ocd-division/country:us/state:ar/county:benton/school_district:benton_county_school_of_arts,benton county school of arts
ocd-division/country:us/state:ar/county:benton/school_district:bentonville_school_district,bentonville school district
ocd-division/country:us/state:ar/county:benton/school_district:decatur_school_district,decatur school district
ocd-division/country:us/state:ar/county:benton/school_district:gentry_school_district,gentry school district
ocd-division/country:us/state:ar/county:benton/school_district:gravette_school_district,gravette school district
ocd-division/country:us/state:ar/county:benton/school_district:pea_ridge_school_district,pea ridge school district
ocd-division/country:us/state:ar/county:benton/school_district:rogers_school_district,rogers school district
ocd-division/country:us/state:ar/county:benton/school_district:siloam_springs_school_district,siloam springs school district
ocd-division/country:us/state:ar/county:boone/school_district:alpena_school_district,alpena school district
ocd-division/country:us/state:ar/county:boone/school_district:bergman_school_district,bergman school district
ocd-division/country:us/state:ar/county:boone/school_district:harrison_school_district,harrison school district
ocd-division/country:us/state:ar/county:boone/school_district:lead_hill_school_district,lead hill school district
ocd-division/country:us/state:ar/county:boone/school_district:north_arkansas_college_secondary_center,north arkansas college secondary center
ocd-division/country:us/state:ar/county:boone/school_district:omaha_school_district,omaha school district
ocd-division/country:us/state:ar/county:boone/school_district:valley_springs_school_district,valley springs school district
ocd-division/country:us/state:ar/county:bradley/school_district:hermitage_school_district,hermitage school district
ocd-division/country:us/state:ar/county:bradley/school_district:warren_school_district,warren school district
ocd-division/country:us/state:ar/county:calhoun/school_district:hampton_school_district,hampton school district
ocd-division/country:us/state:ar/county:carroll/school_district:berryville_school_district,berryville school district
ocd-division/country:us/state:ar/county:carroll/school_district:eureka_springs_school_district,eureka springs school district
ocd-division/country:us/state:ar/county:carroll/school_district:green_forest_school_district,green forest school district
ocd-division/country:us/state:ar/county:chicot/school_district:dermott_school_district,dermott school district
ocd-division/country:us/state:ar/county:chicot/school_district:lakeside_school_district,lakeside school district
ocd-division/country:us/state:ar/county:clark/school_district:arkadelphia_school_district,arkadelphia school district
