ocd-division/country:us/state:az/county:apache/school_district:alpine_elementary_district,alpine elementary district
ocd-division/country:us/state:az/county:apache/school_district:chinle_unified_district,chinle unified district
ocd-division/country:us/state:az/county:apache/school_district:concho_elementary_district,concho elementary district
ocd-division/country:us/state:az/county:apache/school_district:ganado_unified_school_district,ganado unified school district
ocd-division/country:us/state:az/county:apache/school_district:kin_dah_lichii_olta_inc,kin dah lichii olta  inc
ocd-division/country:us/state:az/county:apache/school_district:mcnary_elementary_district,mcnary elementary district
ocd-division/country:us/state:az/county:apache/school_district:nazlini_community_school_inc,nazlini community school  inc
ocd-division/country:us/state:az/county:apache/school_district:red_mesa_unified_district,red mesa unified district
ocd-division/country:us/state:az/county:apache/school_district:round_valley_unified_district,round valley unified district
ocd-division/country:us/state:az/county:apache/school_district:sanders_unified_district,sanders unified district
ocd-division/country:us/state:az/county:apache/school_district:st_johns_unified_district,st johns unified district
ocd-division/country:us/state:az/county:apache/school_district:vernon_elementary_district,vernon elementary district
ocd-division/country:us/state:az/county:apache/school_district:window_rock_unified_district,window rock unified district
ocd-division/country:us/state:az/county:cochise/school_district:apache_elementary_district,apache elementary district
ocd-division/country:us/state:az/county:cochise/school_district:ash_creek_elementary_district,ash creek elementary district
ocd-division/country:us/state:az/county:cochise/school_district:benson_unified_school_district,benson unified school district
ocd-division/country:us/state:az/county:cochise/school_district:bisbee_unified_district,bisbee unified district
ocd-division/country:us/state:az/county:cochise/school_district:bowie_unified_district,bowie unified district
ocd-division/country:us/state:az/county:cochise/school_district:center_for_academic_success_inc,center for academic success  inc
ocd-division/country:us/state:az/county:cochise/school_district:cochise_community_development_corporation,cochise community development corporation
ocd-division/country:us/state:az/county:cochise/school_district:cochise_county_juvenile_detention,cochise county juvenile detention
ocd-division/country:us/state:az/county:cochise/school_district:cochise_elementary_district,cochise elementary district
ocd-division/country:us/state:az/county:cochise/school_district:cochise_technology_district,cochise technology district
ocd-division/country:us/state:az/county:cochise/school_district:double_adobe_elementary_district,double adobe elementary district
ocd-division/country:us/state:az/county:cochise/school_district:douglas_unified_district,douglas unified district
ocd-division/country:us/state:az/county:cochise/school_district:elfrida_elementary_district,elfrida elementary district
ocd-division/country:us/state:az/county:cochise/school_district:forrest_elementary_district,forrest elementary district
ocd-division/country:us/state:az/county:cochise/school_district:fort_huachuca_accommodation_district,fort huachuca accommodation district
ocd-division/country:us/state:az/county:cochise/school_district:mcneal_elementary_district,mcneal elementary district
ocd-division/country:us/state:az/county:cochise/school_district:naco_elementary_district,naco elementary district
ocd-division/country:us/state:az/county:cochise/school_district:omega_alpha_academy,omega alpha academy
ocd-division/country:us/state:az/county:cochise/school_district:palominas_elementary_district,palominas elementary district
ocd-division/country:us/state:az/county:cochise/school_district:pearce_elementary_district,pearce elementary district
ocd-division/country:us/state:az/county:cochise/school_district:pomerene_elementary_district,pomerene elementary district
ocd-division/country:us/state:az/county:cochise/school_district:rucker_elementary_district,rucker elementary district
ocd-division/country:us/state:az/county:cochise/school_district:san_simon_unified_district,san simon unified district
ocd-division/country:us/state:az/county:cochise/school_district:sierra_summit_academy,sierra summit academy
ocd-division/country:us/state:az/county:cochise/school_district:sierra_vista_unified_district,sierra vista unified district
ocd-division/country:us/state:az/county:cochise/school_district:st_david_unified_district,st david unified district
ocd-division/country:us/state:az/county:cochise/school_district:tombstone_unified_district,tombstone unified district
ocd-division/country:us/state:az/county:cochise/school_district:valley_union_high_school_district,valley union high school district
ocd-division/country:us/state:az/county:cochise/school_district:visions_unlimited_academy_inc,visions unlimited academy  inc
ocd-division/country:us/state:az/county:cochise/school_district:willcox_unified_district,willcox unified district
ocd-division/country:us/state:az/county:coconino/school_district:chevelon_butte_school_district,chevelon butte school district
ocd-division/country:us/state:az/county:coconino/school_district:coconino_association_for_vocation_industry_and_technology,coconino association for vocation industry and technology
ocd-division/country:us/state:az/county:coconino/school_district:coconino_county_regional_accommodation_sd,coconino county regional accommodation sd
ocd-division/country:us/state:az/county:coconino/school_district:flagstaff_arts_and_leadership_academy,flagstaff arts and leadership academy
ocd-division/country:us/state:az/county:coconino/school_district:flagstaff_junior_academy,flagstaff junior academy
ocd-division/country:us/state:az/county:coconino/school_district:flagstaff_unified_district,flagstaff unified district
ocd-division/country:us/state:az/county:coconino/school_district:fredonia-moccasin_unified_district,fredonia-moccasin unified district
ocd-division/country:us/state:az/county:coconino/school_district:grand_canyon_unified_district,grand canyon unified district
ocd-division/country:us/state:az/county:coconino/school_district:haven_montessori_children~s_house_inc,haven montessori children's house  inc
ocd-division/country:us/state:az/county:coconino/school_district:maine_consolidated_school_district,maine consolidated school district
ocd-division/country:us/state:az/county:coconino/school_district:montessori_charter_school_of_flagstaff_inc,montessori charter school of flagstaff  inc
ocd-division/country:us/state:az/county:coconino/school_district:mountain_school_inc,mountain school  inc
ocd-division/country:us/state:az/county:coconino/school_district:northland_preparatory_academy,northland preparatory academy
ocd-division/country:us/state:az/county:coconino/school_district:page_unified_district,page unified district
ocd-division/country:us/state:az/county:coconino/school_district:painted_desert_demonstration_projects_inc,painted desert demonstration projects  inc
ocd-division/country:us/state:az/county:coconino/school_district:peak_school_inc_the,peak school inc  the
ocd-division/country:us/state:az/county:coconino/school_district:pine_forest_education_association_inc,pine forest education association  inc
ocd-division/country:us/state:az/county:coconino/school_district:sedona-oak_creek_jusd_~9,sedona-oak creek jusd #9
ocd-division/country:us/state:az/county:coconino/school_district:tuba_city_unified_district,tuba city unified district
ocd-division/country:us/state:az/county:coconino/school_district:williams_unified_district,williams unified district
ocd-division/country:us/state:az/county:gila/school_district:destiny_school_inc,destiny school  inc
ocd-division/country:us/state:az/county:gila/school_district:gila_county_juvenile_detention,gila county juvenile detention
ocd-division/country:us/state:az/county:gila/school_district:gila_county_regional_school_district,gila county regional school district
ocd-division/country:us/state:az/county:gila/school_district:gila_county_sheriffs_office,gila county sheriffs office
ocd-division/country:us/state:az/county:gila/school_district:globe_unified_district,globe unified district
ocd-division/country:us/state:az/county:gila/school_district:hayden-winkelman_unified_district,hayden-winkelman unified district
ocd-division/country:us/state:az/county:gila/school_district:liberty_high_school,liberty high school
ocd-division/country:us/state:az/county:gila/school_district:miami_unified_district,miami unified district
ocd-division/country:us/state:az/county:gila/school_district:payson_unified_district,payson unified district
ocd-division/country:us/state:az/county:gila/school_district:pine_strawberry_elementary_district,pine strawberry elementary district
ocd-division/country:us/state:az/county:gila/school_district:san_carlos_unified_district,san carlos unified district
ocd-division/country:us/state:az/county:gila/school_district:shelby_school_the,shelby school the
ocd-division/country:us/state:az/county:gila/school_district:tonto_basin_elementary_district,tonto basin elementary district
ocd-division/country:us/state:az/county:gila/school_district:young_elementary_district,young elementary district
ocd-division/country:us/state:az/county:graham/school_district:bonita_elementary_district,bonita elementary district
ocd-division/country:us/state:az/county:graham/school_district:discovery_plus_academy,discovery plus academy
ocd-division/country:us/state:az/county:graham/school_district:ft_thomas_unified_district,ft thomas unified district
ocd-division/country:us/state:az/county:graham/school_district:gila_educational_group_dba_gila_preparatory_academy,gila educational group dba gila preparatory academy
ocd-division/country:us/state:az/county:graham/school_district:gila_institute_for_technology,gila institute for technology
ocd-division/country:us/state:az/county:graham/school_district:graham_county_juvenile_detention,graham county juvenile detention
ocd-division/country:us/state:az/county:graham/school_district:graham_county_school_superintendent,graham county school superintendent
ocd-division/country:us/state:az/county:graham/school_district:graham_county_special_services,graham county special services
ocd-division/country:us/state:az/county:graham/school_district:greenlee_juvenile_detention_center,greenlee juvenile detention center
ocd-division/country:us/state:az/county:graham/school_district:klondyke_elementary_district,klondyke elementary district
ocd-division/country:us/state:az/county:graham/school_district:pima_unified_district,pima unified district
ocd-division/country:us/state:az/county:graham/school_district:safford_unified_district,safford unified district
ocd-division/country:us/state:az/county:graham/school_district:solomon_elementary_district,solomon elementary district
ocd-division/country:us/state:az/county:graham/school_district:thatcher_unified_district,thatcher unified district
ocd-division/country:us/state:az/county:graham/school_district:triumphant_learning_center,triumphant learning center
ocd-division/country:us/state:az/county:greenlee/school_district:blue_elementary_district,blue elementary district
ocd-division/country:us/state:az/county:greenlee/school_district:clifton_unified_district,clifton unified district
ocd-division/country:us/state:az/county:greenlee/school_district:duncan_unified_district,duncan unified district
ocd-division/country:us/state:az/county:greenlee/school_district:eagle_elementary_district,eagle elementary district
ocd-division/country:us/state:az/county:greenlee/school_district:greenlee_alternative_school_district,greenlee alternative school district
ocd-division/country:us/state:az/county:greenlee/school_district:greenlee_county_accommodation_district,greenlee county accommodation district
ocd-division/country:us/state:az/county:greenlee/school_district:greenlee_county_sheriffs_office,greenlee county sheriffs office
ocd-division/country:us/state:az/county:greenlee/school_district:morenci_unified_district,morenci unified district
ocd-division/country:us/state:az/county:la_paz/school_district:bicentennial_union_high_school_district,bicentennial union high school district
ocd-division/country:us/state:az/county:la_paz/school_district:bouse_elementary_district,bouse elementary district
ocd-division/country:us/state:az/county:la_paz/school_district:e.q._scholars_inc,e.q. scholars  inc
ocd-division/country:us/state:az/county:la_paz/school_district:parker_unified_school_district,parker unified school district
ocd-division/country:us/state:az/county:la_paz/school_district:quartzsite_elementary_district,quartzsite elementary district
ocd-division/country:us/state:az/county:la_paz/school_district:salome_consolidated_elementary_district,salome consolidated elementary district
ocd-division/country:us/state:az/county:la_paz/school_district:wenden_elementary_district,wenden elementary district
ocd-division/country:us/state:az/county:maricopa/school_district:academy_of_excellence_inc,academy of excellence  inc
ocd-division/country:us/state:az/county:maricopa/school_district:academy_with_community_partners_inc,academy with community partners  inc
ocd-division/country:us/state:az/county:maricopa/school_district:accelerated_learning_center_inc,accelerated learning center  inc
ocd-division/country:us/state:az/county:maricopa/school_district:acclaim_charter_school,acclaim charter school
ocd-division/country:us/state:az/county:maricopa/school_district:advanced_education_services_inc,advanced education services  inc
ocd-division/country:us/state:az/county:maricopa/school_district:agua_fria_union_high_school_district,agua fria union high school district
ocd-division/country:us/state:az/county:maricopa/school_district:aguila_elementary_district,aguila elementary district
ocd-division/country:us/state:az/county:maricopa/school_district:ahwatukee_foothills_prep_inc,ahwatukee foothills prep  inc
ocd-division/country:us/state:az/county:maricopa/school_district:aibt_non-profit_charter_high_school_-_phoenix,aibt non-profit charter high school - phoenix
ocd-division/country:us/state:az/county:maricopa/school_district:alhambra_education_partnerships_inc,alhambra education partnerships  inc
ocd-division/country:us/state:az/county:maricopa/school_district:alhambra_elementary_district,alhambra elementary district
ocd-division/country:us/state:az/county:maricopa/school_district:all_aboard_charter_school,all aboard charter school
ocd-division/country:us/state:az/county:maricopa/school_district:allen-cochran_enterprises_inc,allen-cochran enterprises  inc
ocd-division/country:us/state:az/county:maricopa/school_district:ambassador_academy,ambassador academy
ocd-division/country:us/state:az/county:maricopa/school_district:american_basic_schools_llc,american basic schools llc
ocd-division/country:us/state:az/county:maricopa/school_district:american_charter_schools_foundation_d.b.a._alta_vista_high_school,american charter schools foundation d.b.a. alta vista high school
ocd-division/country:us/state:az/county:maricopa/school_district:american_charter_schools_foundation_d.b.a._apache_trail_high_school,american charter schools foundation d.b.a. apache trail high school
ocd-division/country:us/state:az/county:maricopa/school_district:american_charter_schools_foundation_d.b.a._crestview_college,american charter schools foundation d.b.a. crestview college
