ocd-division/country:us/state:az/county:apache/precinct:2-alpine,Apache County AZ - 02 Alpine 
ocd-division/country:us/state:az/county:apache/precinct:3-canyon_de_chelly,Apache County AZ - 03 Canyon de Chelly - Prec #: 03.1
ocd-division/country:us/state:az/county:apache/precinct:5-chinle,Apache County AZ - 05 Chinle - Prec #: 05.1
ocd-division/country:us/state:az/county:apache/precinct:9-concho,Apache County AZ - 09 Concho 
ocd-division/country:us/state:az/county:apache/precinct:10-cornfields,Apache County AZ - 10 Cornfields - Prec #: 10.1
ocd-division/country:us/state:az/county:apache/precinct:11-cottonwood,Apache County AZ - 11 Cottonwood - Prec #: 11.1
ocd-division/country:us/state:az/county:apache/precinct:12-coronado,Apache County AZ - 12 Coronado - Prec #: 12.1 / 12.2
ocd-division/country:us/state:az/county:apache/precinct:13-dennehotso,Apache County AZ - 13 Dennehotso - Prec #: 13.1
ocd-division/country:us/state:az/county:apache/precinct:16-eagar,Apache County AZ - 16 Eagar - Prec #: 16.1 / 16.2
ocd-division/country:us/state:az/county:apache/precinct:17-flat_top,Apache County AZ - 17 Flat Top - Prec #: 17.1 / 17.2 / 17.3
ocd-division/country:us/state:az/county:apache/precinct:19-fort_defiance,Apache County AZ - 19 Fort Defiance - Prec #: 19.1
ocd-division/country:us/state:az/county:apache/precinct:22-ganado_north,Apache County AZ - 22 Ganado North - Prec #: 22.1
ocd-division/country:us/state:az/county:apache/precinct:23-ganado_south,Apache County AZ - 23 Ganado South - Prec #: 23.1
ocd-division/country:us/state:az/county:apache/precinct:25-greer,Apache County AZ - 25 Greer - Prec #: 25.1 / 25.2 / 25.3
ocd-division/country:us/state:az/county:apache/precinct:27-houck,Apache County AZ - 27 Houck - Prec #: 27.1
ocd-division/country:us/state:az/county:apache/precinct:29-kinlichee,Apache County AZ - 29 Kinlichee 
ocd-division/country:us/state:az/county:apache/precinct:31-klagetoh,Apache County AZ - 31 Klagetoh 
ocd-division/country:us/state:az/county:apache/precinct:33-lukachukai,Apache County AZ - 33 Lukachukai - Prec #: 33.1 / 33.2
ocd-division/country:us/state:az/county:apache/precinct:35-lupton,Apache County AZ - 35 Lupton - Prec #: 35.1
ocd-division/country:us/state:az/county:apache/precinct:37-mcnary,Apache County AZ - 37 McNary - Prec #: 37.1
ocd-division/country:us/state:az/county:apache/precinct:39-many_farms,Apache County AZ - 39 Many Farms - Prec #: 39.1 / 39.2
ocd-division/country:us/state:az/county:apache/precinct:41-mexican_water,Apache County AZ - 41 Mexican Water - Prec #: 41.1
ocd-division/country:us/state:az/county:apache/precinct:43-nazlini,Apache County AZ - 43 Nazlini - Prec #: 43.1
ocd-division/country:us/state:az/county:apache/precinct:45-nutrioso,Apache County AZ - 45 Nutrioso - Prec #: 45.1 / 45.2
ocd-division/country:us/state:az/county:apache/precinct:46-oak_springs,Apache County AZ - 46 Oak Springs 
ocd-division/country:us/state:az/county:apache/precinct:48-puerco_east,Apache County AZ - 48 Puerco East - Prec #: 48.1
ocd-division/country:us/state:az/county:apache/precinct:49-puerco_west,Apache County AZ - 49 Puerco West - Prec #: 49.1
ocd-division/country:us/state:az/county:apache/precinct:51-red_mesa,Apache County AZ - 51 Red Mesa - Prec #: 51.1
ocd-division/country:us/state:az/county:apache/precinct:52-red_valley,Apache County AZ - 52 Red Valley - Prec #: 52.1
ocd-division/country:us/state:az/county:apache/precinct:54-rock_point,Apache County AZ - 54 Rock Point - Prec #: 54.1
ocd-division/country:us/state:az/county:apache/precinct:56-rough_rock,Apache County AZ - 56 Rough Rock - Prec #: 56.1 / 56.2
ocd-division/country:us/state:az/county:apache/precinct:58-round_rock,Apache County AZ - 58 Round Rock - Prec #: 58.1
ocd-division/country:us/state:az/county:apache/precinct:59-round_valley,Apache County AZ - 59 Round Valley - Prec #: 59.1 / 59.2 / 59.3 / 59.4 / 59.5
ocd-division/country:us/state:az/county:apache/precinct:61-saint_johns,Apache County AZ - 61 St. Johns - Prec #: 61.1 / 61.2 / 61.3 / 61.4
ocd-division/country:us/state:az/county:apache/precinct:65-saint_michaels,Apache County AZ - 65 St. Michaels - Prec #: 65.1
ocd-division/country:us/state:az/county:apache/precinct:67-sawmill,Apache County AZ - 67 Sawmill 
ocd-division/country:us/state:az/county:apache/precinct:70-springerville,Apache County AZ - 70 Springerville - Prec #: 70.1 / 70.2
ocd-division/country:us/state:az/county:apache/precinct:74-steamboat,Apache County AZ - 74 Steamboat 
ocd-division/country:us/state:az/county:apache/precinct:76-sweetwater,Apache County AZ - 76 Sweetwater - Prec #: 76.1
ocd-division/country:us/state:az/county:apache/precinct:78-tachee,Apache County AZ - 78 Tachee - Prec #: 78.1
ocd-division/country:us/state:az/county:apache/precinct:80-teec_nos_pos,Apache County AZ - 80 Teec Nos Pos - Prec #: 80.1
ocd-division/country:us/state:az/county:apache/precinct:82-vernon,Apache County AZ - 82 Vernon 
ocd-division/country:us/state:az/county:apache/precinct:84-wheatfields,Apache County AZ - 84 Wheatfields - Prec #: 84.1
ocd-division/country:us/state:az/county:apache/precinct:86-wide_ruins,Apache County AZ - 86 Wide Ruins - Prec #: 86.1
ocd-division/country:us/state:az/county:apache/precinct:88-window_rock,Apache County AZ - 88 Window Rock - Prec #: 88.1
ocd-division/country:us/state:az/county:coconino/precinct:1-flagstaff,Coconino County AZ - Flagstaff 1
ocd-division/country:us/state:az/county:coconino/precinct:2-flagstaff,Coconino County AZ - Flagstaff 2
ocd-division/country:us/state:az/county:coconino/precinct:3-flagstaff,Coconino County AZ - Flagstaff 3
ocd-division/country:us/state:az/county:coconino/precinct:4-flagstaff,Coconino County AZ - Flagstaff 4
ocd-division/country:us/state:az/county:coconino/precinct:5-flagstaff,Coconino County AZ - Flagstaff 5
ocd-division/country:us/state:az/county:coconino/precinct:6-flagstaff,Coconino County AZ - Flagstaff 6
ocd-division/country:us/state:az/county:coconino/precinct:7-flagstaff,Coconino County AZ - Flagstaff 7
ocd-division/country:us/state:az/county:coconino/precinct:8-flagstaff,Coconino County AZ - Flagstaff 8
ocd-division/country:us/state:az/county:coconino/precinct:9-flagstaff,Coconino County AZ - Flagstaff 9
ocd-division/country:us/state:az/county:coconino/precinct:10-flagstaff,Coconino County AZ - Flagstaff 10
ocd-division/country:us/state:az/county:coconino/precinct:11-flagstaff,Coconino County AZ - Flagstaff 11
ocd-division/country:us/state:az/county:coconino/precinct:12-flagstaff,Coconino County AZ - Flagstaff 12
ocd-division/country:us/state:az/county:coconino/precinct:13-flagstaff,Coconino County AZ - Flagstaff 13
ocd-division/country:us/state:az/county:coconino/precinct:14-flagstaff,Coconino County AZ - Flagstaff 14
ocd-division/country:us/state:az/county:coconino/precinct:15-flagstaff,Coconino County AZ - Flagstaff 15
ocd-division/country:us/state:az/county:coconino/precinct:16-flagstaff,Coconino County AZ - Flagstaff 16
ocd-division/country:us/state:az/county:coconino/precinct:17-flagstaff,Coconino County AZ - Flagstaff 17
ocd-division/country:us/state:az/county:coconino/precinct:18-flagstaff,Coconino County AZ - Flagstaff 18
ocd-division/country:us/state:az/county:coconino/precinct:19-flagstaff,Coconino County AZ - Flagstaff 19
ocd-division/country:us/state:az/county:coconino/precinct:20-flagstaff,Coconino County AZ - Flagstaff 20
ocd-division/country:us/state:az/county:coconino/precinct:21-flagstaff,Coconino County AZ - Flagstaff 21
ocd-division/country:us/state:az/county:coconino/precinct:22-flagstaff,Coconino County AZ - Flagstaff 22
ocd-division/country:us/state:az/county:coconino/precinct:23-flagstaff,Coconino County AZ - Flagstaff 23
ocd-division/country:us/state:az/county:coconino/precinct:24-flagstaff,Coconino County AZ - Flagstaff 24
ocd-division/country:us/state:az/county:coconino/precinct:25-flagstaff,Coconino County AZ - Flagstaff 25
ocd-division/country:us/state:az/county:coconino/precinct:26-flagstaff,Coconino County AZ - Flagstaff 26
ocd-division/country:us/state:az/county:coconino/precinct:40-bellemont,Coconino County AZ - Bellemont 40
ocd-division/country:us/state:az/county:coconino/precinct:41-blue_ridge,Coconino County AZ - Blue Ridge 41
ocd-division/country:us/state:az/county:coconino/precinct:42-bodaway,Coconino County AZ - Bodaway 42
ocd-division/country:us/state:az/county:coconino/precinct:43-cameron,Coconino County AZ - Cameron 43
ocd-division/country:us/state:az/county:coconino/precinct:47-coppermine,Coconino County AZ - Coppermine 47
ocd-division/country:us/state:az/county:coconino/precinct:48-coalmine,Coconino County AZ - Coalmine 48
ocd-division/country:us/state:az/county:coconino/precinct:50-doney_park,Coconino County AZ - Doney Park 50
ocd-division/country:us/state:az/county:coconino/precinct:51-schultz,Coconino County AZ - Schultz 51
ocd-division/country:us/state:az/county:coconino/precinct:52-timberline_fernwood,Coconino County AZ - Timberline Fernwood 52
ocd-division/country:us/state:az/county:coconino/precinct:53-forest_lakes,Coconino County AZ - Forest Lakes 53
ocd-division/country:us/state:az/county:coconino/precinct:55-fort_valley_east,Coconino County AZ - Fort Valley East 55
ocd-division/country:us/state:az/county:coconino/precinct:56-fort_valley_west,Coconino County AZ - Fort Valley West 56
ocd-division/country:us/state:az/county:coconino/precinct:58-fredonia,Coconino County AZ - Fredonia 58
ocd-division/country:us/state:az/county:coconino/precinct:59-grand_canyon,Coconino County AZ - Grand Canyon 59
ocd-division/country:us/state:az/county:coconino/precinct:60-havasupai,Coconino County AZ - Havasupai 60
ocd-division/country:us/state:az/county:coconino/precinct:61-inscription_house,Coconino County AZ - Inscription House 61
ocd-division/country:us/state:az/county:coconino/precinct:62-pumphouse_wash,Coconino County AZ - Pumphouse Wash 62
ocd-division/country:us/state:az/county:coconino/precinct:63-mormon_lake,Coconino County AZ - Mormon Lake 63
ocd-division/country:us/state:az/county:coconino/precinct:64-kaibab_north,Coconino County AZ - Kaibab North 64
ocd-division/country:us/state:az/county:coconino/precinct:65-kaibeto,Coconino County AZ - Kaibeto 65
ocd-division/country:us/state:az/county:coconino/precinct:66-kaibab_west,Coconino County AZ - Kaibab West 66
ocd-division/country:us/state:az/county:coconino/precinct:67-lechee,Coconino County AZ - Lechee 67
ocd-division/country:us/state:az/county:coconino/precinct:69-leupp,Coconino County AZ - Leupp 69
ocd-division/country:us/state:az/county:coconino/precinct:70-moenkopi,Coconino County AZ - Moenkopi 70
ocd-division/country:us/state:az/county:coconino/precinct:71-navajo_mountain,Coconino County AZ - Navajo Mountain 71
ocd-division/country:us/state:az/county:coconino/precinct:72-page_central,Coconino County AZ - Page Central 72
ocd-division/country:us/state:az/county:coconino/precinct:73-page_east,Coconino County AZ - Page East 73
ocd-division/country:us/state:az/county:coconino/precinct:74-page_south,Coconino County AZ - Page South 74
ocd-division/country:us/state:az/county:coconino/precinct:75-page_west,Coconino County AZ - Page West 75
ocd-division/country:us/state:az/county:coconino/precinct:79-parks,Coconino County AZ - Parks 79
ocd-division/country:us/state:az/county:coconino/precinct:80-pinewood,Coconino County AZ - Pinewood 80
ocd-division/country:us/state:az/county:coconino/precinct:82-sedona_north,Coconino County AZ - Sedona North 82
ocd-division/country:us/state:az/county:coconino/precinct:83-sedona_south,Coconino County AZ - Sedona South 83
ocd-division/country:us/state:az/county:coconino/precinct:84-ranches,Coconino County AZ - Ranches 84
ocd-division/country:us/state:az/county:coconino/precinct:85-sunset_crater,Coconino County AZ - Sunset Crater 85
ocd-division/country:us/state:az/county:coconino/precinct:86-mountain_view,Coconino County AZ - Mountain View 86
ocd-division/country:us/state:az/county:coconino/precinct:88-tolani_lake,Coconino County AZ - Tolani Lake 88
ocd-division/country:us/state:az/county:coconino/precinct:90-tonalea,Coconino County AZ - Tonalea 90
ocd-division/country:us/state:az/county:coconino/precinct:92-winona,Coconino County AZ - Winona 92
ocd-division/country:us/state:az/county:coconino/precinct:93-tuba_city_northeast,Coconino County AZ - Tuba City Northeast 93
