Alameda County,ocd-division/country:us/state:ca/county:alameda
Alpine County,ocd-division/country:us/state:ca/county:alpine
Amador County,ocd-division/country:us/state:ca/county:amador
Butte County,ocd-division/country:us/state:ca/county:butte
Calaveras County,ocd-division/country:us/state:ca/county:calaveras
Colusa County,ocd-division/country:us/state:ca/county:colusa
Contra Costa County,ocd-division/country:us/state:ca/county:contra_costa
Del Norte County,ocd-division/country:us/state:ca/county:del_norte
El Dorado County,ocd-division/country:us/state:ca/county:el_dorado
Fresno County,ocd-division/country:us/state:ca/county:fresno
Glenn County,ocd-division/country:us/state:ca/county:glenn
Humboldt County,ocd-division/country:us/state:ca/county:humboldt
Imperial County,ocd-division/country:us/state:ca/county:imperial
Inyo County,ocd-division/country:us/state:ca/county:inyo
Kern County,ocd-division/country:us/state:ca/county:kern
Kings County,ocd-division/country:us/state:ca/county:kings
Lake County,ocd-division/country:us/state:ca/county:lake
Lassen County,ocd-division/country:us/state:ca/county:lassen
Los Angeles County,ocd-division/country:us/state:ca/county:los_angeles
Madera County,ocd-division/country:us/state:ca/county:madera
Marin County,ocd-division/country:us/state:ca/county:marin
Mariposa County,ocd-division/country:us/state:ca/county:mariposa
Mendocino County,ocd-division/country:us/state:ca/county:mendocino
Merced County,ocd-division/country:us/state:ca/county:merced
Modoc County,ocd-division/country:us/state:ca/county:modoc
Mono County,ocd-division/country:us/state:ca/county:mono
Monterey County,ocd-division/country:us/state:ca/county:monterey
Napa County,ocd-division/country:us/state:ca/county:napa
Nevada County,ocd-division/country:us/state:ca/county:nevada
Orange County,ocd-division/country:us/state:ca/county:orange
Placer County,ocd-division/country:us/state:ca/county:placer
Plumas County,ocd-division/country:us/state:ca/county:plumas
Riverside County,ocd-division/country:us/state:ca/county:riverside
Sacramento County,ocd-division/country:us/state:ca/county:sacramento
San Benito County,ocd-division/country:us/state:ca/county:san_benito
San Bernardino County,ocd-division/country:us/state:ca/county:san_bernardino
San Diego County,ocd-division/country:us/state:ca/county:san_diego
San Francisco County,ocd-division/country:us/state:ca/county:san_francisco
San Joaquin County,ocd-division/country:us/state:ca/county:san_joaquin
San Luis Obispo County,ocd-division/country:us/state:ca/county:san_luis_obispo
San Mateo County,ocd-division/country:us/state:ca/county:san_mateo
Santa Barbara County,ocd-division/country:us/state:ca/county:santa_barbara
Santa Clara County,ocd-division/country:us/state:ca/county:santa_clara
Santa Cruz County,ocd-division/country:us/state:ca/county:santa_cruz
Shasta County,ocd-division/country:us/state:ca/county:shasta
Sierra County,ocd-division/country:us/state:ca/county:sierra
Siskiyou County,ocd-division/country:us/state:ca/county:siskiyou
Solano County,ocd-division/country:us/state:ca/county:solano
Sonoma County,ocd-division/country:us/state:ca/county:sonoma
Stanislaus County,ocd-division/country:us/state:ca/county:stanislaus
Sutter County,ocd-division/country:us/state:ca/county:sutter
Tehama County,ocd-division/country:us/state:ca/county:tehama
Trinity County,ocd-division/country:us/state:ca/county:trinity
Tulare County,ocd-division/country:us/state:ca/county:tulare
Tuolumne County,ocd-division/country:us/state:ca/county:tuolumne
Ventura County,ocd-division/country:us/state:ca/county:ventura
Yolo County,ocd-division/country:us/state:ca/county:yolo
Yuba County,ocd-division/country:us/state:ca/county:yuba
