ocd-division/country:us/state:co/county:adams/school_district:adams_12_five_star_schools,adams 12 five star schools
ocd-division/country:us/state:co/county:adams/school_district:bennett_school_district_no._29j,bennett school district no. 29j
ocd-division/country:us/state:co/county:adams/school_district:brighton_school_district_no._27j,brighton school district no. 27j
ocd-division/country:us/state:co/county:adams/school_district:mapleton_school_district_no._1,mapleton school district no. 1
ocd-division/country:us/state:co/county:adams/school_district:school_district_n._14,school district n. 14
ocd-division/country:us/state:co/county:adams/school_district:strasburg_school_district_31j,strasburg school district 31j
ocd-division/country:us/state:co/county:adams/school_district:westminster_school_district_no._50,westminster school district no. 50
ocd-division/country:us/state:co/county:alamosa/school_district:alamosa_school_district_no._re-11j,alamosa school district no. re-11j
ocd-division/country:us/state:co/county:alamosa/school_district:sangre_de_cristo_school_district_no._re-22j,sangre de cristo school district no. re-22j
ocd-division/country:us/state:co/county:arapahoe/school_district:aurora_joint_district_no._28,aurora joint district no. 28
ocd-division/country:us/state:co/county:arapahoe/school_district:byers_school_district_no._32j,byers school district no. 32j
ocd-division/country:us/state:co/county:arapahoe/school_district:cherry_creek_school_district_no._5,cherry creek school district no. 5
ocd-division/country:us/state:co/county:arapahoe/school_district:deer_trail_school_district_no._26j,deer trail school district no. 26j
ocd-division/country:us/state:co/county:arapahoe/school_district:englewood_school_district_no._1,englewood school district no. 1
ocd-division/country:us/state:co/county:arapahoe/school_district:littleton_school_district_no._6,littleton school district no. 6
ocd-division/country:us/state:co/county:arapahoe/school_district:sheridan_school_district_no._2,sheridan school district no. 2
ocd-division/country:us/state:co/county:archuleta/school_district:archuleta_county_school_district_no._50_jt,archuleta county school district no. 50 jt
ocd-division/country:us/state:co/county:baca/school_district:campo_school_district_no._re-6,campo school district no. re-6
ocd-division/country:us/state:co/county:baca/school_district:pritchett_school_district_no._re-3,pritchett school district no. re-3
ocd-division/country:us/state:co/county:baca/school_district:springfield_school_district_no._re-4,springfield school district no. re-4
ocd-division/country:us/state:co/county:baca/school_district:vilas_school_district_re-5,vilas school district re-5
