ocd-division/country:us/state:co/place:denver/council_district:1,Denver_CO - City Council district 1
ocd-division/country:us/state:co/place:denver/council_district:2,Denver_CO - City Council district 2
ocd-division/country:us/state:co/place:denver/council_district:3,Denver_CO - City Council district 3
ocd-division/country:us/state:co/place:denver/council_district:4,Denver_CO - City Council district 4
ocd-division/country:us/state:co/place:denver/council_district:5,Denver_CO - City Council district 5
ocd-division/country:us/state:co/place:denver/council_district:6,Denver_CO - City Council district 6
ocd-division/country:us/state:co/place:denver/council_district:7,Denver_CO - City Council district 7
ocd-division/country:us/state:co/place:denver/council_district:8,Denver_CO - City Council district 8
ocd-division/country:us/state:co/place:denver/council_district:9,Denver_CO - City Council district 9
ocd-division/country:us/state:co/place:denver/council_district:10,Denver_CO - City Council district 10
ocd-division/country:us/state:co/place:denver/council_district:11,Denver_CO - City Council district 11
