ocd-division/country:us/state:ct/county:fairfield,Fairfield County
ocd-division/country:us/state:ct/county:hartford,Hartford County
ocd-division/country:us/state:ct/county:litchfield,Litchfield County
ocd-division/country:us/state:ct/county:middlesex,Middlesex County
ocd-division/country:us/state:ct/county:new_haven,New Haven County
ocd-division/country:us/state:ct/county:new_london,New London County
ocd-division/country:us/state:ct/county:tolland,Tolland County
ocd-division/country:us/state:ct/county:windham,Windham County
ocd-division/country:us/state:ct/place:andover,Andover town
ocd-division/country:us/state:ct/place:ansonia,Ansonia city
ocd-division/country:us/state:ct/place:ashford,Ashford town
ocd-division/country:us/state:ct/place:avon,Avon town
ocd-division/country:us/state:ct/place:bantam,Bantam borough
ocd-division/country:us/state:ct/place:barkhamsted,Barkhamsted town
ocd-division/country:us/state:ct/place:beacon_falls,Beacon Falls town
ocd-division/country:us/state:ct/place:berlin,Berlin town
ocd-division/country:us/state:ct/place:bethany,Bethany town
ocd-division/country:us/state:ct/place:bethel,Bethel town
ocd-division/country:us/state:ct/place:bethlehem,Bethlehem town
ocd-division/country:us/state:ct/place:bloomfield,Bloomfield town
ocd-division/country:us/state:ct/place:bolton,Bolton town
ocd-division/country:us/state:ct/place:bozrah,Bozrah town
ocd-division/country:us/state:ct/place:branford,Branford town
ocd-division/country:us/state:ct/place:bridgeport,Bridgeport city
ocd-division/country:us/state:ct/place:bridgewater,Bridgewater town
ocd-division/country:us/state:ct/place:bristol,Bristol city
ocd-division/country:us/state:ct/place:brookfield,Brookfield town
ocd-division/country:us/state:ct/place:brooklyn,Brooklyn town
ocd-division/country:us/state:ct/place:burlington,Burlington town
ocd-division/country:us/state:ct/place:canaan,Canaan town
ocd-division/country:us/state:ct/place:canterbury,Canterbury town
ocd-division/country:us/state:ct/place:canton,Canton town
ocd-division/country:us/state:ct/place:chaplin,Chaplin town
ocd-division/country:us/state:ct/place:cheshire,Cheshire town
ocd-division/country:us/state:ct/place:chester,Chester town
ocd-division/country:us/state:ct/place:clinton,Clinton town
ocd-division/country:us/state:ct/place:colchester,Colchester town
ocd-division/country:us/state:ct/place:colebrook,Colebrook town
ocd-division/country:us/state:ct/place:columbia,Columbia town
ocd-division/country:us/state:ct/place:cornwall,Cornwall town
ocd-division/country:us/state:ct/place:coventry,Coventry town
ocd-division/country:us/state:ct/place:cromwell,Cromwell town
ocd-division/country:us/state:ct/place:danbury,Danbury city
ocd-division/country:us/state:ct/place:danielson,Danielson borough
ocd-division/country:us/state:ct/place:darien,Darien town
ocd-division/country:us/state:ct/place:deep_river,Deep River town
ocd-division/country:us/state:ct/place:derby,Derby city
ocd-division/country:us/state:ct/place:durham,Durham town
ocd-division/country:us/state:ct/place:east_granby,East Granby town
ocd-division/country:us/state:ct/place:east_haddam,East Haddam town
ocd-division/country:us/state:ct/place:east_hampton,East Hampton town
ocd-division/country:us/state:ct/place:east_hartford,East Hartford town
ocd-division/country:us/state:ct/place:east_haven,East Haven town
ocd-division/country:us/state:ct/place:east_lyme,East Lyme town
ocd-division/country:us/state:ct/place:east_windsor,East Windsor town
ocd-division/country:us/state:ct/place:eastford,Eastford town
ocd-division/country:us/state:ct/place:easton,Easton town
ocd-division/country:us/state:ct/place:ellington,Ellington town
ocd-division/country:us/state:ct/place:enfield,Enfield town
ocd-division/country:us/state:ct/place:essex,Essex town
ocd-division/country:us/state:ct/place:fairfield,Fairfield town
