ocd-division/country:us/district:dc/school_district:achievement_preparatory_academy_pcs,achievement preparatory academy pcs
ocd-division/country:us/district:dc/school_district:appletree_early_learning_center_pcs,appletree early learning center pcs
ocd-division/country:us/district:dc/school_district:arts_and_technology_pcs,arts and technology pcs
ocd-division/country:us/district:dc/school_district:booker_t._washington_pcs,booker t. washington pcs
ocd-division/country:us/district:dc/school_district:bridges_pcs,bridges pcs
ocd-division/country:us/district:dc/school_district:capital_city_pcs,capital city pcs
ocd-division/country:us/district:dc/school_district:carlos_rosario_international_pcs,carlos rosario international pcs
ocd-division/country:us/district:dc/school_district:center_city_pcs,center city pcs
ocd-division/country:us/district:dc/school_district:cesar_chavez_public_pcs,cesar chavez public pcs
ocd-division/country:us/district:dc/school_district:community_academy_pcs,community academy pcs
ocd-division/country:us/district:dc/school_district:d.c._bilingual_pcs,d.c. bilingual pcs
ocd-division/country:us/district:dc/school_district:d.c._preparatory_academy_pcs,d.c. preparatory academy pcs
ocd-division/country:us/district:dc/school_district:district_of_columbia_public_schools,district of columbia public schools
ocd-division/country:us/district:dc/school_district:e.l._haynes_pcs,e.l. haynes pcs
ocd-division/country:us/district:dc/school_district:eagle_academy_pcs,eagle academy pcs
ocd-division/country:us/district:dc/school_district:early_childhood_academy_pcs,early childhood academy pcs
ocd-division/country:us/district:dc/school_district:education_strenghtens_families_pcs,education strenghtens families pcs
ocd-division/country:us/district:dc/school_district:elsie_whitlow_stokes_communtiy_freedom_pcs,elsie whitlow stokes communtiy freedom pcs
ocd-division/country:us/district:dc/school_district:excel_academy_pcs,excel academy pcs
ocd-division/country:us/district:dc/school_district:friendship_pcs,friendship pcs
ocd-division/country:us/district:dc/school_district:hope_community_academy_pcs,hope community academy pcs
ocd-division/country:us/district:dc/school_district:hospitality_pcs,hospitality pcs
ocd-division/country:us/district:dc/school_district:howard_road_academy_pcs,howard road academy pcs
ocd-division/country:us/district:dc/school_district:howard_university_middle_school_of_math_and_science,howard university middle school of math and science
ocd-division/country:us/district:dc/school_district:hyde_leadership_pcs,hyde leadership pcs
ocd-division/country:us/district:dc/school_district:ideal_academy_pcs,ideal academy pcs
ocd-division/country:us/district:dc/school_district:imagine_southeast_pcs,imagine southeast pcs
ocd-division/country:us/district:dc/school_district:integrated_design_electronics_academy_idea,integrated design electronics academy (idea)
ocd-division/country:us/district:dc/school_district:kipp_academy_pcs,kipp academy pcs
ocd-division/country:us/district:dc/school_district:latin_america_youth_bilingual_montessori,latin america youth bilingual montessori
ocd-division/country:us/district:dc/school_district:mary_mcleod_bethune_pcs,mary mcleod bethune  pcs
ocd-division/country:us/district:dc/school_district:maya_angelou_pcs,maya angelou pcs
ocd-division/country:us/district:dc/school_district:meridian_pcs,meridian pcs
ocd-division/country:us/district:dc/school_district:national_collegiate_prep,national collegiate prep
ocd-division/country:us/district:dc/school_district:nia_community_pcs,nia community pcs
ocd-division/country:us/district:dc/school_district:options_pcs,options pcs
ocd-division/country:us/district:dc/school_district:paul_jhs_pcs,paul jhs pcs
ocd-division/country:us/district:dc/school_district:potomac_lighthouse_pcs,potomac lighthouse pcs
ocd-division/country:us/district:dc/school_district:roots_pcs,roots pcs
ocd-division/country:us/district:dc/school_district:school_for_arts_in_learning_pcs_sail,school for arts in learning pcs (sail)
ocd-division/country:us/district:dc/school_district:seed_pcs,seed pcs
ocd-division/country:us/district:dc/school_district:septima_clark_pcs,septima clark pcs
ocd-division/country:us/district:dc/school_district:st._coletta_special_education_pcs,st. coletta special education pcs
ocd-division/country:us/district:dc/school_district:state_operative_agency,state operative agency
ocd-division/country:us/district:dc/school_district:the_next_step_pcs,the next step pcs
ocd-division/country:us/district:dc/school_district:thea_bowman_preparatory_academy_pcs,thea bowman preparatory academy pcs
ocd-division/country:us/district:dc/school_district:thurgood_marshall_academy_pcs,thurgood marshall academy pcs
ocd-division/country:us/district:dc/school_district:tree_of_life_pcs,tree of life pcs
ocd-division/country:us/district:dc/school_district:two_rivers_pcs,two rivers pcs
ocd-division/country:us/district:dc/school_district:washington_latin_pcs,washington latin pcs
ocd-division/country:us/district:dc/school_district:washington_math_science_pcs,washington math science pcs
ocd-division/country:us/district:dc/school_district:washington_yu_ying_pcs,washington yu ying pcs
ocd-division/country:us/district:dc/school_district:william_e._doar_jr_pcs,william e. doar jr pcs
ocd-division/country:us/district:dc/school_district:youth_build_pcs_layc,youth build pcs (layc)
