ocd-division/country:us/district:dc/ward:6/precinct:1,District of Columbia Ward 6 Precinct 1
ocd-division/country:us/district:dc/ward:2/precinct:2,District of Columbia Ward 2 Precinct 2
ocd-division/country:us/district:dc/ward:2/precinct:3,District of Columbia Ward 2 Precinct 3
ocd-division/country:us/district:dc/ward:2/precinct:4,District of Columbia Ward 2 Precinct 4
ocd-division/country:us/district:dc/ward:2/precinct:5,District of Columbia Ward 2 Precinct 5
ocd-division/country:us/district:dc/ward:2/precinct:6,District of Columbia Ward 2 Precinct 6
ocd-division/country:us/district:dc/ward:3/precinct:7,District of Columbia Ward 3 Precinct 7
ocd-division/country:us/district:dc/ward:3/precinct:8,District of Columbia Ward 3 Precinct 8
ocd-division/country:us/district:dc/ward:3/precinct:9,District of Columbia Ward 3 Precinct 9
ocd-division/country:us/district:dc/ward:3/precinct:10,District of Columbia Ward 3 Precinct 10
ocd-division/country:us/district:dc/ward:3/precinct:11,District of Columbia Ward 3 Precinct 11
ocd-division/country:us/district:dc/ward:3/precinct:12,District of Columbia Ward 3 Precinct 12
ocd-division/country:us/district:dc/ward:2/precinct:13,District of Columbia Ward 2 Precinct 13
ocd-division/country:us/district:dc/ward:2/precinct:14,District of Columbia Ward 2 Precinct 14
ocd-division/country:us/district:dc/ward:2/precinct:15,District of Columbia Ward 2 Precinct 15
ocd-division/country:us/district:dc/ward:2/precinct:16,District of Columbia Ward 2 Precinct 16
ocd-division/country:us/district:dc/ward:2/precinct:17,District of Columbia Ward 2 Precinct 17
ocd-division/country:us/district:dc/ward:6/precinct:18,District of Columbia Ward 6 Precinct 18
ocd-division/country:us/district:dc/ward:5/precinct:19,District of Columbia Ward 5 Precinct 19
ocd-division/country:us/district:dc/ward:1/precinct:20,District of Columbia Ward 1 Precinct 20
ocd-division/country:us/district:dc/ward:6/precinct:21,District of Columbia Ward 6 Precinct 21
ocd-division/country:us/district:dc/ward:1/precinct:22,District of Columbia Ward 1 Precinct 22
ocd-division/country:us/district:dc/ward:1/precinct:23,District of Columbia Ward 1 Precinct 23
ocd-division/country:us/district:dc/ward:1/precinct:24,District of Columbia Ward 1 Precinct 24
ocd-division/country:us/district:dc/ward:1/precinct:25,District of Columbia Ward 1 Precinct 25
ocd-division/country:us/district:dc/ward:3/precinct:26,District of Columbia Ward 3 Precinct 26
ocd-division/country:us/district:dc/ward:3/precinct:27,District of Columbia Ward 3 Precinct 27
ocd-division/country:us/district:dc/ward:3/precinct:28,District of Columbia Ward 3 Precinct 28
ocd-division/country:us/district:dc/ward:3/precinct:29,District of Columbia Ward 3 Precinct 29
ocd-division/country:us/district:dc/ward:3/precinct:30,District of Columbia Ward 3 Precinct 30
ocd-division/country:us/district:dc/ward:3/precinct:31,District of Columbia Ward 3 Precinct 31
ocd-division/country:us/district:dc/ward:3/precinct:32,District of Columbia Ward 3 Precinct 32
ocd-division/country:us/district:dc/ward:3/precinct:33,District of Columbia Ward 3 Precinct 33
ocd-division/country:us/district:dc/ward:3/precinct:34,District of Columbia Ward 3 Precinct 34
ocd-division/country:us/district:dc/ward:1/precinct:35,District of Columbia Ward 1 Precinct 35
ocd-division/country:us/district:dc/ward:1/precinct:36,District of Columbia Ward 1 Precinct 36
ocd-division/country:us/district:dc/ward:1/precinct:37,District of Columbia Ward 1 Precinct 37
ocd-division/country:us/district:dc/ward:1/precinct:38,District of Columbia Ward 1 Precinct 38
ocd-division/country:us/district:dc/ward:1/precinct:39,District of Columbia Ward 1 Precinct 39
ocd-division/country:us/district:dc/ward:1/precinct:40,District of Columbia Ward 1 Precinct 40
ocd-division/country:us/district:dc/ward:1/precinct:41,District of Columbia Ward 1 Precinct 41
ocd-division/country:us/district:dc/ward:1/precinct:42,District of Columbia Ward 1 Precinct 42
ocd-division/country:us/district:dc/ward:1/precinct:43,District of Columbia Ward 1 Precinct 43
ocd-division/country:us/district:dc/ward:5/precinct:44,District of Columbia Ward 5 Precinct 44
ocd-division/country:us/district:dc/ward:4/precinct:45,District of Columbia Ward 4 Precinct 45
ocd-division/country:us/district:dc/ward:4/precinct:46,District of Columbia Ward 4 Precinct 46
ocd-division/country:us/district:dc/ward:4/precinct:47,District of Columbia Ward 4 Precinct 47
ocd-division/country:us/district:dc/ward:4/precinct:48,District of Columbia Ward 4 Precinct 48
ocd-division/country:us/district:dc/ward:4/precinct:49,District of Columbia Ward 4 Precinct 49
ocd-division/country:us/district:dc/ward:3/precinct:50,District of Columbia Ward 3 Precinct 50
ocd-division/country:us/district:dc/ward:4/precinct:51,District of Columbia Ward 4 Precinct 51
ocd-division/country:us/district:dc/ward:4/precinct:52,District of Columbia Ward 4 Precinct 52
ocd-division/country:us/district:dc/ward:4/precinct:53,District of Columbia Ward 4 Precinct 53
ocd-division/country:us/district:dc/ward:4/precinct:54,District of Columbia Ward 4 Precinct 54
ocd-division/country:us/district:dc/ward:4/precinct:55,District of Columbia Ward 4 Precinct 55
ocd-division/country:us/district:dc/ward:4/precinct:56,District of Columbia Ward 4 Precinct 56
ocd-division/country:us/district:dc/ward:4/precinct:57,District of Columbia Ward 4 Precinct 57
