ocd-division/country:us/state:de/county:kent/school_district:academy_of_dover_charter_school,academy of dover charter school
ocd-division/country:us/state:de/county:kent/school_district:caesar_rodney_school_district,caesar rodney school district
ocd-division/country:us/state:de/county:kent/school_district:campus_community_charter_school,campus community charter school
ocd-division/country:us/state:de/county:kent/school_district:capital_school_district,capital school district
ocd-division/country:us/state:de/county:kent/school_district:lake_forest_school_district,lake forest school district
ocd-division/country:us/state:de/county:kent/school_district:polytech_school_district,polytech school district
ocd-division/country:us/state:de/county:kent/school_district:positive_outcomes_charter_school,positive outcomes charter school
ocd-division/country:us/state:de/county:kent/school_district:providence_creek_academy_charter_school,providence creek academy charter school
ocd-division/country:us/state:de/county:kent/school_district:smyrna_school_district,smyrna school district
ocd-division/country:us/state:de/county:new_castle/school_district:appoquinimink_school_district,appoquinimink school district
ocd-division/country:us/state:de/county:new_castle/school_district:brandywine_school_district,brandywine school district
ocd-division/country:us/state:de/county:new_castle/school_district:charter_school_of_wilmington,charter school of wilmington
ocd-division/country:us/state:de/county:new_castle/school_district:christina_school_district,christina school district
ocd-division/country:us/state:de/county:new_castle/school_district:colonial_school_district,colonial school district
ocd-division/country:us/state:de/county:new_castle/school_district:delaware_college_preparatory_academy,delaware college preparatory academy
ocd-division/country:us/state:de/county:new_castle/school_district:delaware_military_academy,delaware military academy
ocd-division/country:us/state:de/county:new_castle/school_district:east_side_charter_school,east side charter school
ocd-division/country:us/state:de/county:new_castle/school_district:edison_thomas_a._charter_school,edison (thomas a.) charter school
ocd-division/country:us/state:de/county:new_castle/school_district:family_foundations_academy,family foundations academy
ocd-division/country:us/state:de/county:new_castle/school_district:kuumba_academy_charter_school,kuumba academy charter school
ocd-division/country:us/state:de/county:new_castle/school_district:mot_charter_school,mot charter school
ocd-division/country:us/state:de/county:new_castle/school_district:moyer_maurice_j._academy,moyer (maurice j.) academy
ocd-division/country:us/state:de/county:new_castle/school_district:new_castle_county_vocational-technical_school_district,new castle county vocational-technical school district
ocd-division/country:us/state:de/county:new_castle/school_district:newark_charter_school,newark charter school
ocd-division/country:us/state:de/county:new_castle/school_district:odyssey_charter_school,odyssey charter school
ocd-division/country:us/state:de/county:new_castle/school_district:pencader_business_and_finance_charter_high_school,pencader business and finance charter high school
ocd-division/country:us/state:de/county:new_castle/school_district:prestige_academy,prestige academy
ocd-division/country:us/state:de/county:new_castle/school_district:reach_academy_for_girls,reach academy for girls
ocd-division/country:us/state:de/county:new_castle/school_district:red_clay_consolidated_school_district,red clay consolidated school district
ocd-division/country:us/state:de/county:sussex/school_district:cape_henlopen_school_district,cape henlopen school district
ocd-division/country:us/state:de/county:sussex/school_district:delmar_school_district,delmar school district
ocd-division/country:us/state:de/county:sussex/school_district:indian_river_school_district,indian river school district
ocd-division/country:us/state:de/county:sussex/school_district:laurel_school_district,laurel school district
ocd-division/country:us/state:de/county:sussex/school_district:milford_school_district,milford school district
ocd-division/country:us/state:de/county:sussex/school_district:seaford_school_district,seaford school district
ocd-division/country:us/state:de/county:sussex/school_district:sussex_academy_of_arts_and_sciences,sussex academy of arts & sciences
ocd-division/country:us/state:de/county:sussex/school_district:sussex_technical_school_district,sussex technical school district
ocd-division/country:us/state:de/county:sussex/school_district:woodbridge_school_district,woodbridge school district
