ocd-division/country:us/state:fl/place:jacksonville/council_district:1,Jacksonville_FL city council district 1
ocd-division/country:us/state:fl/place:jacksonville/council_district:2,Jacksonville_FL city council district 2
ocd-division/country:us/state:fl/place:jacksonville/council_district:3,Jacksonville_FL city council district 3
ocd-division/country:us/state:fl/place:jacksonville/council_district:4,Jacksonville_FL city council district 4
ocd-division/country:us/state:fl/place:jacksonville/council_district:5,Jacksonville_FL city council district 5
ocd-division/country:us/state:fl/place:jacksonville/council_district:6,Jacksonville_FL city council district 6
ocd-division/country:us/state:fl/place:jacksonville/council_district:7,Jacksonville_FL city council district 7
ocd-division/country:us/state:fl/place:jacksonville/council_district:8,Jacksonville_FL city council district 8
ocd-division/country:us/state:fl/place:jacksonville/council_district:9,Jacksonville_FL city council district 9
ocd-division/country:us/state:fl/place:jacksonville/council_district:10,Jacksonville_FL city council district 10
ocd-division/country:us/state:fl/place:jacksonville/council_district:11,Jacksonville_FL city council district 11
ocd-division/country:us/state:fl/place:jacksonville/council_district:12,Jacksonville_FL city council district 12
ocd-division/country:us/state:fl/place:jacksonville/council_district:13,Jacksonville_FL city council district 13
ocd-division/country:us/state:fl/place:jacksonville/council_district:14,Jacksonville_FL city council district 14
ocd-division/country:us/state:fl/place:pensacola/council_district:1,Pensacola_FL city council district 1
ocd-division/country:us/state:fl/place:pensacola/council_district:2,Pensacola_FL city council district 2
ocd-division/country:us/state:fl/place:pensacola/council_district:3,Pensacola_FL city council district 3
ocd-division/country:us/state:fl/place:pensacola/council_district:4,Pensacola_FL city council district 4
ocd-division/country:us/state:fl/place:pensacola/council_district:5,Pensacola_FL city council district 5
ocd-division/country:us/state:fl/place:pensacola/council_district:6,Pensacola_FL city council district 6
ocd-division/country:us/state:fl/place:pensacola/council_district:7,Pensacola_FL city council district 7
ocd-division/country:us/state:fl/place:tampa/council_district:4,Tampa_FL city council district 4
ocd-division/country:us/state:fl/place:tampa/council_district:5,Tampa_FL city council district 5
ocd-division/country:us/state:fl/place:tampa/council_district:6,Tampa_FL city council district 6
ocd-division/country:us/state:fl/place:tampa/council_district:7,Tampa_FL city council district 7
ocd-division/country:us/state:fl/county:miami-dade/council_district:1,Miami-Dade_FL county commissioner district 1
ocd-division/country:us/state:fl/county:miami-dade/council_district:2,Miami-Dade_FL county commissioner district 2
ocd-division/country:us/state:fl/county:miami-dade/council_district:3,Miami-Dade_FL county commissioner district 3
ocd-division/country:us/state:fl/county:miami-dade/council_district:4,Miami-Dade_FL county commissioner district 4
ocd-division/country:us/state:fl/county:miami-dade/council_district:5,Miami-Dade_FL county commissioner district 5
ocd-division/country:us/state:fl/county:miami-dade/council_district:6,Miami-Dade_FL county commissioner district 6
ocd-division/country:us/state:fl/county:miami-dade/council_district:7,Miami-Dade_FL county commissioner district 7
ocd-division/country:us/state:fl/county:miami-dade/council_district:8,Miami-Dade_FL county commissioner district 8
ocd-division/country:us/state:fl/county:miami-dade/council_district:9,Miami-Dade_FL county commissioner district 9
ocd-division/country:us/state:fl/county:miami-dade/council_district:10,Miami-Dade_FL county commissioner district 10
ocd-division/country:us/state:fl/county:miami-dade/council_district:11,Miami-Dade_FL county commissioner district 11
ocd-division/country:us/state:fl/county:miami-dade/council_district:12,Miami-Dade_FL county commissioner district 12
ocd-division/country:us/state:fl/county:miami-dade/council_district:13,Miami-Dade_FL county commissioner district 13
ocd-division/country:us/state:fl/place:miami/council_district:1,Miami_FL city commissioner district 1
ocd-division/country:us/state:fl/place:miami/council_district:2,Miami_FL city commissioner district 2
ocd-division/country:us/state:fl/place:miami/council_district:3,Miami_FL city commissioner district 3
ocd-division/country:us/state:fl/place:miami/council_district:4,Miami_FL city commissioner district 4
ocd-division/country:us/state:fl/place:miami/council_district:5,Miami_FL city commissioner district 5
