Appling County,ocd-division/country:us/state:ga/county:appling
Atkinson County,ocd-division/country:us/state:ga/county:atkinson
Bacon County,ocd-division/country:us/state:ga/county:bacon
Baker County,ocd-division/country:us/state:ga/county:baker
Baldwin County,ocd-division/country:us/state:ga/county:baldwin
Banks County,ocd-division/country:us/state:ga/county:banks
Barrow County,ocd-division/country:us/state:ga/county:barrow
Bartow County,ocd-division/country:us/state:ga/county:bartow
Ben Hill County,ocd-division/country:us/state:ga/county:ben_hill
Berrien County,ocd-division/country:us/state:ga/county:berrien
Bibb County,ocd-division/country:us/state:ga/county:bibb
Bleckley County,ocd-division/country:us/state:ga/county:bleckley
Brantley County,ocd-division/country:us/state:ga/county:brantley
Brooks County,ocd-division/country:us/state:ga/county:brooks
Bryan County,ocd-division/country:us/state:ga/county:bryan
Bulloch County,ocd-division/country:us/state:ga/county:bulloch
Burke County,ocd-division/country:us/state:ga/county:burke
Butts County,ocd-division/country:us/state:ga/county:butts
Calhoun County,ocd-division/country:us/state:ga/county:calhoun
Camden County,ocd-division/country:us/state:ga/county:camden
Candler County,ocd-division/country:us/state:ga/county:candler
Carroll County,ocd-division/country:us/state:ga/county:carroll
Catoosa County,ocd-division/country:us/state:ga/county:catoosa
Charlton County,ocd-division/country:us/state:ga/county:charlton
Chatham County,ocd-division/country:us/state:ga/county:chatham
Chattahoochee County,ocd-division/country:us/state:ga/county:chattahoochee
Chattooga County,ocd-division/country:us/state:ga/county:chattooga
Cherokee County,ocd-division/country:us/state:ga/county:cherokee
Clarke County,ocd-division/country:us/state:ga/county:clarke
Clay County,ocd-division/country:us/state:ga/county:clay
Clayton County,ocd-division/country:us/state:ga/county:clayton
Clinch County,ocd-division/country:us/state:ga/county:clinch
Cobb County,ocd-division/country:us/state:ga/county:cobb
Coffee County,ocd-division/country:us/state:ga/county:coffee
Colquitt County,ocd-division/country:us/state:ga/county:colquitt
Columbia County,ocd-division/country:us/state:ga/county:columbia
Cook County,ocd-division/country:us/state:ga/county:cook
Coweta County,ocd-division/country:us/state:ga/county:coweta
Crawford County,ocd-division/country:us/state:ga/county:crawford
Crisp County,ocd-division/country:us/state:ga/county:crisp
Dade County,ocd-division/country:us/state:ga/county:dade
Dawson County,ocd-division/country:us/state:ga/county:dawson
Decatur County,ocd-division/country:us/state:ga/county:decatur
DeKalb County,ocd-division/country:us/state:ga/county:dekalb
Dodge County,ocd-division/country:us/state:ga/county:dodge
Dooly County,ocd-division/country:us/state:ga/county:dooly
Dougherty County,ocd-division/country:us/state:ga/county:dougherty
Douglas County,ocd-division/country:us/state:ga/county:douglas
