ocd-division/country:us/state:ga/place:atlanta/council_district:1,Atlanta GA city council district 1
ocd-division/country:us/state:ga/place:atlanta/council_district:2,Atlanta GA city council district 2
ocd-division/country:us/state:ga/place:atlanta/council_district:3,Atlanta GA city council district 3
ocd-division/country:us/state:ga/place:atlanta/council_district:4,Atlanta GA city council district 4
ocd-division/country:us/state:ga/place:atlanta/council_district:5,Atlanta GA city council district 5
ocd-division/country:us/state:ga/place:atlanta/council_district:6,Atlanta GA city council district 6
ocd-division/country:us/state:ga/place:atlanta/council_district:7,Atlanta GA city council district 7
ocd-division/country:us/state:ga/place:atlanta/council_district:8,Atlanta GA city council district 8
ocd-division/country:us/state:ga/place:atlanta/council_district:9,Atlanta GA city council district 9
ocd-division/country:us/state:ga/place:atlanta/council_district:10,Atlanta GA city council district 10
ocd-division/country:us/state:ga/place:atlanta/council_district:11,Atlanta GA city council district 11
ocd-division/country:us/state:ga/place:atlanta/council_district:12,Atlanta GA city council district 12
ocd-division/country:us/state:ga/place:atlanta/school_board_district:1,Atlanta GA school board district 1
ocd-division/country:us/state:ga/place:atlanta/school_board_district:2,Atlanta GA school board district 2
ocd-division/country:us/state:ga/place:atlanta/school_board_district:3,Atlanta GA school board district 3
ocd-division/country:us/state:ga/place:atlanta/school_board_district:4,Atlanta GA school board district 4
ocd-division/country:us/state:ga/place:atlanta/school_board_district:5,Atlanta GA school board district 5
ocd-division/country:us/state:ga/place:atlanta/school_board_district:6,Atlanta GA school board district 6
ocd-division/country:us/state:ga/place:macon/ward:1,Macon GA ward 1
ocd-division/country:us/state:ga/place:macon/ward:2,Macon GA ward 2
ocd-division/country:us/state:ga/place:macon/ward:3,Macon GA ward 3
ocd-division/country:us/state:ga/place:macon/ward:4,Macon GA ward 4
ocd-division/country:us/state:ga/place:macon/ward:5,Macon GA ward 5
ocd-division/country:us/state:ga/county:chatham/council_district:1,Chatham County GA Board of County Commissioners District 1
ocd-division/country:us/state:ga/county:chatham/council_district:2,Chatham County GA Board of County Commissioners District 2
ocd-division/country:us/state:ga/county:chatham/council_district:3,Chatham County GA Board of County Commissioners District 3
ocd-division/country:us/state:ga/county:chatham/council_district:4,Chatham County GA Board of County Commissioners District 4
ocd-division/country:us/state:ga/county:chatham/council_district:5,Chatham County GA Board of County Commissioners District 5
ocd-division/country:us/state:ga/county:chatham/council_district:6,Chatham County GA Board of County Commissioners District 6
ocd-division/country:us/state:ga/county:chatham/council_district:7,Chatham County GA Board of County Commissioners District 7
ocd-division/country:us/state:ga/county:chatham/council_district:8,Chatham County GA Board of County Commissioners District 8
ocd-division/country:us/state:ga/county:cherokee/council_district:1,Cherokee County GA Board of County Commissioners District 1
ocd-division/country:us/state:ga/county:cherokee/council_district:2,Cherokee County GA Board of County Commissioners District 2
ocd-division/country:us/state:ga/county:cherokee/council_district:3,Cherokee County GA Board of County Commissioners District 3
ocd-division/country:us/state:ga/county:cherokee/council_district:4,Cherokee County GA Board of County Commissioners District 4
ocd-division/country:us/state:ga/county:clayton/council_district:1,Clayton County GA Board of County Commissioners District 1
ocd-division/country:us/state:ga/county:clayton/council_district:2,Clayton County GA Board of County Commissioners District 2
ocd-division/country:us/state:ga/county:clayton/council_district:3,Clayton County GA Board of County Commissioners District 3
ocd-division/country:us/state:ga/county:clayton/council_district:4,Clayton County GA Board of County Commissioners District 4
ocd-division/country:us/state:ga/county:cobb/council_district:1,Cobb County GA Board of Commissioners District 1
ocd-division/country:us/state:ga/county:cobb/council_district:2,Cobb County GA Board of Commissioners District 2
ocd-division/country:us/state:ga/county:cobb/council_district:3,Cobb County GA Board of Commissioners District 3
ocd-division/country:us/state:ga/county:cobb/council_district:4,Cobb County GA Board of Commissioners District 4
ocd-division/country:us/state:ga/county:dekalb/council_district:1,DeKalb County GA Board of Commissioners District 1
ocd-division/country:us/state:ga/county:dekalb/council_district:2,DeKalb County GA Board of Commissioners District 2
ocd-division/country:us/state:ga/county:dekalb/council_district:3,DeKalb County GA Board of Commissioners District 3
ocd-division/country:us/state:ga/county:dekalb/council_district:4,DeKalb County GA Board of Commissioners District 4
ocd-division/country:us/state:ga/county:dekalb/council_district:5,DeKalb County GA Board of Commissioners District 5
ocd-division/country:us/state:ga/county:fulton/council_district:3,Fulton County GA Board of Commissioners District 3
ocd-division/country:us/state:ga/county:fulton/council_district:4,Fulton County GA Board of Commissioners District 4
ocd-division/country:us/state:ga/county:fulton/council_district:5,Fulton County GA Board of Commissioners District 5
ocd-division/country:us/state:ga/county:fulton/council_district:6,Fulton County GA Board of Commissioners District 6
ocd-division/country:us/state:ga/county:fulton/council_district:7,Fulton County GA Board of Commissioners District 7
ocd-division/country:us/state:ga/county:gwinnett/council_district:1,Gwinnett County GA Board of Commissioners District 1
ocd-division/country:us/state:ga/county:gwinnett/council_district:2,Gwinnett County GA Board of Commissioners District 2
ocd-division/country:us/state:ga/county:gwinnett/council_district:3,Gwinnett County GA Board of Commissioners District 3
ocd-division/country:us/state:ga/county:gwinnett/council_district:4,Gwinnett County GA Board of Commissioners District 4
ocd-division/country:us/state:ga/place:savannah/council_district:1,Savannah GA city council district 1
ocd-division/country:us/state:ga/place:savannah/council_district:2,Savannah GA city council district 2
ocd-division/country:us/state:ga/place:savannah/council_district:3,Savannah GA city council district 3
ocd-division/country:us/state:ga/place:savannah/council_district:4,Savannah GA city council district 4
ocd-division/country:us/state:ga/place:savannah/council_district:5,Savannah GA city council district 5
ocd-division/country:us/state:ga/place:savannah/council_district:6,Savannah GA city council district 6
ocd-division/country:us/state:ga/county:henry/council_district:1,Henry County GA Board of Commissioners District 1
ocd-division/country:us/state:ga/county:henry/council_district:2,Henry County GA Board of Commissioners District 2
ocd-division/country:us/state:ga/county:henry/council_district:3,Henry County GA Board of Commissioners District 3
ocd-division/country:us/state:ga/county:henry/council_district:4,Henry County GA Board of Commissioners District 4
ocd-division/country:us/state:ga/county:henry/council_district:5,Henry County GA Board of Commissioners District 5
