ocd-division/country:us/state:id/county:ada/council_district:1,Ada County District 1
ocd-division/country:us/state:id/county:ada/council_district:2,Ada County District 2
ocd-division/country:us/state:id/county:ada/council_district:3,Ada County District 3
ocd-division/country:us/state:id/county:adams/council_district:1,Adams County District 1
ocd-division/country:us/state:id/county:adams/council_district:2,Adams County District 2
ocd-division/country:us/state:id/county:adams/council_district:3,Adams County District 3
ocd-division/country:us/state:id/county:bannock/council_district:1,Bannock County District 1
ocd-division/country:us/state:id/county:bannock/council_district:2,Bannock County District 2
ocd-division/country:us/state:id/county:bannock/council_district:3,Bannock County District 3
ocd-division/country:us/state:id/county:bear_lake/council_district:1,Bear Lake County District 1
ocd-division/country:us/state:id/county:bear_lake/council_district:2,Bear Lake County District 2
ocd-division/country:us/state:id/county:bear_lake/council_district:3,Bear Lake County District 3
ocd-division/country:us/state:id/county:bingham/council_district:1,Bingham County District 1
ocd-division/country:us/state:id/county:bingham/council_district:2,Bingham County District 2
ocd-division/country:us/state:id/county:bingham/council_district:3,Bingham County District 3
ocd-division/country:us/state:id/county:boise/council_district:1,Boise County District 1
ocd-division/country:us/state:id/county:boise/council_district:2,Boise County District 2
ocd-division/country:us/state:id/county:boise/council_district:3,Boise County District 3
ocd-division/country:us/state:id/county:bonneville/council_district:1,Bonneville County District 1
ocd-division/country:us/state:id/county:bonneville/council_district:2,Bonneville County District 2
ocd-division/country:us/state:id/county:bonneville/council_district:3,Bonneville County District 3
ocd-division/country:us/state:id/county:boundary/council_district:1,Boundary County District 1
ocd-division/country:us/state:id/county:boundary/council_district:2,Boundary County District 2
ocd-division/country:us/state:id/county:boundary/council_district:3,Boundary County District 3
ocd-division/country:us/state:id/county:camas/council_district:1,Camas County District 1
ocd-division/country:us/state:id/county:camas/council_district:2,Camas County District 2
ocd-division/country:us/state:id/county:camas/council_district:3,Camas County District 3
ocd-division/country:us/state:id/county:canyon/council_district:1,Canyon County District 1
ocd-division/country:us/state:id/county:canyon/council_district:2,Canyon County District 2
ocd-division/country:us/state:id/county:canyon/council_district:3,Canyon County District 3
ocd-division/country:us/state:id/county:cassia/council_district:1,Cassia County District 1
ocd-division/country:us/state:id/county:cassia/council_district:2,Cassia County District 2
ocd-division/country:us/state:id/county:cassia/council_district:3,Cassia County District 3
ocd-division/country:us/state:id/county:clark/council_district:1,Clark County District 1
ocd-division/country:us/state:id/county:clark/council_district:2,Clark County District 2
ocd-division/country:us/state:id/county:clark/council_district:3,Clark County District 3
ocd-division/country:us/state:id/county:clearwater/council_district:1,Clearwater County District 1
ocd-division/country:us/state:id/county:clearwater/council_district:2,Clearwater County District 2
ocd-division/country:us/state:id/county:clearwater/council_district:3,Clearwater County District 3
ocd-division/country:us/state:id/county:custer/council_district:1,Custer County District 1
ocd-division/country:us/state:id/county:custer/council_district:2,Custer County District 2
ocd-division/country:us/state:id/county:custer/council_district:3,Custer County District 3
