id,sameAs,sameAsNote
ocd-division/country:us/state:in/county:adams/commissioner_district:1,ocd-division/country:us/state:in/county:adams/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:adams/commissioner_district:2,ocd-division/country:us/state:in/county:adams/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:adams/commissioner_district:3,ocd-division/country:us/state:in/county:adams/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:allen/commissioner_district:1,ocd-division/country:us/state:in/county:allen/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:allen/commissioner_district:2,ocd-division/country:us/state:in/county:allen/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:allen/commissioner_district:3,ocd-division/country:us/state:in/county:allen/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:bartholomew/commissioner_district:1,ocd-division/country:us/state:in/county:bartholomew/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:bartholomew/commissioner_district:2,ocd-division/country:us/state:in/county:bartholomew/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:bartholomew/commissioner_district:3,ocd-division/country:us/state:in/county:bartholomew/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:benton/commissioner_district:1,ocd-division/country:us/state:in/county:benton/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:benton/commissioner_district:2,ocd-division/country:us/state:in/county:benton/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:benton/commissioner_district:3,ocd-division/country:us/state:in/county:benton/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:blackford/commissioner_district:1,ocd-division/country:us/state:in/county:blackford/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:blackford/commissioner_district:2,ocd-division/country:us/state:in/county:blackford/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:blackford/commissioner_district:3,ocd-division/country:us/state:in/county:blackford/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:boone/commissioner_district:1,ocd-division/country:us/state:in/county:boone/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:boone/commissioner_district:2,ocd-division/country:us/state:in/county:boone/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:boone/commissioner_district:3,ocd-division/country:us/state:in/county:boone/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:brown/commissioner_district:1,ocd-division/country:us/state:in/county:brown/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:brown/commissioner_district:2,ocd-division/country:us/state:in/county:brown/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:brown/commissioner_district:3,ocd-division/country:us/state:in/county:brown/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:carroll/commissioner_district:1,ocd-division/country:us/state:in/county:carroll/executive_district:1,better type name – hope to deprecate commissioner_district
