ocd-division/country:us/state:ky/county:jefferson/council_district:1,Louisville-Jefferson County Metro Council district 1
ocd-division/country:us/state:ky/county:jefferson/council_district:2,Louisville-Jefferson County Metro Council district 2
ocd-division/country:us/state:ky/county:jefferson/council_district:3,Louisville-Jefferson County Metro Council district 3
ocd-division/country:us/state:ky/county:jefferson/council_district:4,Louisville-Jefferson County Metro Council district 4
ocd-division/country:us/state:ky/county:jefferson/council_district:5,Louisville-Jefferson County Metro Council district 5
ocd-division/country:us/state:ky/county:jefferson/council_district:6,Louisville-Jefferson County Metro Council district 6
ocd-division/country:us/state:ky/county:jefferson/council_district:7,Louisville-Jefferson County Metro Council district 7
ocd-division/country:us/state:ky/county:jefferson/council_district:8,Louisville-Jefferson County Metro Council district 8
ocd-division/country:us/state:ky/county:jefferson/council_district:9,Louisville-Jefferson County Metro Council district 9
ocd-division/country:us/state:ky/county:jefferson/council_district:10,Louisville-Jefferson County Metro Council district 10
ocd-division/country:us/state:ky/county:jefferson/council_district:11,Louisville-Jefferson County Metro Council district 11
ocd-division/country:us/state:ky/county:jefferson/council_district:12,Louisville-Jefferson County Metro Council district 12
ocd-division/country:us/state:ky/county:jefferson/council_district:13,Louisville-Jefferson County Metro Council district 13
ocd-division/country:us/state:ky/county:jefferson/council_district:14,Louisville-Jefferson County Metro Council district 14
ocd-division/country:us/state:ky/county:jefferson/council_district:15,Louisville-Jefferson County Metro Council district 15
ocd-division/country:us/state:ky/county:jefferson/council_district:16,Louisville-Jefferson County Metro Council district 16
ocd-division/country:us/state:ky/county:jefferson/council_district:17,Louisville-Jefferson County Metro Council district 17
ocd-division/country:us/state:ky/county:jefferson/council_district:18,Louisville-Jefferson County Metro Council district 18
ocd-division/country:us/state:ky/county:jefferson/council_district:19,Louisville-Jefferson County Metro Council district 19
ocd-division/country:us/state:ky/county:jefferson/council_district:20,Louisville-Jefferson County Metro Council district 20
ocd-division/country:us/state:ky/county:jefferson/council_district:21,Louisville-Jefferson County Metro Council district 21
ocd-division/country:us/state:ky/county:jefferson/council_district:22,Louisville-Jefferson County Metro Council district 22
ocd-division/country:us/state:ky/county:jefferson/council_district:23,Louisville-Jefferson County Metro Council district 23
ocd-division/country:us/state:ky/county:jefferson/council_district:24,Louisville-Jefferson County Metro Council district 24
ocd-division/country:us/state:ky/county:jefferson/council_district:25,Louisville-Jefferson County Metro Council district 25
ocd-division/country:us/state:ky/county:jefferson/council_district:26,Louisville-Jefferson County Metro Council district 26
ocd-division/country:us/state:ky/place:lexington/council_district:1,Lexington-Fayette Urban County Government district 1
ocd-division/country:us/state:ky/place:lexington/council_district:2,Lexington-Fayette Urban County Government district 2
ocd-division/country:us/state:ky/place:lexington/council_district:3,Lexington-Fayette Urban County Government district 3
ocd-division/country:us/state:ky/place:lexington/council_district:4,Lexington-Fayette Urban County Government district 4
ocd-division/country:us/state:ky/place:lexington/council_district:5,Lexington-Fayette Urban County Government district 5
ocd-division/country:us/state:ky/place:lexington/council_district:6,Lexington-Fayette Urban County Government district 6
ocd-division/country:us/state:ky/place:lexington/council_district:7,Lexington-Fayette Urban County Government district 7
ocd-division/country:us/state:ky/place:lexington/council_district:8,Lexington-Fayette Urban County Government district 8
ocd-division/country:us/state:ky/place:lexington/council_district:9,Lexington-Fayette Urban County Government district 9
ocd-division/country:us/state:ky/place:lexington/council_district:10,Lexington-Fayette Urban County Government district 10
ocd-division/country:us/state:ky/place:lexington/council_district:11,Lexington-Fayette Urban County Government district 11
ocd-division/country:us/state:ky/place:lexington/council_district:12,Lexington-Fayette Urban County Government district 12
