ocd-division/country:us/state:ky/county:adair/school_district:adair_co,adair co
ocd-division/country:us/state:ky/county:allen/school_district:allen_co,allen co
ocd-division/country:us/state:ky/county:anderson/school_district:anderson_co,anderson co
ocd-division/country:us/state:ky/county:ballard/school_district:ballard_co,ballard co
ocd-division/country:us/state:ky/county:barren/school_district:barren_co,barren co
ocd-division/country:us/state:ky/county:barren/school_district:caverna_independent,caverna independent
ocd-division/country:us/state:ky/county:barren/school_district:glasgow_independent,glasgow independent
ocd-division/country:us/state:ky/county:bath/school_district:bath_co,bath co
ocd-division/country:us/state:ky/county:bell/school_district:bell_co,bell co
ocd-division/country:us/state:ky/county:bell/school_district:middlesboro_independent,middlesboro independent
ocd-division/country:us/state:ky/county:bell/school_district:pineville_independent,pineville independent
ocd-division/country:us/state:ky/county:boone/school_district:boone_co,boone co
ocd-division/country:us/state:ky/county:boone/school_district:walton_verona_independent,walton verona independent
ocd-division/country:us/state:ky/county:bourbon/school_district:bourbon_co,bourbon co
ocd-division/country:us/state:ky/county:bourbon/school_district:paris_independent,paris independent
ocd-division/country:us/state:ky/county:boyd/school_district:ashland_ind,ashland ind
ocd-division/country:us/state:ky/county:boyd/school_district:boyd_co,boyd co
ocd-division/country:us/state:ky/county:boyd/school_district:fairview_independent,fairview independent
ocd-division/country:us/state:ky/county:boyle/school_district:boyle_co,boyle co
ocd-division/country:us/state:ky/county:boyle/school_district:danville_independent,danville independent
ocd-division/country:us/state:ky/county:boyle/school_district:kentucky_school_for_the_deaf,kentucky school for the deaf
ocd-division/country:us/state:ky/county:bracken/school_district:augusta_ind,augusta ind
ocd-division/country:us/state:ky/county:bracken/school_district:bracken_co,bracken co
ocd-division/country:us/state:ky/county:breathitt/school_district:breathitt_co,breathitt co
ocd-division/country:us/state:ky/county:breathitt/school_district:jackson_independent,jackson independent
ocd-division/country:us/state:ky/county:breckinridge/school_district:breckinridge_co,breckinridge co
ocd-division/country:us/state:ky/county:breckinridge/school_district:cloverport_independent,cloverport independent
ocd-division/country:us/state:ky/county:bullitt/school_district:bullitt_co,bullitt co
ocd-division/country:us/state:ky/county:butler/school_district:butler_co,butler co
ocd-division/country:us/state:ky/county:caldwell/school_district:caldwell_co,caldwell co
ocd-division/country:us/state:ky/county:calloway/school_district:calloway_co,calloway co
ocd-division/country:us/state:ky/county:calloway/school_district:murray_independent,murray independent
ocd-division/country:us/state:ky/county:campbell/school_district:bellevue_ind,bellevue ind
ocd-division/country:us/state:ky/county:campbell/school_district:campbell_co,campbell co
ocd-division/country:us/state:ky/county:campbell/school_district:dayton_independent,dayton independent
ocd-division/country:us/state:ky/county:campbell/school_district:fort_thomas_independent,fort thomas independent
ocd-division/country:us/state:ky/county:campbell/school_district:newport_independent,newport independent
ocd-division/country:us/state:ky/county:campbell/school_district:silver_grove_independent,silver grove independent
ocd-division/country:us/state:ky/county:campbell/school_district:southgate_independent,southgate independent
ocd-division/country:us/state:ky/county:carlisle/school_district:carlisle_co,carlisle co
ocd-division/country:us/state:ky/county:carroll/school_district:carroll_county,carroll county
ocd-division/country:us/state:ky/county:carter/school_district:carter_county,carter county
ocd-division/country:us/state:ky/county:casey/school_district:casey_county,casey county
ocd-division/country:us/state:ky/county:christian/school_district:christian_county,christian county
ocd-division/country:us/state:ky/county:clark/school_district:clark_county,clark county
ocd-division/country:us/state:ky/county:clay/school_district:clay_county,clay county
ocd-division/country:us/state:ky/county:clinton/school_district:clinton_county,clinton county
ocd-division/country:us/state:ky/county:crittenden/school_district:crittenden_county,crittenden county
ocd-division/country:us/state:ky/county:cumberland/school_district:cumberland_county,cumberland county
ocd-division/country:us/state:ky/county:daviess/school_district:daviess_county,daviess county
