ocd-division/country:us/state:la/parish:orleans/council_district:a,New Orleans LA city council district A
ocd-division/country:us/state:la/parish:orleans/council_district:b,New Orleans LA city council district B
ocd-division/country:us/state:la/parish:orleans/council_district:c,New Orleans LA city council district C
ocd-division/country:us/state:la/parish:orleans/council_district:d,New Orleans LA city council district D
ocd-division/country:us/state:la/parish:orleans/council_district:e,New Orleans LA city council district E
ocd-division/country:us/state:la/parish:ascension/council_district:1,Ascension Parish LA Parish Council District 1
ocd-division/country:us/state:la/parish:ascension/council_district:2,Ascension Parish LA Parish Council District 2
ocd-division/country:us/state:la/parish:ascension/council_district:3,Ascension Parish LA Parish Council District 3
ocd-division/country:us/state:la/parish:ascension/council_district:4,Ascension Parish LA Parish Council District 4
ocd-division/country:us/state:la/parish:ascension/council_district:5,Ascension Parish LA Parish Council District 5
ocd-division/country:us/state:la/parish:ascension/council_district:6,Ascension Parish LA Parish Council District 6
ocd-division/country:us/state:la/parish:ascension/council_district:7,Ascension Parish LA Parish Council District 7
ocd-division/country:us/state:la/parish:ascension/council_district:8,Ascension Parish LA Parish Council District 8
ocd-division/country:us/state:la/parish:ascension/council_district:9,Ascension Parish LA Parish Council District 9
ocd-division/country:us/state:la/parish:ascension/council_district:10,Ascension Parish LA Parish Council District 10
ocd-division/country:us/state:la/parish:ascension/council_district:11,Ascension Parish LA Parish Council District 11
ocd-division/country:us/state:la/parish:east_baton_rouge/ward:1,East Baton Rouge Parish LA Ward 1
ocd-division/country:us/state:la/parish:east_baton_rouge/ward:2,East Baton Rouge Parish LA Ward 2
ocd-division/country:us/state:la/parish:east_baton_rouge/ward:3,East Baton Rouge Parish LA Ward 3
ocd-division/country:us/state:la/parish:jefferson/council_district:1,Jefferson Parish LA Parish Council District 1
ocd-division/country:us/state:la/parish:jefferson/council_district:2,Jefferson Parish LA Parish Council District 2
ocd-division/country:us/state:la/parish:jefferson/council_district:3,Jefferson Parish LA Parish Council District 3
ocd-division/country:us/state:la/parish:jefferson/council_district:4,Jefferson Parish LA Parish Council District 4
ocd-division/country:us/state:la/parish:jefferson/council_district:5,Jefferson Parish LA Parish Council District 5
ocd-division/country:us/state:la/parish:lafayette/council_district:1,Lafayette Parish LA Parish-City Council District 1
ocd-division/country:us/state:la/parish:lafayette/council_district:2,Lafayette Parish LA Parish-City Council District 2
ocd-division/country:us/state:la/parish:lafayette/council_district:3,Lafayette Parish LA Parish-City Council District 3
ocd-division/country:us/state:la/parish:lafayette/council_district:4,Lafayette Parish LA Parish-City Council District 4
ocd-division/country:us/state:la/parish:lafayette/council_district:5,Lafayette Parish LA Parish-City Council District 5
ocd-division/country:us/state:la/parish:lafayette/council_district:6,Lafayette Parish LA Parish-City Council District 6
ocd-division/country:us/state:la/parish:lafayette/council_district:7,Lafayette Parish LA Parish-City Council District 7
ocd-division/country:us/state:la/parish:lafayette/council_district:8,Lafayette Parish LA Parish-City Council District 8
ocd-division/country:us/state:la/parish:lafayette/council_district:9,Lafayette Parish LA Parish-City Council District 9
ocd-division/country:us/state:la/parish:orleans/ward:1,New Orleans LA City-Parish Ward 1
ocd-division/country:us/state:la/parish:orleans/ward:2,New Orleans LA City-Parish Ward 2
ocd-division/country:us/state:la/parish:orleans/ward:3,New Orleans LA City-Parish Ward 3
ocd-division/country:us/state:la/parish:orleans/ward:4,New Orleans LA City-Parish Ward 4
ocd-division/country:us/state:la/parish:orleans/ward:5,New Orleans LA City-Parish Ward 5
ocd-division/country:us/state:la/parish:orleans/ward:6,New Orleans LA City-Parish Ward 6
ocd-division/country:us/state:la/parish:orleans/ward:7,New Orleans LA City-Parish Ward 7
ocd-division/country:us/state:la/parish:orleans/ward:8,New Orleans LA City-Parish Ward 8
ocd-division/country:us/state:la/parish:orleans/ward:9,New Orleans LA City-Parish Ward 9
ocd-division/country:us/state:la/parish:orleans/ward:10,New Orleans LA City-Parish Ward 10
ocd-division/country:us/state:la/parish:orleans/ward:11,New Orleans LA City-Parish Ward 11
ocd-division/country:us/state:la/parish:orleans/ward:12,New Orleans LA City-Parish Ward 12
ocd-division/country:us/state:la/parish:orleans/ward:13,New Orleans LA City-Parish Ward 13
ocd-division/country:us/state:la/parish:orleans/ward:14,New Orleans LA City-Parish Ward 14
ocd-division/country:us/state:la/parish:orleans/ward:15,New Orleans LA City-Parish Ward 15
ocd-division/country:us/state:la/parish:orleans/ward:16,New Orleans LA City-Parish Ward 16
ocd-division/country:us/state:la/parish:orleans/ward:17,New Orleans LA City-Parish Ward 17
ocd-division/country:us/state:la/place:lake_charles/council_district:a,Lake Charles LA City Council District A
ocd-division/country:us/state:la/place:lake_charles/council_district:b,Lake Charles LA City Council District B
ocd-division/country:us/state:la/place:lake_charles/council_district:c,Lake Charles LA City Council District C
ocd-division/country:us/state:la/place:lake_charles/council_district:d,Lake Charles LA City Council District D
ocd-division/country:us/state:la/place:lake_charles/council_district:e,Lake Charles LA City Council District E
ocd-division/country:us/state:la/place:lake_charles/council_district:f,Lake Charles LA City Council District F
ocd-division/country:us/state:la/place:lake_charles/council_district:g,Lake Charles LA City Council District G
ocd-division/country:us/state:la/place:monroe/council_district:1,Monroe LA City Council District 1
ocd-division/country:us/state:la/place:monroe/council_district:2,Monroe LA City Council District 2
ocd-division/country:us/state:la/place:monroe/council_district:3,Monroe LA City Council District 3
ocd-division/country:us/state:la/place:monroe/council_district:4,Monroe LA City Council District 4
ocd-division/country:us/state:la/place:monroe/council_district:5,Monroe LA City Council District 5
ocd-division/country:us/state:la/place:baton_rouge/council_district:1,Baton Rouge LA city council district 1
ocd-division/country:us/state:la/place:baton_rouge/council_district:2,Baton Rouge LA city council district 2
ocd-division/country:us/state:la/place:baton_rouge/council_district:3,Baton Rouge LA city council district 3
ocd-division/country:us/state:la/place:baton_rouge/council_district:4,Baton Rouge LA city council district 4
ocd-division/country:us/state:la/place:baton_rouge/council_district:5,Baton Rouge LA city council district 5
