ocd-division/country:us/state:ma/county:barnstable/school_district:barnstable,barnstable
ocd-division/country:us/state:ma/county:barnstable/school_district:barnstable_community_horace_mann_charter_public_district,barnstable community horace mann charter public (district)
ocd-division/country:us/state:ma/county:barnstable/school_district:barnstable_horace_mann_charter_district,barnstable horace mann charter (district)
ocd-division/country:us/state:ma/county:barnstable/school_district:bourne,bourne
ocd-division/country:us/state:ma/county:barnstable/school_district:brewster,brewster
ocd-division/country:us/state:ma/county:barnstable/school_district:cape_cod_lighthouse_charter_district,cape cod lighthouse charter (district)
ocd-division/country:us/state:ma/county:barnstable/school_district:cape_cod_regional_vocational_technical,cape cod regional vocational technical
ocd-division/country:us/state:ma/county:barnstable/school_district:chatham,chatham
ocd-division/country:us/state:ma/county:barnstable/school_district:dennis-yarmouth,dennis-yarmouth
ocd-division/country:us/state:ma/county:barnstable/school_district:eastham,eastham
ocd-division/country:us/state:ma/county:barnstable/school_district:falmouth,falmouth
ocd-division/country:us/state:ma/county:barnstable/school_district:harwich,harwich
ocd-division/country:us/state:ma/county:barnstable/school_district:mashpee,mashpee
ocd-division/country:us/state:ma/county:barnstable/school_district:nauset,nauset
ocd-division/country:us/state:ma/county:barnstable/school_district:orleans,orleans
ocd-division/country:us/state:ma/county:barnstable/school_district:provincetown,provincetown
ocd-division/country:us/state:ma/county:barnstable/school_district:sandwich,sandwich
ocd-division/country:us/state:ma/county:barnstable/school_district:sturgis_charter_public_district,sturgis charter public (district)
ocd-division/country:us/state:ma/county:barnstable/school_district:truro,truro
ocd-division/country:us/state:ma/county:barnstable/school_district:upper_cape_cod_regional_vocational_technical,upper cape cod regional vocational technical
ocd-division/country:us/state:ma/county:barnstable/school_district:wellfleet,wellfleet
ocd-division/country:us/state:ma/county:berkshire/school_district:adams-cheshire,adams-cheshire
ocd-division/country:us/state:ma/county:berkshire/school_district:berkshire_arts_and_technology_charter_public_district,berkshire arts and technology charter public (district)
ocd-division/country:us/state:ma/county:berkshire/school_district:berkshire_hills,berkshire hills
ocd-division/country:us/state:ma/county:berkshire/school_district:central_berkshire,central berkshire
ocd-division/country:us/state:ma/county:berkshire/school_district:clarksburg,clarksburg
ocd-division/country:us/state:ma/county:berkshire/school_district:farmington_river_reg,farmington river reg
ocd-division/country:us/state:ma/county:berkshire/school_district:florida,florida
ocd-division/country:us/state:ma/county:berkshire/school_district:hancock,hancock
ocd-division/country:us/state:ma/county:berkshire/school_district:lanesborough,lanesborough
ocd-division/country:us/state:ma/county:berkshire/school_district:lee,lee
ocd-division/country:us/state:ma/county:berkshire/school_district:lenox,lenox
ocd-division/country:us/state:ma/county:berkshire/school_district:mount_greylock,mount greylock
ocd-division/country:us/state:ma/county:berkshire/school_district:north_adams,north adams
ocd-division/country:us/state:ma/county:berkshire/school_district:northern_berkshire_regional_vocational_technical,northern berkshire regional vocational technical
