Baltimore city,ocd-division/country:us/state:md/borough:baltimore_city
Allegany County,ocd-division/country:us/state:md/county:allegany
Anne Arundel County,ocd-division/country:us/state:md/county:anne_arundel
Baltimore County,ocd-division/country:us/state:md/county:baltimore
Calvert County,ocd-division/country:us/state:md/county:calvert
Caroline County,ocd-division/country:us/state:md/county:caroline
Carroll County,ocd-division/country:us/state:md/county:carroll
Cecil County,ocd-division/country:us/state:md/county:cecil
Charles County,ocd-division/country:us/state:md/county:charles
Dorchester County,ocd-division/country:us/state:md/county:dorchester
Frederick County,ocd-division/country:us/state:md/county:frederick
Garrett County,ocd-division/country:us/state:md/county:garrett
Harford County,ocd-division/country:us/state:md/county:harford
Howard County,ocd-division/country:us/state:md/county:howard
Kent County,ocd-division/country:us/state:md/county:kent
Montgomery County,ocd-division/country:us/state:md/county:montgomery
Prince George's County,ocd-division/country:us/state:md/county:prince_george~s
Queen Anne's County,ocd-division/country:us/state:md/county:queen_anne~s
Somerset County,ocd-division/country:us/state:md/county:somerset
St. Mary's County,ocd-division/country:us/state:md/county:st_mary~s
Talbot County,ocd-division/country:us/state:md/county:talbot
Washington County,ocd-division/country:us/state:md/county:washington
Wicomico County,ocd-division/country:us/state:md/county:wicomico
Worcester County,ocd-division/country:us/state:md/county:worcester
Aberdeen city,ocd-division/country:us/state:md/place:aberdeen
Accident town,ocd-division/country:us/state:md/place:accident
Annapolis city,ocd-division/country:us/state:md/place:annapolis
Baltimore city,ocd-division/country:us/state:md/place:baltimore
Barclay town,ocd-division/country:us/state:md/place:barclay
Barnesville town,ocd-division/country:us/state:md/place:barnesville
Barton town,ocd-division/country:us/state:md/place:barton
Bel Air town,ocd-division/country:us/state:md/place:bel_air
Berlin town,ocd-division/country:us/state:md/place:berlin
Berwyn Heights town,ocd-division/country:us/state:md/place:berwyn_heights
Betterton town,ocd-division/country:us/state:md/place:betterton
Bladensburg town,ocd-division/country:us/state:md/place:bladensburg
Boonsboro town,ocd-division/country:us/state:md/place:boonsboro
Bowie city,ocd-division/country:us/state:md/place:bowie
Brentwood town,ocd-division/country:us/state:md/place:brentwood
Brookeville town,ocd-division/country:us/state:md/place:brookeville
Brookview town,ocd-division/country:us/state:md/place:brookview
Brunswick city,ocd-division/country:us/state:md/place:brunswick
Burkittsville town,ocd-division/country:us/state:md/place:burkittsville
Cambridge city,ocd-division/country:us/state:md/place:cambridge
Capitol Heights town,ocd-division/country:us/state:md/place:capitol_heights
Cecilton town,ocd-division/country:us/state:md/place:cecilton
Centreville town,ocd-division/country:us/state:md/place:centreville
Charlestown town,ocd-division/country:us/state:md/place:charlestown
Chesapeake Beach town,ocd-division/country:us/state:md/place:chesapeake_beach
Chesapeake City town,ocd-division/country:us/state:md/place:chesapeake_city
