ocd-division/country:us/state:me/place:portland/council_district:1,Portland ME city council district 1
ocd-division/country:us/state:me/place:portland/council_district:2,Portland ME city council district 2
ocd-division/country:us/state:me/place:portland/council_district:3,Portland ME city council district 3
ocd-division/country:us/state:me/place:portland/council_district:4,Portland ME city council district 4
ocd-division/country:us/state:me/place:portland/council_district:5,Portland ME city council district 5
ocd-division/country:us/state:me/county:cumberland/council_district:1,Cumberland County ME Commissioner District 1
ocd-division/country:us/state:me/county:cumberland/council_district:2,Cumberland County ME Commissioner District 2
ocd-division/country:us/state:me/county:cumberland/council_district:3,Cumberland County ME Commissioner District 3
ocd-division/country:us/state:me/county:cumberland/council_district:4,Cumberland County ME Commissioner District 4
ocd-division/country:us/state:me/county:cumberland/council_district:5,Cumberland County ME Commissioner District 5
ocd-division/country:us/state:me/county:kennebec/council_district:1,Kennebec County ME Commissioner District 1
ocd-division/country:us/state:me/county:kennebec/council_district:2,Kennebec County ME Commissioner District 2
ocd-division/country:us/state:me/county:kennebec/council_district:3,Kennebec County ME Commissioner District 3
ocd-division/country:us/state:me/county:penobscot/council_district:1,Penobscot County ME Commissioner District 1
ocd-division/country:us/state:me/county:penobscot/council_district:2,Penobscot County ME Commissioner District 2
ocd-division/country:us/state:me/county:penobscot/council_district:3,Penobscot County ME Commissioner District 3
ocd-division/country:us/state:me/county:york/council_district:1,York County ME Commissioner District 1
ocd-division/country:us/state:me/county:york/council_district:2,York County ME Commissioner District 2
ocd-division/country:us/state:me/county:york/council_district:3,York County ME Commissioner District 3
ocd-division/country:us/state:me/county:york/council_district:4,York County ME Commissioner District 4
ocd-division/country:us/state:me/county:york/council_district:5,York County ME Commissioner District 5
