id,name,sameAs,sameAsNote,validThrough
ocd-division/country:us/state:mi/place:detroit/ward:1,Detroit City MI City Ward 1,ocd-division/country:us/state:mi/place:detroit/council_district:1,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:2,Detroit City MI City Ward 2,ocd-division/country:us/state:mi/place:detroit/council_district:2,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:3,Detroit City MI City Ward 3,ocd-division/country:us/state:mi/place:detroit/council_district:3,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:4,Detroit City MI City Ward 4,ocd-division/country:us/state:mi/place:detroit/council_district:4,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:5,Detroit City MI City Ward 5,ocd-division/country:us/state:mi/place:detroit/council_district:5,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:6,Detroit City MI City Ward 6,ocd-division/country:us/state:mi/place:detroit/council_district:6,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:7,Detroit City MI City Ward 7,ocd-division/country:us/state:mi/place:detroit/council_district:7,"The current city charter for Detroit uses the terms district and ward interchangeably to describe the drawn political units for which members of the city council, board of police, and community advisory councils are elected (2-105.A.12 & 3-108). While these terms are interchangeable, all of the aforementioned bodies refer to their political geographies as ""districts"" on their respective websites, so the 'council_district' type should be the preferred identifier.",
ocd-division/country:us/state:mi/place:detroit/ward:8,Detroit City MI City Ward 8,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:9,Detroit City MI City Ward 9,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:10,Detroit City MI City Ward 10,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:11,Detroit City MI City Ward 11,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:12,Detroit City MI City Ward 12,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:13,Detroit City MI City Ward 13,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:14,Detroit City MI City Ward 14,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:15,Detroit City MI City Ward 15,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:16,Detroit City MI City Ward 16,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:17,Detroit City MI City Ward 17,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:18,Detroit City MI City Ward 18,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:19,Detroit City MI City Ward 19,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:20,Detroit City MI City Ward 20,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:21,Detroit City MI City Ward 21,,,2023
ocd-division/country:us/state:mi/place:detroit/ward:22,Detroit City MI City Ward 22,,,2023
