ocd-division/country:us/state:mn/place:alexandria/ward:1,Douglas County MN - ALEXANDRIA W-1
ocd-division/country:us/state:mn/place:alexandria/ward:5,Douglas County MN - ALEXANDRIA W-5
ocd-division/country:us/state:mn/place:austin/ward:1,Mower County MN - AUSTIN W-1
ocd-division/country:us/state:mn/place:austin/ward:2,Mower County MN - AUSTIN W-2
ocd-division/country:us/state:mn/place:austin/ward:3,Mower County MN - AUSTIN W-3
ocd-division/country:us/state:mn/place:blaine/ward:1,Anoka County MN - BLAINE W-1
ocd-division/country:us/state:mn/place:blaine/ward:2,Anoka County MN - BLAINE W-2
ocd-division/country:us/state:mn/place:blaine/ward:3,Anoka County MN - BLAINE W-3
ocd-division/country:us/state:mn/place:bloomington/ward:1,Hennepin County MN - BLOOMINGTON W-1
ocd-division/country:us/state:mn/place:bloomington/ward:2,Hennepin County MN - BLOOMINGTON W-23
ocd-division/country:us/state:mn/place:bloomington/ward:3,Hennepin County MN - BLOOMINGTON W-3
ocd-division/country:us/state:mn/place:bloomington/ward:4,Hennepin County MN - BLOOMINGTON W-4
ocd-division/country:us/state:mn/place:brainerd/ward:1,Crow Wing County MN - BRAINERD W-1
ocd-division/country:us/state:mn/place:brainerd/ward:2,Crow Wing County MN - BRAINERD W-2
ocd-division/country:us/state:mn/place:brainerd/ward:3,Crow Wing County MN - BRAINERD W-3
ocd-division/country:us/state:mn/place:brainerd/ward:4,Crow Wing County MN - BRAINERD W-4
ocd-division/country:us/state:mn/place:brooklyn_park/ward:c,Hennepin County MN - BROOKLYN PARK W-C
ocd-division/country:us/state:mn/place:brooklyn_park/ward:e,Hennepin County MN - BROOKLYN PARK W-E
ocd-division/country:us/state:mn/place:brooklyn_park/ward:w,Hennepin County MN - BROOKLYN PARK W-W
ocd-division/country:us/state:mn/place:cloquet/ward:5,Carlton County MN - CLOQUET W-5
ocd-division/country:us/state:mn/place:coon_rapids/ward:1,Anoka County MN - COON RAPIDS W-1
ocd-division/country:us/state:mn/place:coon_rapids/ward:2,Anoka County MN - COON RAPIDS W-2
ocd-division/country:us/state:mn/place:coon_rapids/ward:3,Anoka County MN - COON RAPIDS W-3
ocd-division/country:us/state:mn/place:coon_rapids/ward:4,Anoka County MN - COON RAPIDS W-4
ocd-division/country:us/state:mn/place:coon_rapids/ward:5,Anoka County MN - COON RAPIDS W-5
ocd-division/country:us/state:mn/place:crystal/ward:1,Hennepin County MN - CRYSTAL W-1
ocd-division/country:us/state:mn/place:crystal/ward:2,Hennepin County MN - CRYSTAL W-2
ocd-division/country:us/state:mn/place:crystal/ward:3,Hennepin County MN - CRYSTAL W-3
ocd-division/country:us/state:mn/place:crystal/ward:4,Hennepin County MN - CRYSTAL W-4
ocd-division/country:us/state:mn/place:elk_river/ward:1,Sherburne County MN - ELK RIVER W-1
ocd-division/country:us/state:mn/place:elk_river/ward:2,Sherburne County MN - ELK RIVER W-2
ocd-division/country:us/state:mn/place:elk_river/ward:3,Sherburne County MN - ELK RIVER W-3
ocd-division/country:us/state:mn/place:elk_river/ward:4,Sherburne County MN - ELK RIVER W-4
ocd-division/country:us/state:mn/place:fairmont/ward:1,Martin County MN - FAIRMONT W-1
ocd-division/country:us/state:mn/place:fairmont/ward:2,Martin County MN - FAIRMONT W-2
ocd-division/country:us/state:mn/place:fairmont/ward:3,Martin County MN - FAIRMONT W-3
ocd-division/country:us/state:mn/place:fairmont/ward:4,Martin County MN - FAIRMONT W-4
ocd-division/country:us/state:mn/place:fergus_falls/ward:1,Otter Tail County MN - FERGUS FALLS W-1
ocd-division/country:us/state:mn/place:fergus_falls/ward:2,Otter Tail County MN - FERGUS FALLS W-2
ocd-division/country:us/state:mn/place:fergus_falls/ward:3,Otter Tail County MN - FERGUS FALLS W-3
ocd-division/country:us/state:mn/place:fergus_falls/ward:4,Otter Tail County MN - FERGUS FALLS W-4
ocd-division/country:us/state:mn/place:fridley/ward:1,Anoka County MN - FRIDLEY W-1
ocd-division/country:us/state:mn/place:fridley/ward:2,Anoka County MN - FRIDLEY W-2
ocd-division/country:us/state:mn/place:fridley/ward:3,Anoka County MN - FRIDLEY W-3
ocd-division/country:us/state:mn/place:hastings/ward:1,Dakota County MN - HASTINGS W-1
ocd-division/country:us/state:mn/place:hastings/ward:2,Dakota County MN - HASTINGS W-2
ocd-division/country:us/state:mn/place:hastings/ward:3,Dakota County MN - HASTINGS W-3
ocd-division/country:us/state:mn/place:hastings/ward:4,Dakota County MN - HASTINGS W-4
ocd-division/country:us/state:mn/place:hibbing/ward:a,St Louis County MN - HIBBING W-A
ocd-division/country:us/state:mn/place:hibbing/ward:b,St Louis County MN - HIBBING W-B
ocd-division/country:us/state:mn/place:hibbing/ward:c,St Louis County MN - HIBBING W-C
ocd-division/country:us/state:mn/place:hibbing/ward:d,St Louis County MN - HIBBING W-D
ocd-division/country:us/state:mn/place:hibbing/ward:e,St Louis County MN - HIBBING W-E
ocd-division/country:us/state:mn/place:hugo/ward:1,Washington County MN - HUGO W-1
ocd-division/country:us/state:mn/place:hugo/ward:2,Washington County MN - HUGO W-2A
ocd-division/country:us/state:mn/place:hugo/ward:3,Washington County MN - HUGO W-3A
ocd-division/country:us/state:mn/place:mankato/ward:1,Blue Earth County MN - MANKATO  W-01
ocd-division/country:us/state:mn/place:mankato/ward:2,Blue Earth County MN - MANKATO  W-02
ocd-division/country:us/state:mn/place:mankato/ward:3,Blue Earth County MN - MANKATO  W-03
ocd-division/country:us/state:mn/place:mankato/ward:4,Blue Earth County MN - MANKATO  W-04
ocd-division/country:us/state:mn/place:mankato/ward:5,Blue Earth County MN - MANKATO  W-05
ocd-division/country:us/state:mn/place:minnetonka/ward:1,Hennepin County MN - MINNETONKA W-1
ocd-division/country:us/state:mn/place:minnetonka/ward:2,Hennepin County MN - MINNETONKA W-2
ocd-division/country:us/state:mn/place:minnetonka/ward:3,Hennepin County MN - MINNETONKA W-3
ocd-division/country:us/state:mn/place:minnetonka/ward:4,Hennepin County MN - MINNETONKA W-4
ocd-division/country:us/state:mn/place:moorhead/ward:1,Clay County MN - MOORHEAD CITY W-1
ocd-division/country:us/state:mn/place:moorhead/ward:2,Clay County MN - MOORHEAD CITY W-2
ocd-division/country:us/state:mn/place:moorhead/ward:3,Clay County MN - MOORHEAD CITY W-3
ocd-division/country:us/state:mn/place:moorhead/ward:4,Clay County MN - MOORHEAD CITY W-4
ocd-division/country:us/state:mn/place:new_ulm/ward:1,Brown County MN - NEW ULM W-1
ocd-division/country:us/state:mn/place:new_ulm/ward:2,Brown County MN - NEW ULM W-2
ocd-division/country:us/state:mn/place:new_ulm/ward:3,Brown County MN - NEW ULM W-3
ocd-division/country:us/state:mn/place:new_ulm/ward:4,Brown County MN - NEW ULM W-4
ocd-division/country:us/state:mn/place:northfield/ward:1,Rice County MN - NORTHFIELD W-1
ocd-division/country:us/state:mn/place:northfield/ward:2,Rice County MN - NORTHFIELD W-2
ocd-division/country:us/state:mn/place:northfield/ward:3,Dakota County MN - NORTHFIELD W-3
ocd-division/country:us/state:mn/place:northfield/ward:4,Rice County MN - NORTHFIELD W-4
ocd-division/country:us/state:mn/place:owatonna/ward:1,Steele County MN - OWATONNA W-1
ocd-division/country:us/state:mn/place:owatonna/ward:2,Steele County MN - OWATONNA W-2
ocd-division/country:us/state:mn/place:owatonna/ward:3,Steele County MN - OWATONNA W-3
ocd-division/country:us/state:mn/place:owatonna/ward:4,Steele County MN - OWATONNA W-4
ocd-division/country:us/state:mn/place:owatonna/ward:5,Steele County MN - OWATONNA W-5
ocd-division/country:us/state:mn/place:plymouth/ward:1,Hennepin County MN - PLYMOUTH W-1
ocd-division/country:us/state:mn/place:plymouth/ward:2,Hennepin County MN - PLYMOUTH W-2
ocd-division/country:us/state:mn/place:plymouth/ward:3,Hennepin County MN - PLYMOUTH W-3
ocd-division/country:us/state:mn/place:plymouth/ward:4,Hennepin County MN - PLYMOUTH W-4
ocd-division/country:us/state:mn/place:ramsey/ward:1,Anoka County MN - RAMSEY W-1
ocd-division/country:us/state:mn/place:ramsey/ward:2,Anoka County MN - RAMSEY W-2
ocd-division/country:us/state:mn/place:ramsey/ward:3,Anoka County MN - RAMSEY W-3
ocd-division/country:us/state:mn/place:ramsey/ward:4,Anoka County MN - RAMSEY W-4
ocd-division/country:us/state:mn/place:red_wing/ward:1,Goodhue County MN - RED WING W-1
ocd-division/country:us/state:mn/place:red_wing/ward:2,Goodhue County MN - RED WING W-2
ocd-division/country:us/state:mn/place:red_wing/ward:3,Goodhue County MN - RED WING W-3
ocd-division/country:us/state:mn/place:red_wing/ward:4,Goodhue County MN - RED WING W-4
ocd-division/country:us/state:mn/place:richfield/ward:1,Hennepin County MN - RICHFIELD W-1
ocd-division/country:us/state:mn/place:richfield/ward:2,Hennepin County MN - RICHFIELD W-2
ocd-division/country:us/state:mn/place:richfield/ward:3,Hennepin County MN - RICHFIELD W-3
ocd-division/country:us/state:mn/place:rochester/ward:1,Olmsted County MN - ROCHESTER W-1
ocd-division/country:us/state:mn/place:rochester/ward:2,Olmsted County MN - ROCHESTER W-2
ocd-division/country:us/state:mn/place:rochester/ward:3,Olmsted County MN - ROCHESTER W-3
ocd-division/country:us/state:mn/place:rochester/ward:4,Olmsted County MN - ROCHESTER W-4
ocd-division/country:us/state:mn/place:rochester/ward:5,Olmsted County MN - ROCHESTER W-5
ocd-division/country:us/state:mn/place:rochester/ward:6,Olmsted County MN - ROCHESTER W-6
ocd-division/country:us/state:mn/place:south_st_paul/ward:1,Dakota County MN - SOUTH ST PAUL W-1
ocd-division/country:us/state:mn/place:south_st_paul/ward:2,Dakota County MN - SOUTH ST PAUL W-2
ocd-division/country:us/state:mn/place:south_st_paul/ward:3,Dakota County MN - SOUTH ST PAUL W-3
ocd-division/country:us/state:mn/place:st_cloud/ward:1,Stearns County MN - ST CLOUD W-1
ocd-division/country:us/state:mn/place:st_cloud/ward:2,Stearns County MN - ST CLOUD W-2
ocd-division/country:us/state:mn/place:st_cloud/ward:3,Stearns County MN - ST CLOUD W-3
