Adams County,ocd-division/country:us/state:ms/county:adams
Alcorn County,ocd-division/country:us/state:ms/county:alcorn
Amite County,ocd-division/country:us/state:ms/county:amite
Attala County,ocd-division/country:us/state:ms/county:attala
Benton County,ocd-division/country:us/state:ms/county:benton
Bolivar County,ocd-division/country:us/state:ms/county:bolivar
Calhoun County,ocd-division/country:us/state:ms/county:calhoun
Carroll County,ocd-division/country:us/state:ms/county:carroll
Chickasaw County,ocd-division/country:us/state:ms/county:chickasaw
Choctaw County,ocd-division/country:us/state:ms/county:choctaw
Claiborne County,ocd-division/country:us/state:ms/county:claiborne
Clarke County,ocd-division/country:us/state:ms/county:clarke
Clay County,ocd-division/country:us/state:ms/county:clay
Coahoma County,ocd-division/country:us/state:ms/county:coahoma
Copiah County,ocd-division/country:us/state:ms/county:copiah
Covington County,ocd-division/country:us/state:ms/county:covington
DeSoto County,ocd-division/country:us/state:ms/county:desoto
Forrest County,ocd-division/country:us/state:ms/county:forrest
Franklin County,ocd-division/country:us/state:ms/county:franklin
George County,ocd-division/country:us/state:ms/county:george
Greene County,ocd-division/country:us/state:ms/county:greene
Grenada County,ocd-division/country:us/state:ms/county:grenada
Hancock County,ocd-division/country:us/state:ms/county:hancock
Harrison County,ocd-division/country:us/state:ms/county:harrison
Hinds County,ocd-division/country:us/state:ms/county:hinds
Holmes County,ocd-division/country:us/state:ms/county:holmes
Humphreys County,ocd-division/country:us/state:ms/county:humphreys
Issaquena County,ocd-division/country:us/state:ms/county:issaquena
Itawamba County,ocd-division/country:us/state:ms/county:itawamba
Jackson County,ocd-division/country:us/state:ms/county:jackson
Jasper County,ocd-division/country:us/state:ms/county:jasper
Jefferson County,ocd-division/country:us/state:ms/county:jefferson
Jefferson Davis County,ocd-division/country:us/state:ms/county:jefferson_davis
Jones County,ocd-division/country:us/state:ms/county:jones
Kemper County,ocd-division/country:us/state:ms/county:kemper
Lafayette County,ocd-division/country:us/state:ms/county:lafayette
Lamar County,ocd-division/country:us/state:ms/county:lamar
Lauderdale County,ocd-division/country:us/state:ms/county:lauderdale
Lawrence County,ocd-division/country:us/state:ms/county:lawrence
Leake County,ocd-division/country:us/state:ms/county:leake
Lee County,ocd-division/country:us/state:ms/county:lee
Leflore County,ocd-division/country:us/state:ms/county:leflore
Lincoln County,ocd-division/country:us/state:ms/county:lincoln
Lowndes County,ocd-division/country:us/state:ms/county:lowndes
Madison County,ocd-division/country:us/state:ms/county:madison
Marion County,ocd-division/country:us/state:ms/county:marion
Marshall County,ocd-division/country:us/state:ms/county:marshall
Monroe County,ocd-division/country:us/state:ms/county:monroe
Montgomery County,ocd-division/country:us/state:ms/county:montgomery
Neshoba County,ocd-division/country:us/state:ms/county:neshoba
Newton County,ocd-division/country:us/state:ms/county:newton
Noxubee County,ocd-division/country:us/state:ms/county:noxubee
Oktibbeha County,ocd-division/country:us/state:ms/county:oktibbeha
Panola County,ocd-division/country:us/state:ms/county:panola
Pearl River County,ocd-division/country:us/state:ms/county:pearl_river
Perry County,ocd-division/country:us/state:ms/county:perry
Pike County,ocd-division/country:us/state:ms/county:pike
Pontotoc County,ocd-division/country:us/state:ms/county:pontotoc
Prentiss County,ocd-division/country:us/state:ms/county:prentiss
Quitman County,ocd-division/country:us/state:ms/county:quitman
Rankin County,ocd-division/country:us/state:ms/county:rankin
Scott County,ocd-division/country:us/state:ms/county:scott
Sharkey County,ocd-division/country:us/state:ms/county:sharkey
Simpson County,ocd-division/country:us/state:ms/county:simpson
Smith County,ocd-division/country:us/state:ms/county:smith
Stone County,ocd-division/country:us/state:ms/county:stone
Sunflower County,ocd-division/country:us/state:ms/county:sunflower
Tallahatchie County,ocd-division/country:us/state:ms/county:tallahatchie
Tate County,ocd-division/country:us/state:ms/county:tate
Tippah County,ocd-division/country:us/state:ms/county:tippah
Tishomingo County,ocd-division/country:us/state:ms/county:tishomingo
Tunica County,ocd-division/country:us/state:ms/county:tunica
Union County,ocd-division/country:us/state:ms/county:union
Walthall County,ocd-division/country:us/state:ms/county:walthall
Warren County,ocd-division/country:us/state:ms/county:warren
Washington County,ocd-division/country:us/state:ms/county:washington
Wayne County,ocd-division/country:us/state:ms/county:wayne
Webster County,ocd-division/country:us/state:ms/county:webster
Wilkinson County,ocd-division/country:us/state:ms/county:wilkinson
Winston County,ocd-division/country:us/state:ms/county:winston
Yalobusha County,ocd-division/country:us/state:ms/county:yalobusha
Yazoo County,ocd-division/country:us/state:ms/county:yazoo
Abbeville town,ocd-division/country:us/state:ms/place:abbeville
Aberdeen city,ocd-division/country:us/state:ms/place:aberdeen
Ackerman town,ocd-division/country:us/state:ms/place:ackerman
Algoma town,ocd-division/country:us/state:ms/place:algoma
Alligator town,ocd-division/country:us/state:ms/place:alligator
Amory city,ocd-division/country:us/state:ms/place:amory
Anguilla town,ocd-division/country:us/state:ms/place:anguilla
Arcola town,ocd-division/country:us/state:ms/place:arcola
Artesia town,ocd-division/country:us/state:ms/place:artesia
Ashland town,ocd-division/country:us/state:ms/place:ashland
Baldwyn city,ocd-division/country:us/state:ms/place:baldwyn
Bassfield town,ocd-division/country:us/state:ms/place:bassfield
Batesville city,ocd-division/country:us/state:ms/place:batesville
Bay Springs city,ocd-division/country:us/state:ms/place:bay_springs
Bay St. Louis city,ocd-division/country:us/state:ms/place:bay_st_louis
Beaumont town,ocd-division/country:us/state:ms/place:beaumont
Beauregard village,ocd-division/country:us/state:ms/place:beauregard
Belmont town,ocd-division/country:us/state:ms/place:belmont
Belzoni city,ocd-division/country:us/state:ms/place:belzoni
Benoit town,ocd-division/country:us/state:ms/place:benoit
Bentonia town,ocd-division/country:us/state:ms/place:bentonia
Beulah town,ocd-division/country:us/state:ms/place:beulah
Big Creek village,ocd-division/country:us/state:ms/place:big_creek
Biloxi city,ocd-division/country:us/state:ms/place:biloxi
Blue Mountain town,ocd-division/country:us/state:ms/place:blue_mountain
Blue Springs village,ocd-division/country:us/state:ms/place:blue_springs
Bolton town,ocd-division/country:us/state:ms/place:bolton
Booneville city,ocd-division/country:us/state:ms/place:booneville
Boyle town,ocd-division/country:us/state:ms/place:boyle
Brandon city,ocd-division/country:us/state:ms/place:brandon
Braxton village,ocd-division/country:us/state:ms/place:braxton
Brookhaven city,ocd-division/country:us/state:ms/place:brookhaven
Brooksville town,ocd-division/country:us/state:ms/place:brooksville
Bruce town,ocd-division/country:us/state:ms/place:bruce
Bude town,ocd-division/country:us/state:ms/place:bude
Burnsville town,ocd-division/country:us/state:ms/place:burnsville
Byhalia town,ocd-division/country:us/state:ms/place:byhalia
Byram city,ocd-division/country:us/state:ms/place:byram
Caledonia town,ocd-division/country:us/state:ms/place:caledonia
Calhoun City town,ocd-division/country:us/state:ms/place:calhoun_city
Canton city,ocd-division/country:us/state:ms/place:canton
Carrollton town,ocd-division/country:us/state:ms/place:carrollton
Carthage city,ocd-division/country:us/state:ms/place:carthage
Cary town,ocd-division/country:us/state:ms/place:cary
Centreville town,ocd-division/country:us/state:ms/place:centreville
Charleston city,ocd-division/country:us/state:ms/place:charleston
Chunky town,ocd-division/country:us/state:ms/place:chunky
Clarksdale city,ocd-division/country:us/state:ms/place:clarksdale
Cleveland city,ocd-division/country:us/state:ms/place:cleveland
Clinton city,ocd-division/country:us/state:ms/place:clinton
Coahoma town,ocd-division/country:us/state:ms/place:coahoma
Coffeeville town,ocd-division/country:us/state:ms/place:coffeeville
Coldwater town,ocd-division/country:us/state:ms/place:coldwater
Collins city,ocd-division/country:us/state:ms/place:collins
Columbia city,ocd-division/country:us/state:ms/place:columbia
Columbus city,ocd-division/country:us/state:ms/place:columbus
Como town,ocd-division/country:us/state:ms/place:como
Corinth city,ocd-division/country:us/state:ms/place:corinth
Courtland town,ocd-division/country:us/state:ms/place:courtland
Crawford town,ocd-division/country:us/state:ms/place:crawford
Crenshaw town,ocd-division/country:us/state:ms/place:crenshaw
Crosby town,ocd-division/country:us/state:ms/place:crosby
Crowder town,ocd-division/country:us/state:ms/place:crowder
Cruger town,ocd-division/country:us/state:ms/place:cruger
Crystal Springs city,ocd-division/country:us/state:ms/place:crystal_springs
De Kalb town,ocd-division/country:us/state:ms/place:de_kalb
Decatur town,ocd-division/country:us/state:ms/place:decatur
Derma town,ocd-division/country:us/state:ms/place:derma
Doddsville town,ocd-division/country:us/state:ms/place:doddsville
Drew city,ocd-division/country:us/state:ms/place:drew
Duck Hill town,ocd-division/country:us/state:ms/place:duck_hill
Dumas town,ocd-division/country:us/state:ms/place:dumas
Duncan town,ocd-division/country:us/state:ms/place:duncan
Durant city,ocd-division/country:us/state:ms/place:durant
D'Iberville city,ocd-division/country:us/state:ms/place:d~iberville
D'Lo town,ocd-division/country:us/state:ms/place:d~lo
Ecru town,ocd-division/country:us/state:ms/place:ecru
Eden village,ocd-division/country:us/state:ms/place:eden
Edwards town,ocd-division/country:us/state:ms/place:edwards
Ellisville city,ocd-division/country:us/state:ms/place:ellisville
Enterprise town,ocd-division/country:us/state:ms/place:enterprise
Ethel town,ocd-division/country:us/state:ms/place:ethel
Eupora city,ocd-division/country:us/state:ms/place:eupora
Falcon town,ocd-division/country:us/state:ms/place:falcon
Falkner town,ocd-division/country:us/state:ms/place:falkner
Farmington town,ocd-division/country:us/state:ms/place:farmington
Fayette city,ocd-division/country:us/state:ms/place:fayette
Flora town,ocd-division/country:us/state:ms/place:flora
Florence town,ocd-division/country:us/state:ms/place:florence
Flowood city,ocd-division/country:us/state:ms/place:flowood
Forest city,ocd-division/country:us/state:ms/place:forest
French Camp town,ocd-division/country:us/state:ms/place:french_camp
Friars Point town,ocd-division/country:us/state:ms/place:friars_point
Fulton city,ocd-division/country:us/state:ms/place:fulton
Gattman village,ocd-division/country:us/state:ms/place:gattman
Gautier city,ocd-division/country:us/state:ms/place:gautier
Georgetown town,ocd-division/country:us/state:ms/place:georgetown
Glen town,ocd-division/country:us/state:ms/place:glen
Glendora village,ocd-division/country:us/state:ms/place:glendora
Gloster town,ocd-division/country:us/state:ms/place:gloster
Golden town,ocd-division/country:us/state:ms/place:golden
Goodman town,ocd-division/country:us/state:ms/place:goodman
Greenville city,ocd-division/country:us/state:ms/place:greenville
Greenwood city,ocd-division/country:us/state:ms/place:greenwood
Grenada city,ocd-division/country:us/state:ms/place:grenada
Gulfport city,ocd-division/country:us/state:ms/place:gulfport
Gunnison town,ocd-division/country:us/state:ms/place:gunnison
Guntown town,ocd-division/country:us/state:ms/place:guntown
Hatley town,ocd-division/country:us/state:ms/place:hatley
Hattiesburg city,ocd-division/country:us/state:ms/place:hattiesburg
Hazlehurst city,ocd-division/country:us/state:ms/place:hazlehurst
Heidelberg town,ocd-division/country:us/state:ms/place:heidelberg
Hernando city,ocd-division/country:us/state:ms/place:hernando
Hickory town,ocd-division/country:us/state:ms/place:hickory
Hickory Flat town,ocd-division/country:us/state:ms/place:hickory_flat
Hollandale city,ocd-division/country:us/state:ms/place:hollandale
Holly Springs city,ocd-division/country:us/state:ms/place:holly_springs
Horn Lake city,ocd-division/country:us/state:ms/place:horn_lake
Houston city,ocd-division/country:us/state:ms/place:houston
Indianola city,ocd-division/country:us/state:ms/place:indianola
Inverness town,ocd-division/country:us/state:ms/place:inverness
Isola town,ocd-division/country:us/state:ms/place:isola
Itta Bena city,ocd-division/country:us/state:ms/place:itta_bena
Iuka city,ocd-division/country:us/state:ms/place:iuka
Jackson city,ocd-division/country:us/state:ms/place:jackson
Jonestown town,ocd-division/country:us/state:ms/place:jonestown
Jumpertown town,ocd-division/country:us/state:ms/place:jumpertown
Kilmichael town,ocd-division/country:us/state:ms/place:kilmichael
Kosciusko city,ocd-division/country:us/state:ms/place:kosciusko
Kossuth village,ocd-division/country:us/state:ms/place:kossuth
Lake town,ocd-division/country:us/state:ms/place:lake
Lambert town,ocd-division/country:us/state:ms/place:lambert
