ocd-division/country:us/state:ms/county:adams/school_district:natchez-adams_school_dist,natchez-adams school dist
ocd-division/country:us/state:ms/county:alcorn/school_district:alcorn_school_dist,alcorn school dist
ocd-division/country:us/state:ms/county:alcorn/school_district:corinth_school_dist,corinth school dist
ocd-division/country:us/state:ms/county:amite/school_district:amite_co_school_dist,amite co school dist
ocd-division/country:us/state:ms/county:attala/school_district:attala_co_school_dist,attala co school dist
ocd-division/country:us/state:ms/county:attala/school_district:kosciusko_school_district,kosciusko school district
ocd-division/country:us/state:ms/county:benton/school_district:benton_co_school_dist,benton co school dist
ocd-division/country:us/state:ms/county:bolivar/school_district:benoit_school_district,benoit school district
ocd-division/country:us/state:ms/county:bolivar/school_district:cleveland_school_dist,cleveland school dist
ocd-division/country:us/state:ms/county:bolivar/school_district:mound_bayou_public_school,mound bayou public school
ocd-division/country:us/state:ms/county:bolivar/school_district:north_bolivar_school_district,north bolivar school district
ocd-division/country:us/state:ms/county:bolivar/school_district:shaw_school_district,shaw school district
ocd-division/country:us/state:ms/county:bolivar/school_district:west_bolivar_school_dist,west bolivar school dist
ocd-division/country:us/state:ms/county:calhoun/school_district:calhoun_co_school_dist,calhoun co school dist
ocd-division/country:us/state:ms/county:carroll/school_district:carroll_county_school_dist,carroll county school dist
ocd-division/country:us/state:ms/county:chickasaw/school_district:chickasaw_co_school_dist,chickasaw co school dist
ocd-division/country:us/state:ms/county:chickasaw/school_district:houston_school_dist,houston  school dist
ocd-division/country:us/state:ms/county:chickasaw/school_district:okolona_separate_school_dist,okolona separate school dist
ocd-division/country:us/state:ms/county:choctaw/school_district:choctaw_co_school_dist,choctaw co school dist
ocd-division/country:us/state:ms/county:claiborne/school_district:claiborne_co_school_dist,claiborne co school dist
ocd-division/country:us/state:ms/county:clarke/school_district:enterprise_school_dist,enterprise school dist
ocd-division/country:us/state:ms/county:clarke/school_district:quitman_school_dist,quitman school dist
ocd-division/country:us/state:ms/county:clay/school_district:clay_co_school_dist,clay co school dist
ocd-division/country:us/state:ms/county:clay/school_district:west_point_school_dist,west point school dist
ocd-division/country:us/state:ms/county:coahoma/school_district:clarksdale_municipal_school_dist,clarksdale municipal school dist
ocd-division/country:us/state:ms/county:coahoma/school_district:coahoma_co_ahs,coahoma co ahs
ocd-division/country:us/state:ms/county:coahoma/school_district:coahoma_county_school_district,coahoma county school district
ocd-division/country:us/state:ms/county:copiah/school_district:copiah_co_school_dist,copiah co school dist
ocd-division/country:us/state:ms/county:copiah/school_district:hazlehurst_city_school_district,hazlehurst city school district
ocd-division/country:us/state:ms/county:covington/school_district:covington_co_schools,covington co schools
ocd-division/country:us/state:ms/county:desoto/school_district:desoto_co_school_dist,desoto co school dist
ocd-division/country:us/state:ms/county:forrest/school_district:forrest_county_ag_high_school,forrest county ag high school
ocd-division/country:us/state:ms/county:forrest/school_district:forrest_county_school_district,forrest county school district
ocd-division/country:us/state:ms/county:forrest/school_district:hattiesburg_public_school_dist,hattiesburg public school dist
ocd-division/country:us/state:ms/county:forrest/school_district:petal_school_dist,petal school dist
ocd-division/country:us/state:ms/county:franklin/school_district:franklin_co_school_dist,franklin co school dist
ocd-division/country:us/state:ms/county:george/school_district:george_co_school_dist,george co school dist
ocd-division/country:us/state:ms/county:greene/school_district:greene_county_school_district,greene county school district
ocd-division/country:us/state:ms/county:grenada/school_district:grenada_school_dist,grenada school dist
ocd-division/country:us/state:ms/county:hancock/school_district:bay_st_louis_waveland_school_dist,bay st louis waveland school dist
ocd-division/country:us/state:ms/county:hancock/school_district:hancock_co_school_dist,hancock co school dist
ocd-division/country:us/state:ms/county:harrison/school_district:biloxi_public_school_dist,biloxi public school dist
ocd-division/country:us/state:ms/county:harrison/school_district:gulfport_school_dist,gulfport school dist
ocd-division/country:us/state:ms/county:harrison/school_district:harrison_co_school_dist,harrison co school dist
ocd-division/country:us/state:ms/county:harrison/school_district:long_beach_school_dist,long beach school dist
ocd-division/country:us/state:ms/county:harrison/school_district:pass_christian_public_school_dist,pass christian public school dist
ocd-division/country:us/state:ms/county:harrison/school_district:roger_amos_mcmurtry_adm,roger amos mcmurtry adm
ocd-division/country:us/state:ms/county:harrison/school_district:south_ms_regional_center,south ms regional center
ocd-division/country:us/state:ms/county:hinds/school_district:clinton_public_school_dist,clinton public school dist
ocd-division/country:us/state:ms/county:hinds/school_district:hinds_co_ahs,hinds co ahs
ocd-division/country:us/state:ms/county:hinds/school_district:hinds_co_school_dist,hinds co school dist
ocd-division/country:us/state:ms/county:hinds/school_district:jackson_public_school_dist,jackson public school dist
ocd-division/country:us/state:ms/county:hinds/school_district:ms_sch_for_the_blind,ms sch for the blind
ocd-division/country:us/state:ms/county:hinds/school_district:ms_school_for_the_deaf,ms school for the deaf
ocd-division/country:us/state:ms/county:holmes/school_district:durant_public_school_dist,durant public school dist
ocd-division/country:us/state:ms/county:holmes/school_district:holmes_co_school_dist,holmes co school dist
ocd-division/country:us/state:ms/county:humphreys/school_district:humphreys_co_school_dist,humphreys co school dist
ocd-division/country:us/state:ms/county:itawamba/school_district:itawamba_co_school_dist,itawamba co school dist
ocd-division/country:us/state:ms/county:jackson/school_district:jackson_co_school_dist,jackson co school dist
ocd-division/country:us/state:ms/county:jackson/school_district:moss_point_separate_school_dist,moss point separate school dist
ocd-division/country:us/state:ms/county:jackson/school_district:ocean_springs_school_dist,ocean springs school dist
ocd-division/country:us/state:ms/county:jackson/school_district:pascagoula_school_dist,pascagoula school dist
ocd-division/country:us/state:ms/county:jasper/school_district:east_jasper_consolidated_sch_dist,east jasper consolidated sch dist
ocd-division/country:us/state:ms/county:jasper/school_district:west_jasper_consolidated_schools,west jasper consolidated schools
ocd-division/country:us/state:ms/county:jefferson_davis/school_district:jefferson_davis_co_school_dist,jefferson davis co school dist
ocd-division/country:us/state:ms/county:jefferson/school_district:jefferson_co_school_dist,jefferson co school dist
ocd-division/country:us/state:ms/county:jones/school_district:ellisville_state_school_adm,ellisville state school adm
ocd-division/country:us/state:ms/county:jones/school_district:jones_co_school_dist,jones co school dist
ocd-division/country:us/state:ms/county:jones/school_district:laurel_school_district,laurel school district
ocd-division/country:us/state:ms/county:kemper/school_district:kemper_co_school_dist,kemper co school dist
ocd-division/country:us/state:ms/county:lafayette/school_district:lafayette_co_school_dist,lafayette co school dist
ocd-division/country:us/state:ms/county:lafayette/school_district:oxford_school_district,oxford school district
ocd-division/country:us/state:ms/county:lafayette/school_district:stovall_sped_complex_administration,stovall sped complex administration
ocd-division/country:us/state:ms/county:lamar/school_district:lamar_county_school_district,lamar county school district
ocd-division/country:us/state:ms/county:lamar/school_district:lumberton_public_school_district,lumberton public school district
ocd-division/country:us/state:ms/county:lauderdale/school_district:lauderdale_co_school_dist,lauderdale co school dist
ocd-division/country:us/state:ms/county:lauderdale/school_district:magnolia_grove_school,magnolia grove school
ocd-division/country:us/state:ms/county:lauderdale/school_district:meridian_public_school_dist,meridian public school dist
ocd-division/country:us/state:ms/county:lawrence/school_district:lawrence_co_school_dist,lawrence co school dist
ocd-division/country:us/state:ms/county:leake/school_district:leake_co_school_dist,leake co school dist
ocd-division/country:us/state:ms/county:lee/school_district:baldwyn_school_district,baldwyn school district
ocd-division/country:us/state:ms/county:lee/school_district:lee_county_school_district,lee county school district
ocd-division/country:us/state:ms/county:lee/school_district:nettleton_school_dist,nettleton school dist
ocd-division/country:us/state:ms/county:lee/school_district:tupelo_public_school_dist,tupelo public school dist
ocd-division/country:us/state:ms/county:leflore/school_district:greenwood_public_school_district,greenwood public school district
ocd-division/country:us/state:ms/county:leflore/school_district:leflore_co_school_dist,leflore co school dist
ocd-division/country:us/state:ms/county:lincoln/school_district:brookhaven_school_dist,brookhaven school dist
ocd-division/country:us/state:ms/county:lincoln/school_district:lincoln_co_school_dist,lincoln co school dist
ocd-division/country:us/state:ms/county:lincoln/school_district:ms_school_for_the_arts,ms school for the arts
ocd-division/country:us/state:ms/county:lowndes/school_district:columbus_municipal_school_dist,columbus municipal school dist
ocd-division/country:us/state:ms/county:lowndes/school_district:lowndes_co_school_dist,lowndes co school dist
ocd-division/country:us/state:ms/county:lowndes/school_district:ms_sch_for_math_and_sc,ms sch for math and sc
ocd-division/country:us/state:ms/county:madison/school_district:canton_public_school_dist,canton public school dist
ocd-division/country:us/state:ms/county:madison/school_district:madison_co_school_dist,madison co school dist
ocd-division/country:us/state:ms/county:madison/school_district:mdhs_division_of_youth_services,mdhs division of youth services
ocd-division/country:us/state:ms/county:marion/school_district:columbia_school_district,columbia school district
ocd-division/country:us/state:ms/county:marion/school_district:marion_co_school_dist,marion co school dist
ocd-division/country:us/state:ms/county:marshall/school_district:holly_springs_school_dist,holly springs school dist
ocd-division/country:us/state:ms/county:marshall/school_district:marshall_co_school_dist,marshall co school dist
ocd-division/country:us/state:ms/county:monroe/school_district:aberdeen_school_dist,aberdeen school dist
ocd-division/country:us/state:ms/county:monroe/school_district:amory_school_dist,amory school dist
ocd-division/country:us/state:ms/county:monroe/school_district:monroe_co_school_dist,monroe co school dist
ocd-division/country:us/state:ms/county:montgomery/school_district:montgomery_co_school_dist,montgomery co school dist
ocd-division/country:us/state:ms/county:montgomery/school_district:winona_separate_school_dist,winona separate school dist
ocd-division/country:us/state:ms/county:neshoba/school_district:neshoba_county_school_district,neshoba county school district
ocd-division/country:us/state:ms/county:neshoba/school_district:philadelphia_public_school_dist,philadelphia public school dist
ocd-division/country:us/state:ms/county:newton/school_district:newton_county_school_district,newton county school district
ocd-division/country:us/state:ms/county:newton/school_district:newton_municipal_school_district,newton municipal school district
ocd-division/country:us/state:ms/county:newton/school_district:union_public_school_dist,union public school dist
ocd-division/country:us/state:ms/county:noxubee/school_district:noxubee_county_school_district,noxubee county school district
ocd-division/country:us/state:ms/county:oktibbeha/school_district:oktibbeha_county_school_district,oktibbeha county school district
ocd-division/country:us/state:ms/county:oktibbeha/school_district:starkville_school_district,starkville school district
ocd-division/country:us/state:ms/county:panola/school_district:north_panola_schools,north panola schools
ocd-division/country:us/state:ms/county:panola/school_district:south_panola_school_district,south panola school district
ocd-division/country:us/state:ms/county:pearl_river/school_district:pearl_river_co_school_dist,pearl river co school dist
ocd-division/country:us/state:ms/county:pearl_river/school_district:picayune_school_dist,picayune school dist
ocd-division/country:us/state:ms/county:pearl_river/school_district:poplarville_separate_school_dist,poplarville separate school dist
ocd-division/country:us/state:ms/county:perry/school_district:perry_co_school_dist,perry co school dist
