ocd-division/country:us/state:ms/county:adams/council_district:1,Adams County Supervisor District 1
ocd-division/country:us/state:ms/county:adams/council_district:2,Adams County Supervisor District 2
ocd-division/country:us/state:ms/county:adams/council_district:3,Adams County Supervisor District 3
ocd-division/country:us/state:ms/county:adams/council_district:4,Adams County Supervisor District 4
ocd-division/country:us/state:ms/county:adams/council_district:5,Adams County Supervisor District 5
ocd-division/country:us/state:ms/county:alcorn/council_district:1,Alcorn County Supervisor District 1
ocd-division/country:us/state:ms/county:alcorn/council_district:2,Alcorn County Supervisor District 2
ocd-division/country:us/state:ms/county:alcorn/council_district:3,Alcorn County Supervisor District 3
ocd-division/country:us/state:ms/county:alcorn/council_district:4,Alcorn County Supervisor District 4
ocd-division/country:us/state:ms/county:alcorn/council_district:5,Alcorn County Supervisor District 5
ocd-division/country:us/state:ms/county:amite/council_district:1,Amite County Supervisor District 1
ocd-division/country:us/state:ms/county:amite/council_district:2,Amite County Supervisor District 2
ocd-division/country:us/state:ms/county:amite/council_district:3,Amite County Supervisor District 3
ocd-division/country:us/state:ms/county:amite/council_district:4,Amite County Supervisor District 4
ocd-division/country:us/state:ms/county:amite/council_district:5,Amite County Supervisor District 5
ocd-division/country:us/state:ms/county:attala/council_district:1,Attala County Supervisor District 1
ocd-division/country:us/state:ms/county:attala/council_district:2,Attala County Supervisor District 2
ocd-division/country:us/state:ms/county:attala/council_district:3,Attala County Supervisor District 3
ocd-division/country:us/state:ms/county:attala/council_district:4,Attala County Supervisor District 4
ocd-division/country:us/state:ms/county:attala/council_district:5,Attala County Supervisor District 5
ocd-division/country:us/state:ms/county:benton/council_district:1,Benton County Supervisor District 1
ocd-division/country:us/state:ms/county:benton/council_district:2,Benton County Supervisor District 2
ocd-division/country:us/state:ms/county:benton/council_district:3,Benton County Supervisor District 3
ocd-division/country:us/state:ms/county:benton/council_district:4,Benton County Supervisor District 4
ocd-division/country:us/state:ms/county:benton/council_district:5,Benton County Supervisor District 5
ocd-division/country:us/state:ms/county:bolivar/council_district:1,Bolivar County Supervisor District 1
ocd-division/country:us/state:ms/county:bolivar/council_district:2,Bolivar County Supervisor District 2
ocd-division/country:us/state:ms/county:bolivar/council_district:3,Bolivar County Supervisor District 3
ocd-division/country:us/state:ms/county:bolivar/council_district:4,Bolivar County Supervisor District 4
ocd-division/country:us/state:ms/county:bolivar/council_district:5,Bolivar County Supervisor District 5
ocd-division/country:us/state:ms/county:calhoun/council_district:1,Calhoun County Supervisor District 1
ocd-division/country:us/state:ms/county:calhoun/council_district:2,Calhoun County Supervisor District 2
ocd-division/country:us/state:ms/county:calhoun/council_district:3,Calhoun County Supervisor District 3
ocd-division/country:us/state:ms/county:calhoun/council_district:4,Calhoun County Supervisor District 4
ocd-division/country:us/state:ms/county:calhoun/council_district:5,Calhoun County Supervisor District 5
ocd-division/country:us/state:ms/county:carroll/council_district:1,Carroll County Supervisor District 1
ocd-division/country:us/state:ms/county:carroll/council_district:2,Carroll County Supervisor District 2
ocd-division/country:us/state:ms/county:carroll/council_district:3,Carroll County Supervisor District 3
ocd-division/country:us/state:ms/county:carroll/council_district:4,Carroll County Supervisor District 4
ocd-division/country:us/state:ms/county:carroll/council_district:5,Carroll County Supervisor District 5
ocd-division/country:us/state:ms/county:chickasaw/council_district:1,Chickasaw County Supervisor District 1
ocd-division/country:us/state:ms/county:chickasaw/council_district:2,Chickasaw County Supervisor District 2
ocd-division/country:us/state:ms/county:chickasaw/council_district:3,Chickasaw County Supervisor District 3
ocd-division/country:us/state:ms/county:chickasaw/council_district:4,Chickasaw County Supervisor District 4
ocd-division/country:us/state:ms/county:chickasaw/council_district:5,Chickasaw County Supervisor District 5
ocd-division/country:us/state:ms/county:choctaw/council_district:1,Choctaw County Supervisor District 1
ocd-division/country:us/state:ms/county:choctaw/council_district:2,Choctaw County Supervisor District 2
ocd-division/country:us/state:ms/county:choctaw/council_district:3,Choctaw County Supervisor District 3
ocd-division/country:us/state:ms/county:choctaw/council_district:4,Choctaw County Supervisor District 4
ocd-division/country:us/state:ms/county:choctaw/council_district:5,Choctaw County Supervisor District 5
ocd-division/country:us/state:ms/county:claiborne/council_district:1,Claiborne County Supervisor District 1
ocd-division/country:us/state:ms/county:claiborne/council_district:2,Claiborne County Supervisor District 2
ocd-division/country:us/state:ms/county:claiborne/council_district:3,Claiborne County Supervisor District 3
ocd-division/country:us/state:ms/county:claiborne/council_district:4,Claiborne County Supervisor District 4
ocd-division/country:us/state:ms/county:claiborne/council_district:5,Claiborne County Supervisor District 5
ocd-division/country:us/state:ms/county:clarke/council_district:1,Clarke County Supervisor District 1
ocd-division/country:us/state:ms/county:clarke/council_district:2,Clarke County Supervisor District 2
ocd-division/country:us/state:ms/county:clarke/council_district:3,Clarke County Supervisor District 3
ocd-division/country:us/state:ms/county:clarke/council_district:4,Clarke County Supervisor District 4
ocd-division/country:us/state:ms/county:clarke/council_district:5,Clarke County Supervisor District 5
ocd-division/country:us/state:ms/county:clay/council_district:1,Clay County Supervisor District 1
ocd-division/country:us/state:ms/county:clay/council_district:2,Clay County Supervisor District 2
ocd-division/country:us/state:ms/county:clay/council_district:3,Clay County Supervisor District 3
ocd-division/country:us/state:ms/county:clay/council_district:4,Clay County Supervisor District 4
ocd-division/country:us/state:ms/county:clay/council_district:5,Clay County Supervisor District 5
ocd-division/country:us/state:ms/county:coahoma/council_district:1,Coahoma County Supervisor District 1
ocd-division/country:us/state:ms/county:coahoma/council_district:2,Coahoma County Supervisor District 2
ocd-division/country:us/state:ms/county:coahoma/council_district:3,Coahoma County Supervisor District 3
ocd-division/country:us/state:ms/county:coahoma/council_district:4,Coahoma County Supervisor District 4
ocd-division/country:us/state:ms/county:coahoma/council_district:5,Coahoma County Supervisor District 5
ocd-division/country:us/state:ms/county:copiah/council_district:1,Copiah County Supervisor District 1
ocd-division/country:us/state:ms/county:copiah/council_district:2,Copiah County Supervisor District 2
ocd-division/country:us/state:ms/county:copiah/council_district:3,Copiah County Supervisor District 3
ocd-division/country:us/state:ms/county:copiah/council_district:4,Copiah County Supervisor District 4
ocd-division/country:us/state:ms/county:copiah/council_district:5,Copiah County Supervisor District 5
ocd-division/country:us/state:ms/county:covington/council_district:1,Covington County Supervisor District 1
ocd-division/country:us/state:ms/county:covington/council_district:2,Covington County Supervisor District 2
ocd-division/country:us/state:ms/county:covington/council_district:3,Covington County Supervisor District 3
ocd-division/country:us/state:ms/county:covington/council_district:4,Covington County Supervisor District 4
ocd-division/country:us/state:ms/county:covington/council_district:5,Covington County Supervisor District 5
ocd-division/country:us/state:ms/county:desoto/council_district:1,Desoto County Supervisor District 1
ocd-division/country:us/state:ms/county:desoto/council_district:2,Desoto County Supervisor District 2
ocd-division/country:us/state:ms/county:desoto/council_district:3,Desoto County Supervisor District 3
ocd-division/country:us/state:ms/county:desoto/council_district:4,Desoto County Supervisor District 4
ocd-division/country:us/state:ms/county:desoto/council_district:5,Desoto County Supervisor District 5
ocd-division/country:us/state:ms/county:forrest/council_district:1,Forrest County Supervisor District 1
ocd-division/country:us/state:ms/county:forrest/council_district:2,Forrest County Supervisor District 2
ocd-division/country:us/state:ms/county:forrest/council_district:3,Forrest County Supervisor District 3
ocd-division/country:us/state:ms/county:forrest/council_district:4,Forrest County Supervisor District 4
ocd-division/country:us/state:ms/county:forrest/council_district:5,Forrest County Supervisor District 5
ocd-division/country:us/state:ms/county:franklin/council_district:1,Franklin County Supervisor District 1
ocd-division/country:us/state:ms/county:franklin/council_district:2,Franklin County Supervisor District 2
ocd-division/country:us/state:ms/county:franklin/council_district:3,Franklin County Supervisor District 3
ocd-division/country:us/state:ms/county:franklin/council_district:4,Franklin County Supervisor District 4
ocd-division/country:us/state:ms/county:franklin/council_district:5,Franklin County Supervisor District 5
ocd-division/country:us/state:ms/county:george/council_district:1,George County Supervisor District 1
ocd-division/country:us/state:ms/county:george/council_district:2,George County Supervisor District 2
ocd-division/country:us/state:ms/county:george/council_district:3,George County Supervisor District 3
ocd-division/country:us/state:ms/county:george/council_district:4,George County Supervisor District 4
ocd-division/country:us/state:ms/county:george/council_district:5,George County Supervisor District 5
ocd-division/country:us/state:ms/county:greene/council_district:1,Greene County Supervisor District 1
ocd-division/country:us/state:ms/county:greene/council_district:2,Greene County Supervisor District 2
ocd-division/country:us/state:ms/county:greene/council_district:3,Greene County Supervisor District 3
ocd-division/country:us/state:ms/county:greene/council_district:4,Greene County Supervisor District 4
ocd-division/country:us/state:ms/county:greene/council_district:5,Greene County Supervisor District 5
ocd-division/country:us/state:ms/county:grenada/council_district:1,Grenada County Supervisor District 1
ocd-division/country:us/state:ms/county:grenada/council_district:2,Grenada County Supervisor District 2
ocd-division/country:us/state:ms/county:grenada/council_district:3,Grenada County Supervisor District 3
ocd-division/country:us/state:ms/county:grenada/council_district:4,Grenada County Supervisor District 4
ocd-division/country:us/state:ms/county:grenada/council_district:5,Grenada County Supervisor District 5
ocd-division/country:us/state:ms/county:hancock/council_district:1,Hancock County Supervisor District 1
ocd-division/country:us/state:ms/county:hancock/council_district:2,Hancock County Supervisor District 2
ocd-division/country:us/state:ms/county:hancock/council_district:3,Hancock County Supervisor District 3
ocd-division/country:us/state:ms/county:hancock/council_district:4,Hancock County Supervisor District 4
ocd-division/country:us/state:ms/county:hancock/council_district:5,Hancock County Supervisor District 5
ocd-division/country:us/state:ms/county:harrison/council_district:1,Harrison County Supervisor District 1
ocd-division/country:us/state:ms/county:harrison/council_district:2,Harrison County Supervisor District 2
ocd-division/country:us/state:ms/county:harrison/council_district:3,Harrison County Supervisor District 3
ocd-division/country:us/state:ms/county:harrison/council_district:4,Harrison County Supervisor District 4
ocd-division/country:us/state:ms/county:harrison/council_district:5,Harrison County Supervisor District 5
ocd-division/country:us/state:ms/county:hinds/council_district:1,Hinds County MS Board of Supervisors District 1
ocd-division/country:us/state:ms/county:hinds/council_district:2,Hinds County MS Board of Supervisors District 2
ocd-division/country:us/state:ms/county:hinds/council_district:3,Hinds County MS Board of Supervisors District 3
ocd-division/country:us/state:ms/county:hinds/council_district:4,Hinds County MS Board of Supervisors District 4
ocd-division/country:us/state:ms/county:hinds/council_district:5,Hinds County MS Board of Supervisors District 5
ocd-division/country:us/state:ms/county:holmes/council_district:1,Holmes County Supervisor District 1
ocd-division/country:us/state:ms/county:holmes/council_district:2,Holmes County Supervisor District 2
ocd-division/country:us/state:ms/county:holmes/council_district:3,Holmes County Supervisor District 3
ocd-division/country:us/state:ms/county:holmes/council_district:4,Holmes County Supervisor District 4
ocd-division/country:us/state:ms/county:holmes/council_district:5,Holmes County Supervisor District 5
ocd-division/country:us/state:ms/county:humphreys/council_district:1,Humphreys County Supervisor District 1
ocd-division/country:us/state:ms/county:humphreys/council_district:2,Humphreys County Supervisor District 2
ocd-division/country:us/state:ms/county:humphreys/council_district:3,Humphreys County Supervisor District 3
ocd-division/country:us/state:ms/county:humphreys/council_district:4,Humphreys County Supervisor District 4
ocd-division/country:us/state:ms/county:humphreys/council_district:5,Humphreys County Supervisor District 5
ocd-division/country:us/state:ms/county:issaquena/council_district:1,Issaquena County Supervisor District 1
ocd-division/country:us/state:ms/county:issaquena/council_district:2,Issaquena County Supervisor District 2
ocd-division/country:us/state:ms/county:issaquena/council_district:3,Issaquena County Supervisor District 3
ocd-division/country:us/state:ms/county:issaquena/council_district:4,Issaquena County Supervisor District 4
ocd-division/country:us/state:ms/county:issaquena/council_district:5,Issaquena County Supervisor District 5
ocd-division/country:us/state:ms/county:itawamba/council_district:1,Itawamba County Supervisor District 1
ocd-division/country:us/state:ms/county:itawamba/council_district:2,Itawamba County Supervisor District 2
ocd-division/country:us/state:ms/county:itawamba/council_district:3,Itawamba County Supervisor District 3
ocd-division/country:us/state:ms/county:itawamba/council_district:4,Itawamba County Supervisor District 4
ocd-division/country:us/state:ms/county:itawamba/council_district:5,Itawamba County Supervisor District 5
ocd-division/country:us/state:ms/county:jackson/council_district:1,Jackson County Supervisor District 1
ocd-division/country:us/state:ms/county:jackson/council_district:2,Jackson County Supervisor District 2
ocd-division/country:us/state:ms/county:jackson/council_district:3,Jackson County Supervisor District 3
ocd-division/country:us/state:ms/county:jackson/council_district:4,Jackson County Supervisor District 4
ocd-division/country:us/state:ms/county:jackson/council_district:5,Jackson County Supervisor District 5
ocd-division/country:us/state:ms/county:jasper/council_district:1,Jasper County Supervisor District 1
ocd-division/country:us/state:ms/county:jasper/council_district:2,Jasper County Supervisor District 2
ocd-division/country:us/state:ms/county:jasper/council_district:3,Jasper County Supervisor District 3
ocd-division/country:us/state:ms/county:jasper/council_district:4,Jasper County Supervisor District 4
ocd-division/country:us/state:ms/county:jasper/council_district:5,Jasper County Supervisor District 5
ocd-division/country:us/state:ms/county:jefferson/council_district:1,Jefferson County Supervisor District 1
ocd-division/country:us/state:ms/county:jefferson/council_district:2,Jefferson County Supervisor District 2
ocd-division/country:us/state:ms/county:jefferson/council_district:3,Jefferson County Supervisor District 3
ocd-division/country:us/state:ms/county:jefferson/council_district:4,Jefferson County Supervisor District 4
ocd-division/country:us/state:ms/county:jefferson/council_district:5,Jefferson County Supervisor District 5
ocd-division/country:us/state:ms/county:jefferson_davis/council_district:1,Jefferson Davis County Supervisor District 1
ocd-division/country:us/state:ms/county:jefferson_davis/council_district:2,Jefferson Davis County Supervisor District 2
ocd-division/country:us/state:ms/county:jefferson_davis/council_district:3,Jefferson Davis County Supervisor District 3
ocd-division/country:us/state:ms/county:jefferson_davis/council_district:4,Jefferson Davis County Supervisor District 4
ocd-division/country:us/state:ms/county:jefferson_davis/council_district:5,Jefferson Davis County Supervisor District 5
ocd-division/country:us/state:ms/county:jones/council_district:1,Jones County Supervisor District 1
ocd-division/country:us/state:ms/county:jones/council_district:2,Jones County Supervisor District 2
ocd-division/country:us/state:ms/county:jones/council_district:3,Jones County Supervisor District 3
ocd-division/country:us/state:ms/county:jones/council_district:4,Jones County Supervisor District 4
ocd-division/country:us/state:ms/county:jones/council_district:5,Jones County Supervisor District 5
ocd-division/country:us/state:ms/county:kemper/council_district:1,Kemper County Supervisor District 1
ocd-division/country:us/state:ms/county:kemper/council_district:2,Kemper County Supervisor District 2
ocd-division/country:us/state:ms/county:kemper/council_district:3,Kemper County Supervisor District 3
ocd-division/country:us/state:ms/county:kemper/council_district:4,Kemper County Supervisor District 4
ocd-division/country:us/state:ms/county:kemper/council_district:5,Kemper County Supervisor District 5
ocd-division/country:us/state:ms/county:lafayette/council_district:1,Lafayette County Supervisor District 1
ocd-division/country:us/state:ms/county:lafayette/council_district:2,Lafayette County Supervisor District 2
ocd-division/country:us/state:ms/county:lafayette/council_district:3,Lafayette County Supervisor District 3
ocd-division/country:us/state:ms/county:lafayette/council_district:4,Lafayette County Supervisor District 4
ocd-division/country:us/state:ms/county:lafayette/council_district:5,Lafayette County Supervisor District 5
ocd-division/country:us/state:ms/county:lamar/council_district:1,Lamar County Supervisor District 1
ocd-division/country:us/state:ms/county:lamar/council_district:2,Lamar County Supervisor District 2
ocd-division/country:us/state:ms/county:lamar/council_district:3,Lamar County Supervisor District 3
ocd-division/country:us/state:ms/county:lamar/council_district:4,Lamar County Supervisor District 4
ocd-division/country:us/state:ms/county:lamar/council_district:5,Lamar County Supervisor District 5
ocd-division/country:us/state:ms/county:lauderdale/council_district:1,Lauderdale County Supervisor District 1
ocd-division/country:us/state:ms/county:lauderdale/council_district:2,Lauderdale County Supervisor District 2
ocd-division/country:us/state:ms/county:lauderdale/council_district:3,Lauderdale County Supervisor District 3
ocd-division/country:us/state:ms/county:lauderdale/council_district:4,Lauderdale County Supervisor District 4
ocd-division/country:us/state:ms/county:lauderdale/council_district:5,Lauderdale County Supervisor District 5
ocd-division/country:us/state:ms/county:lawrence/council_district:1,Lawrence County Supervisor District 1
ocd-division/country:us/state:ms/county:lawrence/council_district:2,Lawrence County Supervisor District 2
ocd-division/country:us/state:ms/county:lawrence/council_district:3,Lawrence County Supervisor District 3
