ocd-division/country:us/state:nc/place:charlotte/council_district:1,Charlotte_NC city council district 1
ocd-division/country:us/state:nc/place:charlotte/council_district:2,Charlotte_NC city council district 2
ocd-division/country:us/state:nc/place:charlotte/council_district:3,Charlotte_NC city council district 3
ocd-division/country:us/state:nc/place:charlotte/council_district:4,Charlotte_NC city council district 4
ocd-division/country:us/state:nc/place:charlotte/council_district:5,Charlotte_NC city council district 5
ocd-division/country:us/state:nc/place:charlotte/council_district:6,Charlotte_NC city council district 6
ocd-division/country:us/state:nc/place:charlotte/council_district:7,Charlotte_NC city council district 7
ocd-division/country:us/state:nc/place:raleigh/council_district:A,Raleigh_NC city council district A
ocd-division/country:us/state:nc/place:raleigh/council_district:B,Raleigh_NC city council district B
ocd-division/country:us/state:nc/place:raleigh/council_district:C,Raleigh_NC city council district C
ocd-division/country:us/state:nc/place:raleigh/council_district:D,Raleigh_NC city council district D
ocd-division/country:us/state:nc/place:raleigh/council_district:E,Raleigh_NC city council district E
