ocd-division/country:us/state:ne/county:adams/council_district:1,Adams County Supervisor District 1
ocd-division/country:us/state:ne/county:adams/council_district:2,Adams County Supervisor District 2
ocd-division/country:us/state:ne/county:adams/council_district:3,Adams County Supervisor District 3
ocd-division/country:us/state:ne/county:adams/council_district:4,Adams County Supervisor District 4
ocd-division/country:us/state:ne/county:adams/council_district:5,Adams County Supervisor District 5
ocd-division/country:us/state:ne/county:adams/council_district:6,Adams County Supervisor District 6
ocd-division/country:us/state:ne/county:adams/council_district:7,Adams County Supervisor District 7
ocd-division/country:us/state:ne/county:antelope/council_district:1,Antelope County Supervisor District 1
ocd-division/country:us/state:ne/county:antelope/council_district:2,Antelope County Supervisor District 2
ocd-division/country:us/state:ne/county:antelope/council_district:3,Antelope County Supervisor District 3
ocd-division/country:us/state:ne/county:antelope/council_district:4,Antelope County Supervisor District 4
ocd-division/country:us/state:ne/county:antelope/council_district:5,Antelope County Supervisor District 5
ocd-division/country:us/state:ne/county:antelope/council_district:6,Antelope County Supervisor District 6
ocd-division/country:us/state:ne/county:antelope/council_district:7,Antelope County Supervisor District 7
ocd-division/country:us/state:ne/county:boone/council_district:1,Boone County Comission District 1
ocd-division/country:us/state:ne/county:boone/council_district:2,Boone County Comission District 2
ocd-division/country:us/state:ne/county:boone/council_district:3,Boone County Comission District 3
ocd-division/country:us/state:ne/county:boyd/council_district:1,Boyd County Supervisor District 1
ocd-division/country:us/state:ne/county:boyd/council_district:2,Boyd County Supervisor District 2
ocd-division/country:us/state:ne/county:boyd/council_district:3,Boyd County Supervisor District 3
ocd-division/country:us/state:ne/county:boyd/council_district:4,Boyd County Supervisor District 4
ocd-division/country:us/state:ne/county:boyd/council_district:5,Boyd County Supervisor District 5
ocd-division/country:us/state:ne/county:boyd/council_district:6,Boyd County Supervisor District 6
ocd-division/country:us/state:ne/county:boyd/council_district:7,Boyd County Supervisor District 7
ocd-division/country:us/state:ne/county:buffalo/council_district:1,Buffalo County Supervisor District 1
ocd-division/country:us/state:ne/county:buffalo/council_district:2,Buffalo County Supervisor District 2
ocd-division/country:us/state:ne/county:buffalo/council_district:3,Buffalo County Supervisor District 3
ocd-division/country:us/state:ne/county:buffalo/council_district:4,Buffalo County Supervisor District 4
ocd-division/country:us/state:ne/county:buffalo/council_district:5,Buffalo County Supervisor District 5
ocd-division/country:us/state:ne/county:buffalo/council_district:6,Buffalo County Supervisor District 6
ocd-division/country:us/state:ne/county:buffalo/council_district:7,Buffalo County Supervisor District 7
ocd-division/country:us/state:ne/county:burt/council_district:1,Burt County Supervisor District 1
ocd-division/country:us/state:ne/county:burt/council_district:2,Burt County Supervisor District 2
ocd-division/country:us/state:ne/county:burt/council_district:3,Burt County Supervisor District 3
ocd-division/country:us/state:ne/county:burt/council_district:4,Burt County Supervisor District 4
ocd-division/country:us/state:ne/county:burt/council_district:5,Burt County Supervisor District 5
ocd-division/country:us/state:ne/county:burt/council_district:6,Burt County Supervisor District 6
ocd-division/country:us/state:ne/county:burt/council_district:7,Burt County Supervisor District 7
ocd-division/country:us/state:ne/county:butler/council_district:1,Butler County Supervisor District 1
ocd-division/country:us/state:ne/county:butler/council_district:2,Butler County Supervisor District 2
ocd-division/country:us/state:ne/county:butler/council_district:3,Butler County Supervisor District 3
ocd-division/country:us/state:ne/county:butler/council_district:4,Butler County Supervisor District 4
ocd-division/country:us/state:ne/county:butler/council_district:5,Butler County Supervisor District 5
ocd-division/country:us/state:ne/county:butler/council_district:6,Butler County Supervisor District 6
ocd-division/country:us/state:ne/county:butler/council_district:7,Butler County Supervisor District 7
ocd-division/country:us/state:ne/county:cass/council_district:1,Cass County Comission District 1
ocd-division/country:us/state:ne/county:cass/council_district:2,Cass County Comission District 2
ocd-division/country:us/state:ne/county:cass/council_district:3,Cass County Comission District 3
ocd-division/country:us/state:ne/county:cass/council_district:4,Cass County Comission District 4
ocd-division/country:us/state:ne/county:cass/council_district:5,Cass County Comission District 5
ocd-division/country:us/state:ne/county:cedar/council_district:1,Cedar County Comission District 1
ocd-division/country:us/state:ne/county:cedar/council_district:2,Cedar County Comission District 2
ocd-division/country:us/state:ne/county:cedar/council_district:3,Cedar County Comission District 3
ocd-division/country:us/state:ne/county:chase/council_district:1,Chase County Comission District 1
ocd-division/country:us/state:ne/county:chase/council_district:2,Chase County Comission District 2
ocd-division/country:us/state:ne/county:chase/council_district:3,Chase County Comission District 3
ocd-division/country:us/state:ne/county:cheyenne/council_district:1,Cheyenne County Comission District 1
ocd-division/country:us/state:ne/county:cheyenne/council_district:2,Cheyenne County Comission District 2
ocd-division/country:us/state:ne/county:cheyenne/council_district:3,Cheyenne County Comission District 3
ocd-division/country:us/state:ne/county:clay/council_district:1,Clay County Supervisor District 1
ocd-division/country:us/state:ne/county:clay/council_district:2,Clay County Supervisor District 2
ocd-division/country:us/state:ne/county:clay/council_district:3,Clay County Supervisor District 3
ocd-division/country:us/state:ne/county:clay/council_district:4,Clay County Supervisor District 4
ocd-division/country:us/state:ne/county:clay/council_district:5,Clay County Supervisor District 5
ocd-division/country:us/state:ne/county:clay/council_district:6,Clay County Supervisor District 6
ocd-division/country:us/state:ne/county:clay/council_district:7,Clay County Supervisor District 7
ocd-division/country:us/state:ne/county:cuming/council_district:1,Cuming County Supervisor District 1
ocd-division/country:us/state:ne/county:cuming/council_district:2,Cuming County Supervisor District 2
ocd-division/country:us/state:ne/county:cuming/council_district:3,Cuming County Supervisor District 3
ocd-division/country:us/state:ne/county:cuming/council_district:4,Cuming County Supervisor District 4
ocd-division/country:us/state:ne/county:cuming/council_district:5,Cuming County Supervisor District 5
ocd-division/country:us/state:ne/county:cuming/council_district:6,Cuming County Supervisor District 6
ocd-division/country:us/state:ne/county:cuming/council_district:7,Cuming County Supervisor District 7
ocd-division/country:us/state:ne/county:custer/council_district:1,Custer County Supervisor District 1
ocd-division/country:us/state:ne/county:custer/council_district:2,Custer County Supervisor District 2
ocd-division/country:us/state:ne/county:custer/council_district:3,Custer County Supervisor District 3
ocd-division/country:us/state:ne/county:custer/council_district:4,Custer County Supervisor District 4
ocd-division/country:us/state:ne/county:custer/council_district:5,Custer County Supervisor District 5
ocd-division/country:us/state:ne/county:custer/council_district:6,Custer County Supervisor District 6
ocd-division/country:us/state:ne/county:custer/council_district:7,Custer County Supervisor District 7
ocd-division/country:us/state:ne/county:dawes/council_district:1,Dawes County Comission District 1
ocd-division/country:us/state:ne/county:dawes/council_district:2,Dawes County Comission District 2
ocd-division/country:us/state:ne/county:dawes/council_district:3,Dawes County Comission District 3
ocd-division/country:us/state:ne/county:dawson/council_district:1,Dawson County Comission District 1
ocd-division/country:us/state:ne/county:dawson/council_district:2,Dawson County Comission District 2
ocd-division/country:us/state:ne/county:dawson/council_district:3,Dawson County Comission District 3
ocd-division/country:us/state:ne/county:dawson/council_district:4,Dawson County Comission District 4
ocd-division/country:us/state:ne/county:dawson/council_district:5,Dawson County Comission District 5
ocd-division/country:us/state:ne/county:dodge/council_district:1,Dodge County Supervisor District 1
ocd-division/country:us/state:ne/county:dodge/council_district:2,Dodge County Supervisor District 2
ocd-division/country:us/state:ne/county:dodge/council_district:3,Dodge County Supervisor District 3
ocd-division/country:us/state:ne/county:dodge/council_district:4,Dodge County Supervisor District 4
ocd-division/country:us/state:ne/county:dodge/council_district:5,Dodge County Supervisor District 5
ocd-division/country:us/state:ne/county:dodge/council_district:6,Dodge County Supervisor District 6
ocd-division/country:us/state:ne/county:dodge/council_district:7,Dodge County Supervisor District 7
ocd-division/country:us/state:ne/county:douglas/council_district:1,Douglas County Comission District 1
ocd-division/country:us/state:ne/county:douglas/council_district:2,Douglas County Comission District 2
ocd-division/country:us/state:ne/county:douglas/council_district:3,Douglas County Comission District 3
ocd-division/country:us/state:ne/county:douglas/council_district:4,Douglas County Comission District 4
ocd-division/country:us/state:ne/county:douglas/council_district:5,Douglas County Comission District 5
ocd-division/country:us/state:ne/county:douglas/council_district:6,Douglas County Comission District 6
ocd-division/country:us/state:ne/county:douglas/council_district:7,Douglas County Comission District 7
ocd-division/country:us/state:ne/county:fillmore/council_district:1,Fillmore County Supervisor District 1
ocd-division/country:us/state:ne/county:fillmore/council_district:2,Fillmore County Supervisor District 2
ocd-division/country:us/state:ne/county:fillmore/council_district:3,Fillmore County Supervisor District 3
ocd-division/country:us/state:ne/county:fillmore/council_district:4,Fillmore County Supervisor District 4
ocd-division/country:us/state:ne/county:fillmore/council_district:5,Fillmore County Supervisor District 5
ocd-division/country:us/state:ne/county:fillmore/council_district:6,Fillmore County Supervisor District 6
ocd-division/country:us/state:ne/county:fillmore/council_district:7,Fillmore County Supervisor District 7
ocd-division/country:us/state:ne/county:franklin/council_district:1,Franklin County Supervisor District 1
ocd-division/country:us/state:ne/county:franklin/council_district:2,Franklin County Supervisor District 2
ocd-division/country:us/state:ne/county:franklin/council_district:3,Franklin County Supervisor District 3
ocd-division/country:us/state:ne/county:franklin/council_district:4,Franklin County Supervisor District 4
ocd-division/country:us/state:ne/county:franklin/council_district:5,Franklin County Supervisor District 5
ocd-division/country:us/state:ne/county:franklin/council_district:6,Franklin County Supervisor District 6
ocd-division/country:us/state:ne/county:franklin/council_district:7,Franklin County Supervisor District 7
ocd-division/country:us/state:ne/county:gage/council_district:1,Gage County Supervisor District 1
ocd-division/country:us/state:ne/county:gage/council_district:2,Gage County Supervisor District 2
ocd-division/country:us/state:ne/county:gage/council_district:3,Gage County Supervisor District 3
ocd-division/country:us/state:ne/county:gage/council_district:4,Gage County Supervisor District 4
ocd-division/country:us/state:ne/county:gage/council_district:5,Gage County Supervisor District 5
ocd-division/country:us/state:ne/county:gage/council_district:6,Gage County Supervisor District 6
ocd-division/country:us/state:ne/county:gage/council_district:7,Gage County Supervisor District 7
ocd-division/country:us/state:ne/county:garden/council_district:1,Garden County Comission District 1
ocd-division/country:us/state:ne/county:garden/council_district:2,Garden County Comission District 2
ocd-division/country:us/state:ne/county:garden/council_district:3,Garden County Comission District 3
ocd-division/country:us/state:ne/county:gosper/council_district:1,Gosper County Comission District 1
ocd-division/country:us/state:ne/county:gosper/council_district:2,Gosper County Comission District 2
ocd-division/country:us/state:ne/county:gosper/council_district:3,Gosper County Comission District 3
ocd-division/country:us/state:ne/county:greeley/council_district:1,Greeley County Comission District 1
ocd-division/country:us/state:ne/county:greeley/council_district:2,Greeley County Comission District 2
ocd-division/country:us/state:ne/county:greeley/council_district:3,Greeley County Comission District 3
ocd-division/country:us/state:ne/county:hall/council_district:1,Hall County Supervisor District 1
ocd-division/country:us/state:ne/county:hall/council_district:2,Hall County Supervisor District 2
ocd-division/country:us/state:ne/county:hall/council_district:3,Hall County Supervisor District 3
ocd-division/country:us/state:ne/county:hall/council_district:4,Hall County Supervisor District 4
ocd-division/country:us/state:ne/county:hall/council_district:5,Hall County Supervisor District 5
ocd-division/country:us/state:ne/county:hall/council_district:6,Hall County Supervisor District 6
ocd-division/country:us/state:ne/county:hall/council_district:7,Hall County Supervisor District 7
ocd-division/country:us/state:ne/county:hamilton/council_district:1,Hamilton County Comission District 1
ocd-division/country:us/state:ne/county:hamilton/council_district:2,Hamilton County Comission District 2
ocd-division/country:us/state:ne/county:hamilton/council_district:3,Hamilton County Comission District 3
ocd-division/country:us/state:ne/county:hamilton/council_district:4,Hamilton County Comission District 4
ocd-division/country:us/state:ne/county:hamilton/council_district:5,Hamilton County Comission District 5
ocd-division/country:us/state:ne/county:harlan/council_district:1,Harlan County Supervisor District 1
ocd-division/country:us/state:ne/county:harlan/council_district:2,Harlan County Supervisor District 2
ocd-division/country:us/state:ne/county:harlan/council_district:3,Harlan County Supervisor District 3
ocd-division/country:us/state:ne/county:harlan/council_district:4,Harlan County Supervisor District 4
ocd-division/country:us/state:ne/county:harlan/council_district:5,Harlan County Supervisor District 5
ocd-division/country:us/state:ne/county:harlan/council_district:6,Harlan County Supervisor District 6
ocd-division/country:us/state:ne/county:harlan/council_district:7,Harlan County Supervisor District 7
ocd-division/country:us/state:ne/county:hayes/council_district:1,Hayes County Comission District 1
ocd-division/country:us/state:ne/county:hayes/council_district:2,Hayes County Comission District 2
ocd-division/country:us/state:ne/county:hayes/council_district:3,Hayes County Comission District 3
ocd-division/country:us/state:ne/county:holt/council_district:1,Holt County Supervisor District 1
ocd-division/country:us/state:ne/county:holt/council_district:2,Holt County Supervisor District 2
ocd-division/country:us/state:ne/county:holt/council_district:3,Holt County Supervisor District 3
ocd-division/country:us/state:ne/county:holt/council_district:4,Holt County Supervisor District 4
ocd-division/country:us/state:ne/county:holt/council_district:5,Holt County Supervisor District 5
ocd-division/country:us/state:ne/county:holt/council_district:6,Holt County Supervisor District 6
ocd-division/country:us/state:ne/county:holt/council_district:7,Holt County Supervisor District 7
ocd-division/country:us/state:ne/county:jefferson/council_district:1,Jefferson County Comission District 1
ocd-division/country:us/state:ne/county:jefferson/council_district:2,Jefferson County Comission District 2
ocd-division/country:us/state:ne/county:jefferson/council_district:3,Jefferson County Comission District 3
ocd-division/country:us/state:ne/county:johnson/council_district:1,Johnson County Comission District 1
ocd-division/country:us/state:ne/county:johnson/council_district:2,Johnson County Comission District 2
ocd-division/country:us/state:ne/county:johnson/council_district:3,Johnson County Comission District 3
ocd-division/country:us/state:ne/county:kearney/council_district:1,Kearney County Supervisor District 1
ocd-division/country:us/state:ne/county:kearney/council_district:2,Kearney County Supervisor District 2
ocd-division/country:us/state:ne/county:kearney/council_district:3,Kearney County Supervisor District 3
ocd-division/country:us/state:ne/county:kearney/council_district:4,Kearney County Supervisor District 4
ocd-division/country:us/state:ne/county:kearney/council_district:5,Kearney County Supervisor District 5
