ocd-division/country:us/state:nh/executive_district:1,New Hampshire Executive Council District 1
ocd-division/country:us/state:nh/executive_district:2,New Hampshire Executive Council District 2
ocd-division/country:us/state:nh/executive_district:3,New Hampshire Executive Council District 3
ocd-division/country:us/state:nh/executive_district:4,New Hampshire Executive Council District 4
ocd-division/country:us/state:nh/executive_district:5,New Hampshire Executive Council District 5
ocd-division/country:us/state:nh/county:belknap/council_district:1,Belknap District 1
ocd-division/country:us/state:nh/county:belknap/council_district:2,Belknap District 2
ocd-division/country:us/state:nh/county:belknap/council_district:3,Belknap District 3
ocd-division/country:us/state:nh/county:cheshire/council_district:1,Cheshire District 1
ocd-division/country:us/state:nh/county:cheshire/council_district:2,Cheshire District 2
ocd-division/country:us/state:nh/county:cheshire/council_district:3,Cheshire District 3
ocd-division/country:us/state:nh/county:grafton/council_district:1,Grafton District 1
ocd-division/country:us/state:nh/county:grafton/council_district:2,Grafton District 2
ocd-division/country:us/state:nh/county:grafton/council_district:3,Grafton District 3
ocd-division/country:us/state:nh/county:hillsborough/council_district:1,Hillsborough District 1
ocd-division/country:us/state:nh/county:hillsborough/council_district:2,Hillsborough District 2
ocd-division/country:us/state:nh/county:hillsborough/council_district:3,Hillsborough District 3
ocd-division/country:us/state:nh/county:rockingham/council_district:1,Rockingham District 1
ocd-division/country:us/state:nh/county:rockingham/council_district:2,Rockingham District 2
ocd-division/country:us/state:nh/county:rockingham/council_district:3,Rockingham District 3
ocd-division/country:us/state:nh/county:sullivan/council_district:1,Sullivan District 1
ocd-division/country:us/state:nh/county:sullivan/council_district:2,Sullivan District 2
ocd-division/country:us/state:nh/county:sullivan/council_district:3,Sullivan District 3
ocd-division/country:us/state:nh/place:manchester/ward:1,Manchester NH - ward 1
ocd-division/country:us/state:nh/place:manchester/ward:2,Manchester NH - ward 2
ocd-division/country:us/state:nh/place:manchester/ward:3,Manchester NH - ward 3
ocd-division/country:us/state:nh/place:manchester/ward:4,Manchester NH - ward 4
ocd-division/country:us/state:nh/place:manchester/ward:5,Manchester NH - ward 5
ocd-division/country:us/state:nh/place:manchester/ward:6,Manchester NH - ward 6
ocd-division/country:us/state:nh/place:manchester/ward:7,Manchester NH - ward 7
ocd-division/country:us/state:nh/place:manchester/ward:8,Manchester NH - ward 8
ocd-division/country:us/state:nh/place:manchester/ward:9,Manchester NH - ward 9
ocd-division/country:us/state:nh/place:manchester/ward:10,Manchester NH - ward 10
ocd-division/country:us/state:nh/place:manchester/ward:11,Manchester NH - ward 11
ocd-division/country:us/state:nh/place:manchester/ward:12,Manchester NH - ward 12
ocd-division/country:us/state:nh/place:keene/ward:1,Keene NH - Ward 1
ocd-division/country:us/state:nh/place:keene/ward:2,Keene NH - Ward 2
ocd-division/country:us/state:nh/place:keene/ward:3,Keene NH - Ward 3
ocd-division/country:us/state:nh/place:keene/ward:4,Keene NH - Ward 4
ocd-division/country:us/state:nh/place:keene/ward:5,Keene NH - Ward 5
ocd-division/country:us/state:nh/place:lebanon/ward:1,Lebanon NH - Ward 1
ocd-division/country:us/state:nh/place:lebanon/ward:2,Lebanon NH - Ward 2
ocd-division/country:us/state:nh/place:lebanon/ward:3,Lebanon NH - Ward 3
ocd-division/country:us/state:nh/place:nashua/ward:1,Nashua NH - Ward 1
ocd-division/country:us/state:nh/place:nashua/ward:2,Nashua NH - Ward 2
ocd-division/country:us/state:nh/place:nashua/ward:3,Nashua NH - Ward 3
ocd-division/country:us/state:nh/place:nashua/ward:4,Nashua NH - Ward 4
ocd-division/country:us/state:nh/place:nashua/ward:5,Nashua NH - Ward 5
ocd-division/country:us/state:nh/place:nashua/ward:6,Nashua NH - Ward 6
ocd-division/country:us/state:nh/place:nashua/ward:7,Nashua NH - Ward 7
ocd-division/country:us/state:nh/place:nashua/ward:8,Nashua NH - Ward 8
ocd-division/country:us/state:nh/place:nashua/ward:9,Nashua NH - Ward 9
ocd-division/country:us/state:nh/place:portsmouth/ward:1,Portsmouth NH - Ward 1
ocd-division/country:us/state:nh/place:portsmouth/ward:2,Portsmouth NH - Ward 2
ocd-division/country:us/state:nh/place:portsmouth/ward:3,Portsmouth NH - Ward 3
ocd-division/country:us/state:nh/place:portsmouth/ward:4,Portsmouth NH - Ward 4
ocd-division/country:us/state:nh/place:portsmouth/ward:5,Portsmouth NH - Ward 5
ocd-division/country:us/state:nh/place:concord/ward:1,Concord NH - Ward 1
ocd-division/country:us/state:nh/place:concord/ward:2,Concord NH - Ward 2
ocd-division/country:us/state:nh/place:concord/ward:3,Concord NH - Ward 3
ocd-division/country:us/state:nh/place:concord/ward:4,Concord NH - Ward 4
ocd-division/country:us/state:nh/place:concord/ward:5,Concord NH - Ward 5
ocd-division/country:us/state:nh/place:concord/ward:6,Concord NH - Ward 6
ocd-division/country:us/state:nh/place:concord/ward:7,Concord NH - Ward 7
ocd-division/country:us/state:nh/place:concord/ward:8,Concord NH - Ward 8
ocd-division/country:us/state:nh/place:concord/ward:9,Concord NH - Ward 9
ocd-division/country:us/state:nh/place:concord/ward:10,Concord NH - Ward 10
ocd-division/country:us/state:nh/place:franklin/ward:1,Franklin NH - Ward 1
ocd-division/country:us/state:nh/place:franklin/ward:2,Franklin NH - Ward 2
ocd-division/country:us/state:nh/place:franklin/ward:3,Franklin NH - Ward 3
ocd-division/country:us/state:nh/place:dover/ward:1,Dover NH - Ward 1
ocd-division/country:us/state:nh/place:dover/ward:2,Dover NH - Ward 2
ocd-division/country:us/state:nh/place:dover/ward:3,Dover NH - Ward 3
ocd-division/country:us/state:nh/place:dover/ward:4,Dover NH - Ward 4
ocd-division/country:us/state:nh/place:dover/ward:5,Dover NH - Ward 5
ocd-division/country:us/state:nh/place:dover/ward:6,Dover NH - Ward 6
ocd-division/country:us/state:nh/place:rochester/ward:1,Rochester NH - Ward 1
ocd-division/country:us/state:nh/place:rochester/ward:2,Rochester NH - Ward 2
ocd-division/country:us/state:nh/place:rochester/ward:3,Rochester NH - Ward 3
ocd-division/country:us/state:nh/place:rochester/ward:4,Rochester NH - Ward 4
ocd-division/country:us/state:nh/place:rochester/ward:5,Rochester NH - Ward 5
ocd-division/country:us/state:nh/place:rochester/ward:6,Rochester NH - Ward 6
ocd-division/country:us/state:nh/place:somersworth/ward:1,Somersworth NH - Ward 1
ocd-division/country:us/state:nh/place:somersworth/ward:2,Somersworth NH - Ward 2
ocd-division/country:us/state:nh/place:somersworth/ward:3,Somersworth NH - Ward 3
ocd-division/country:us/state:nh/place:somersworth/ward:4,Somersworth NH - Ward 4
ocd-division/country:us/state:nh/place:somersworth/ward:5,Somersworth NH - Ward 5
ocd-division/country:us/state:nh/place:claremont/ward:1,Claremont NH - Ward 1
ocd-division/country:us/state:nh/place:claremont/ward:2,Claremont NH - Ward 2
ocd-division/country:us/state:nh/place:claremont/ward:3,Claremont NH - Ward 3
ocd-division/country:us/state:nh/place:laconia/ward:1,Laconia NH - Ward 1
ocd-division/country:us/state:nh/place:laconia/ward:2,Laconia NH - Ward 2
ocd-division/country:us/state:nh/place:laconia/ward:3,Laconia NH - Ward 3
ocd-division/country:us/state:nh/place:laconia/ward:4,Laconia NH - Ward 4
ocd-division/country:us/state:nh/place:laconia/ward:5,Laconia NH - Ward 5
ocd-division/country:us/state:nh/place:laconia/ward:6,Laconia NH - Ward 6
ocd-division/country:us/state:nh/place:berlin/ward:1,Berlin NH - Ward 1
ocd-division/country:us/state:nh/place:berlin/ward:2,Berlin NH - Ward 2
ocd-division/country:us/state:nh/place:berlin/ward:3,Berlin NH - Ward 3
ocd-division/country:us/state:nh/place:berlin/ward:4,Berlin NH - Ward 4
ocd-division/country:us/state:nh/place:hooksett/ward:1,Hooksett NH - Ward 1
ocd-division/country:us/state:nh/place:hooksett/ward:2,Hooksett NH - Ward 2
ocd-division/country:us/state:nh/place:hooksett/ward:3,Hooksett NH - Ward 3
ocd-division/country:us/state:nh/place:hooksett/ward:4,Hooksett NH - Ward 4
ocd-division/country:us/state:nh/place:hooksett/ward:5,Hooksett NH - Ward 5
ocd-division/country:us/state:nh/place:hooksett/ward:6,Hooksett NH - Ward 6
ocd-division/country:us/state:nh/place:derry/ward:1,Derry NH - Ward 1
ocd-division/country:us/state:nh/place:derry/ward:2,Derry NH - Ward 2
ocd-division/country:us/state:nh/place:derry/ward:3,Derry NH - Ward 3
ocd-division/country:us/state:nh/place:derry/ward:4,Derry NH - Ward 4
ocd-division/country:us/state:nh/place:salem/ward:1,Salem NH - Ward 1
ocd-division/country:us/state:nh/place:salem/ward:2,Salem NH - Ward 2
ocd-division/country:us/state:nh/place:salem/ward:3,Salem NH - Ward 3
ocd-division/country:us/state:nh/place:salem/ward:4,Salem NH - Ward 4
ocd-division/country:us/state:nh/place:salem/ward:6,Salem NH - Ward 6
ocd-division/country:us/state:nh/place:walpole/ward:1,Walpole NH - Ward 1
ocd-division/country:us/state:nh/place:walpole/ward:2,Walpole NH - Ward 2
ocd-division/country:us/state:nh/place:goffstown/ward:1,Goffstown NH - Ward 1
ocd-division/country:us/state:nh/place:goffstown/ward:5,Goffstown NH - Ward 5
ocd-division/country:us/state:nh/place:hale~s_location,Hale's Location Township NH
ocd-division/country:us/state:nh/place:cambridge,Cambridge Township NH
ocd-division/country:us/state:nh/place:dixville,Dixville Township NH
ocd-division/country:us/state:nh/place:greens_grant,Greens Grant Township NH
ocd-division/country:us/state:nh/place:millsfield,Millsfield Township NH
ocd-division/country:us/state:nh/place:pinkhams_grant,Pinkhams Grant Township NH
ocd-division/country:us/state:nh/place:wentworth~s_location,WentWorth's Location Township NH
