ocd-division/country:us/state:nj/place:newark/ward:south,Newark_NJ - South Ward
ocd-division/country:us/state:nj/place:newark/ward:north,Newark_NJ - North Ward
ocd-division/country:us/state:nj/place:newark/ward:central,Newark_NJ - Central Ward
ocd-division/country:us/state:nj/place:newark/ward:east,Newark_NJ - East Ward
ocd-division/country:us/state:nj/place:newark/ward:west,Newark_NJ - West Ward
ocd-division/country:us/state:nj/place:atlantic_city/ward:1,Atlantic City_NJ City Council ward 1
ocd-division/country:us/state:nj/place:atlantic_city/ward:2,Atlantic City_NJ City Council ward 2
ocd-division/country:us/state:nj/place:atlantic_city/ward:3,Atlantic City_NJ City Council ward 3
ocd-division/country:us/state:nj/place:atlantic_city/ward:4,Atlantic City_NJ City Council ward 4
ocd-division/country:us/state:nj/place:atlantic_city/ward:5,Atlantic City_NJ City Council ward 5
ocd-division/country:us/state:nj/place:atlantic_city/ward:6,Atlantic City_NJ City Council ward 6
ocd-division/country:us/state:nj/place:jersey_city/ward:a,Jersey City_NJ City Council ward A
ocd-division/country:us/state:nj/place:jersey_city/ward:b,Jersey City_NJ City Council ward B
ocd-division/country:us/state:nj/place:jersey_city/ward:c,Jersey City_NJ City Council ward C
ocd-division/country:us/state:nj/place:jersey_city/ward:d,Jersey City_NJ City Council ward D
ocd-division/country:us/state:nj/place:jersey_city/ward:e,Jersey City_NJ City Council ward E
ocd-division/country:us/state:nj/place:jersey_city/ward:f,Jersey City_NJ City Council ward F
