Bernalillo County,ocd-division/country:us/state:nm/county:bernalillo
Catron County,ocd-division/country:us/state:nm/county:catron
Chaves County,ocd-division/country:us/state:nm/county:chaves
Cibola County,ocd-division/country:us/state:nm/county:cibola
Colfax County,ocd-division/country:us/state:nm/county:colfax
Curry County,ocd-division/country:us/state:nm/county:curry
De Baca County,ocd-division/country:us/state:nm/county:de_baca
Doña Ana County,ocd-division/country:us/state:nm/county:do~a_ana
Eddy County,ocd-division/country:us/state:nm/county:eddy
Grant County,ocd-division/country:us/state:nm/county:grant
Guadalupe County,ocd-division/country:us/state:nm/county:guadalupe
Harding County,ocd-division/country:us/state:nm/county:harding
Hidalgo County,ocd-division/country:us/state:nm/county:hidalgo
Lea County,ocd-division/country:us/state:nm/county:lea
Lincoln County,ocd-division/country:us/state:nm/county:lincoln
Los Alamos County,ocd-division/country:us/state:nm/county:los_alamos
Luna County,ocd-division/country:us/state:nm/county:luna
McKinley County,ocd-division/country:us/state:nm/county:mckinley
Mora County,ocd-division/country:us/state:nm/county:mora
Otero County,ocd-division/country:us/state:nm/county:otero
Quay County,ocd-division/country:us/state:nm/county:quay
Rio Arriba County,ocd-division/country:us/state:nm/county:rio_arriba
Roosevelt County,ocd-division/country:us/state:nm/county:roosevelt
San Juan County,ocd-division/country:us/state:nm/county:san_juan
San Miguel County,ocd-division/country:us/state:nm/county:san_miguel
Sandoval County,ocd-division/country:us/state:nm/county:sandoval
Santa Fe County,ocd-division/country:us/state:nm/county:santa_fe
Sierra County,ocd-division/country:us/state:nm/county:sierra
Socorro County,ocd-division/country:us/state:nm/county:socorro
Taos County,ocd-division/country:us/state:nm/county:taos
Torrance County,ocd-division/country:us/state:nm/county:torrance
Union County,ocd-division/country:us/state:nm/county:union
Valencia County,ocd-division/country:us/state:nm/county:valencia
Alamogordo city,ocd-division/country:us/state:nm/place:alamogordo
Albuquerque city,ocd-division/country:us/state:nm/place:albuquerque
Angel Fire village,ocd-division/country:us/state:nm/place:angel_fire
Artesia city,ocd-division/country:us/state:nm/place:artesia
Aztec city,ocd-division/country:us/state:nm/place:aztec
Bayard city,ocd-division/country:us/state:nm/place:bayard
Belen city,ocd-division/country:us/state:nm/place:belen
Bernalillo town,ocd-division/country:us/state:nm/place:bernalillo
Bloomfield city,ocd-division/country:us/state:nm/place:bloomfield
Bosque Farms village,ocd-division/country:us/state:nm/place:bosque_farms
Capitan village,ocd-division/country:us/state:nm/place:capitan
Carlsbad city,ocd-division/country:us/state:nm/place:carlsbad
Carrizozo town,ocd-division/country:us/state:nm/place:carrizozo
Causey village,ocd-division/country:us/state:nm/place:causey
Chama village,ocd-division/country:us/state:nm/place:chama
Cimarron village,ocd-division/country:us/state:nm/place:cimarron
Clayton town,ocd-division/country:us/state:nm/place:clayton
Cloudcroft village,ocd-division/country:us/state:nm/place:cloudcroft
Clovis city,ocd-division/country:us/state:nm/place:clovis
Columbus village,ocd-division/country:us/state:nm/place:columbus
Corona village,ocd-division/country:us/state:nm/place:corona
Corrales village,ocd-division/country:us/state:nm/place:corrales
Cuba village,ocd-division/country:us/state:nm/place:cuba
Deming city,ocd-division/country:us/state:nm/place:deming
Des Moines village,ocd-division/country:us/state:nm/place:des_moines
Dexter town,ocd-division/country:us/state:nm/place:dexter
Dora village,ocd-division/country:us/state:nm/place:dora
Eagle Nest village,ocd-division/country:us/state:nm/place:eagle_nest
Edgewood town,ocd-division/country:us/state:nm/place:edgewood
Elephant Butte city,ocd-division/country:us/state:nm/place:elephant_butte
Elida town,ocd-division/country:us/state:nm/place:elida
Encino village,ocd-division/country:us/state:nm/place:encino
Espanola city,ocd-division/country:us/state:nm/place:espanola
Estancia town,ocd-division/country:us/state:nm/place:estancia
Eunice city,ocd-division/country:us/state:nm/place:eunice
Farmington city,ocd-division/country:us/state:nm/place:farmington
Floyd village,ocd-division/country:us/state:nm/place:floyd
Folsom village,ocd-division/country:us/state:nm/place:folsom
Fort Sumner village,ocd-division/country:us/state:nm/place:fort_sumner
Gallup city,ocd-division/country:us/state:nm/place:gallup
Grady village,ocd-division/country:us/state:nm/place:grady
Grants city,ocd-division/country:us/state:nm/place:grants
Grenville village,ocd-division/country:us/state:nm/place:grenville
Hagerman town,ocd-division/country:us/state:nm/place:hagerman
Hatch village,ocd-division/country:us/state:nm/place:hatch
Hobbs city,ocd-division/country:us/state:nm/place:hobbs
Hope village,ocd-division/country:us/state:nm/place:hope
House village,ocd-division/country:us/state:nm/place:house
Hurley town,ocd-division/country:us/state:nm/place:hurley
Jal city,ocd-division/country:us/state:nm/place:jal
Jemez Springs village,ocd-division/country:us/state:nm/place:jemez_springs
Lake Arthur town,ocd-division/country:us/state:nm/place:lake_arthur
Las Cruces city,ocd-division/country:us/state:nm/place:las_cruces
Las Vegas city,ocd-division/country:us/state:nm/place:las_vegas
Logan village,ocd-division/country:us/state:nm/place:logan
Lordsburg city,ocd-division/country:us/state:nm/place:lordsburg
Los Lunas village,ocd-division/country:us/state:nm/place:los_lunas
Los Ranchos de Albuquerque village,ocd-division/country:us/state:nm/place:los_ranchos_de_albuquerque
Loving village,ocd-division/country:us/state:nm/place:loving
Lovington city,ocd-division/country:us/state:nm/place:lovington
Magdalena village,ocd-division/country:us/state:nm/place:magdalena
Maxwell village,ocd-division/country:us/state:nm/place:maxwell
Melrose village,ocd-division/country:us/state:nm/place:melrose
Mesilla town,ocd-division/country:us/state:nm/place:mesilla
Milan village,ocd-division/country:us/state:nm/place:milan
Moriarty city,ocd-division/country:us/state:nm/place:moriarty
Mosquero village,ocd-division/country:us/state:nm/place:mosquero
Mountainair town,ocd-division/country:us/state:nm/place:mountainair
Pecos village,ocd-division/country:us/state:nm/place:pecos
Peralta town,ocd-division/country:us/state:nm/place:peralta
Portales city,ocd-division/country:us/state:nm/place:portales
Questa village,ocd-division/country:us/state:nm/place:questa
Raton city,ocd-division/country:us/state:nm/place:raton
Red River town,ocd-division/country:us/state:nm/place:red_river
Reserve village,ocd-division/country:us/state:nm/place:reserve
Rio Rancho city,ocd-division/country:us/state:nm/place:rio_rancho
Roswell city,ocd-division/country:us/state:nm/place:roswell
Roy village,ocd-division/country:us/state:nm/place:roy
Ruidoso village,ocd-division/country:us/state:nm/place:ruidoso
Ruidoso Downs city,ocd-division/country:us/state:nm/place:ruidoso_downs
San Jon village,ocd-division/country:us/state:nm/place:san_jon
San Ysidro village,ocd-division/country:us/state:nm/place:san_ysidro
Santa Clara village,ocd-division/country:us/state:nm/place:santa_clara
Santa Fe city,ocd-division/country:us/state:nm/place:santa_fe
Santa Rosa city,ocd-division/country:us/state:nm/place:santa_rosa
Silver City town,ocd-division/country:us/state:nm/place:silver_city
Socorro city,ocd-division/country:us/state:nm/place:socorro
Springer town,ocd-division/country:us/state:nm/place:springer
Sunland Park city,ocd-division/country:us/state:nm/place:sunland_park
Taos town,ocd-division/country:us/state:nm/place:taos
Taos Ski Valley village,ocd-division/country:us/state:nm/place:taos_ski_valley
Tatum town,ocd-division/country:us/state:nm/place:tatum
Texico city,ocd-division/country:us/state:nm/place:texico
Tijeras village,ocd-division/country:us/state:nm/place:tijeras
Truth or Consequences city,ocd-division/country:us/state:nm/place:truth_or_consequences
Tucumcari city,ocd-division/country:us/state:nm/place:tucumcari
Tularosa village,ocd-division/country:us/state:nm/place:tularosa
Vaughn town,ocd-division/country:us/state:nm/place:vaughn
Virden village,ocd-division/country:us/state:nm/place:virden
Wagon Mound village,ocd-division/country:us/state:nm/place:wagon_mound
Willard village,ocd-division/country:us/state:nm/place:willard
Williamsburg village,ocd-division/country:us/state:nm/place:williamsburg
