ocd-division/country:us/state:nm/place:albuquerque/council_district:1,Albuquerque NM city council district 1
ocd-division/country:us/state:nm/place:albuquerque/council_district:2,Albuquerque NM city council district 2
ocd-division/country:us/state:nm/place:albuquerque/council_district:3,Albuquerque NM city council district 3
ocd-division/country:us/state:nm/place:albuquerque/council_district:4,Albuquerque NM city council district 4
ocd-division/country:us/state:nm/place:albuquerque/council_district:5,Albuquerque NM city council district 5
ocd-division/country:us/state:nm/place:albuquerque/council_district:6,Albuquerque NM city council district 6
ocd-division/country:us/state:nm/place:albuquerque/council_district:7,Albuquerque NM city council district 7
ocd-division/country:us/state:nm/place:albuquerque/council_district:8,Albuquerque NM city council district 8
ocd-division/country:us/state:nm/place:albuquerque/council_district:9,Albuquerque NM city council district 9
ocd-division/country:us/state:nm/county:bernalillo/council_district:1,Bernalillo County NM County Commission District 1
ocd-division/country:us/state:nm/county:bernalillo/council_district:2,Bernalillo County NM County Commission District 2
ocd-division/country:us/state:nm/county:bernalillo/council_district:3,Bernalillo County NM County Commission District 3
ocd-division/country:us/state:nm/county:bernalillo/council_district:4,Bernalillo County NM County Commission District 4
ocd-division/country:us/state:nm/county:bernalillo/council_district:5,Bernalillo County NM County Commission District 5
