ocd-division/country:us/state:nv/place:carson_city/school_district:carson_city_school_district,carson city school district
ocd-division/country:us/state:nv/place:carson_city/school_district:state-sponsored_charter_schools,state-sponsored charter schools
ocd-division/country:us/state:nv/county:churchill/school_district:churchill_county_school_district,churchill county school district
ocd-division/country:us/state:nv/county:clark/school_district:clark_county_school_district,clark county school district
ocd-division/country:us/state:nv/county:douglas/school_district:douglas_county_school_district,douglas county school district
ocd-division/country:us/state:nv/county:elko/school_district:elko_county_school_district,elko county school district
ocd-division/country:us/state:nv/county:esmeralda/school_district:esmeralda_county_school_district,esmeralda county school district
ocd-division/country:us/state:nv/county:eureka/school_district:eureka_county_school_district,eureka county school district
ocd-division/country:us/state:nv/county:humboldt/school_district:humboldt_county_school_district,humboldt county school district
ocd-division/country:us/state:nv/county:lander/school_district:lander_county_school_district,lander county school district
ocd-division/country:us/state:nv/county:lincoln/school_district:lincoln_county_school_district,lincoln county school district
ocd-division/country:us/state:nv/county:lyon/school_district:lyon_county_school_district,lyon county school district
ocd-division/country:us/state:nv/county:mineral/school_district:mineral_county_school_district,mineral county school district
ocd-division/country:us/state:nv/county:nye/school_district:nye_county_school_district,nye county school district
ocd-division/country:us/state:nv/county:pershing/school_district:pershing_county_school_district,pershing county school district
ocd-division/country:us/state:nv/county:storey/school_district:storey_county_school_district,storey county school district
ocd-division/country:us/state:nv/county:washoe/school_district:washoe_county_school_district,washoe county school district
ocd-division/country:us/state:nv/county:white_pine/school_district:white_pine_county_school_district,white pine county school district
