ocd-division/country:us/state:ny/county:albany,Albany County
ocd-division/country:us/state:ny/county:allegany,Allegany County
ocd-division/country:us/state:ny/county:bronx,Bronx County
ocd-division/country:us/state:ny/county:broome,Broome County
ocd-division/country:us/state:ny/county:cattaraugus,Cattaraugus County
ocd-division/country:us/state:ny/county:cayuga,Cayuga County
ocd-division/country:us/state:ny/county:chautauqua,Chautauqua County
ocd-division/country:us/state:ny/county:chemung,Chemung County
ocd-division/country:us/state:ny/county:chenango,Chenango County
ocd-division/country:us/state:ny/county:clinton,Clinton County
ocd-division/country:us/state:ny/county:columbia,Columbia County
ocd-division/country:us/state:ny/county:cortland,Cortland County
ocd-division/country:us/state:ny/county:delaware,Delaware County
ocd-division/country:us/state:ny/county:dutchess,Dutchess County
ocd-division/country:us/state:ny/county:erie,Erie County
ocd-division/country:us/state:ny/county:essex,Essex County
ocd-division/country:us/state:ny/county:franklin,Franklin County
ocd-division/country:us/state:ny/county:fulton,Fulton County
ocd-division/country:us/state:ny/county:genesee,Genesee County
ocd-division/country:us/state:ny/county:greene,Greene County
ocd-division/country:us/state:ny/county:hamilton,Hamilton County
ocd-division/country:us/state:ny/county:herkimer,Herkimer County
ocd-division/country:us/state:ny/county:jefferson,Jefferson County
ocd-division/country:us/state:ny/county:kings,Kings County
ocd-division/country:us/state:ny/county:lewis,Lewis County
ocd-division/country:us/state:ny/county:livingston,Livingston County
ocd-division/country:us/state:ny/county:madison,Madison County
ocd-division/country:us/state:ny/county:monroe,Monroe County
ocd-division/country:us/state:ny/county:montgomery,Montgomery County
ocd-division/country:us/state:ny/county:nassau,Nassau County
ocd-division/country:us/state:ny/county:new_york,New York County
ocd-division/country:us/state:ny/county:niagara,Niagara County
ocd-division/country:us/state:ny/county:oneida,Oneida County
ocd-division/country:us/state:ny/county:onondaga,Onondaga County
ocd-division/country:us/state:ny/county:ontario,Ontario County
ocd-division/country:us/state:ny/county:orange,Orange County
ocd-division/country:us/state:ny/county:orleans,Orleans County
ocd-division/country:us/state:ny/county:oswego,Oswego County
ocd-division/country:us/state:ny/county:otsego,Otsego County
ocd-division/country:us/state:ny/county:putnam,Putnam County
ocd-division/country:us/state:ny/county:queens,Queens County
ocd-division/country:us/state:ny/county:rensselaer,Rensselaer County
ocd-division/country:us/state:ny/county:richmond,Richmond County
ocd-division/country:us/state:ny/county:rockland,Rockland County
ocd-division/country:us/state:ny/county:saratoga,Saratoga County
ocd-division/country:us/state:ny/county:schenectady,Schenectady County
ocd-division/country:us/state:ny/county:schoharie,Schoharie County
ocd-division/country:us/state:ny/county:schuyler,Schuyler County
ocd-division/country:us/state:ny/county:seneca,Seneca County
ocd-division/country:us/state:ny/county:st_lawrence,St. Lawrence County
ocd-division/country:us/state:ny/county:steuben,Steuben County
ocd-division/country:us/state:ny/county:suffolk,Suffolk County
ocd-division/country:us/state:ny/county:sullivan,Sullivan County
ocd-division/country:us/state:ny/county:tioga,Tioga County
ocd-division/country:us/state:ny/county:tompkins,Tompkins County
ocd-division/country:us/state:ny/county:ulster,Ulster County
ocd-division/country:us/state:ny/county:warren,Warren County
ocd-division/country:us/state:ny/county:washington,Washington County
ocd-division/country:us/state:ny/county:wayne,Wayne County
ocd-division/country:us/state:ny/county:westchester,Westchester County
ocd-division/country:us/state:ny/county:wyoming,Wyoming County
ocd-division/country:us/state:ny/county:yates,Yates County
ocd-division/country:us/state:ny/place:adams_town,Adams town
ocd-division/country:us/state:ny/place:adams_village,Adams village
ocd-division/country:us/state:ny/place:addison_town,Addison town
ocd-division/country:us/state:ny/place:addison_village,Addison village
ocd-division/country:us/state:ny/place:afton_town,Afton town
ocd-division/country:us/state:ny/place:afton_village,Afton village
ocd-division/country:us/state:ny/place:airmont,Airmont village
