ocd-division/country:us/state:ny/county:albany/school_district:achievement_academy_charter_school,achievement academy charter school
ocd-division/country:us/state:ny/county:albany/school_district:albany_city_school_district,albany city school district
ocd-division/country:us/state:ny/county:albany/school_district:albany_community_charter_school,albany community charter school
ocd-division/country:us/state:ny/county:albany/school_district:albany_leadership_charter_high_school_for_girls,albany leadership charter high school for girls
ocd-division/country:us/state:ny/county:albany/school_district:albany_preparatory_charter_school,albany preparatory charter school
ocd-division/country:us/state:ny/county:albany/school_district:berne-knox-westerlo_central_school_district,berne-knox-westerlo central school district
ocd-division/country:us/state:ny/county:albany/school_district:bethlehem_central_school_district,bethlehem central school district
ocd-division/country:us/state:ny/county:albany/school_district:brighter_choice_charter_middle_school_for_boys,brighter choice charter middle school for boys
ocd-division/country:us/state:ny/county:albany/school_district:brighter_choice_charter_middle_school_for_girls,brighter choice charter middle school for girls
ocd-division/country:us/state:ny/county:albany/school_district:brighter_choice_charter_school_for_boys,brighter choice charter school for boys
ocd-division/country:us/state:ny/county:albany/school_district:brighter_choice_school_for_girls,brighter choice school for girls
ocd-division/country:us/state:ny/county:albany/school_district:capital_region_boces,capital region boces
ocd-division/country:us/state:ny/county:albany/school_district:cohoes_city_school_district,cohoes city school district
ocd-division/country:us/state:ny/county:albany/school_district:green_island_union_free_school_district,green island union free school district
ocd-division/country:us/state:ny/county:albany/school_district:green_tech_high_charter_school,green tech high charter school
ocd-division/country:us/state:ny/county:albany/school_district:guilderland_central_school_district,guilderland central school district
ocd-division/country:us/state:ny/county:albany/school_district:henry_johnson_charter_school,henry johnson charter school
ocd-division/country:us/state:ny/county:albany/school_district:kipp_tech_valley_charter_school,kipp tech valley charter school
ocd-division/country:us/state:ny/county:albany/school_district:menands_union_free_school_district,menands union free school district
ocd-division/country:us/state:ny/county:albany/school_district:new_york_state_office_of_mental_retardation_and_developmental_disabilities,new york state office of mental retardation and developmental disabilities
ocd-division/country:us/state:ny/county:albany/school_district:new_york_state_omh,new york state omh
ocd-division/country:us/state:ny/county:albany/school_district:nys_dept_of_corrections,nys dept of corrections
ocd-division/country:us/state:ny/county:albany/school_district:ravena-coeymans-selkirk_central_school_district,ravena-coeymans-selkirk central school district
ocd-division/country:us/state:ny/county:albany/school_district:south_colonie_central_school_district,south colonie central school district
ocd-division/country:us/state:ny/county:albany/school_district:voorheesville_central_school_district,voorheesville central school district
ocd-division/country:us/state:ny/county:albany/school_district:watervliet_city_school_district,watervliet city school district
ocd-division/country:us/state:ny/county:allegany/school_district:alfred-almond_central_school_district,alfred-almond central school district
ocd-division/country:us/state:ny/county:allegany/school_district:andover_central_school_district,andover central school district
ocd-division/country:us/state:ny/county:allegany/school_district:belfast_central_school_district,belfast central school district
ocd-division/country:us/state:ny/county:allegany/school_district:bolivar-richburg_central_school_district,bolivar-richburg central school district
ocd-division/country:us/state:ny/county:allegany/school_district:canaseraga_central_school_district,canaseraga central school district
ocd-division/country:us/state:ny/county:allegany/school_district:cuba-rushford_central_school_district,cuba-rushford central school district
ocd-division/country:us/state:ny/county:allegany/school_district:fillmore_central_school_district,fillmore central school district
ocd-division/country:us/state:ny/county:allegany/school_district:friendship_central_school_district,friendship central school district
ocd-division/country:us/state:ny/county:allegany/school_district:genesee_valley_central_school_district_at_angelica-belmont,genesee valley central school district at angelica-belmont
ocd-division/country:us/state:ny/county:allegany/school_district:scio_central_school_district,scio central school district
ocd-division/country:us/state:ny/county:allegany/school_district:wellsville_central_school_district,wellsville central school district
ocd-division/country:us/state:ny/county:allegany/school_district:whitesville_central_school_district,whitesville central school district
ocd-division/country:us/state:ny/county:bronx/school_district:academic_leadership_charter_school,academic leadership charter school
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_academy_of_promise_charter_school,bronx academy of promise charter school
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_charter_school_for_better_learning,bronx charter school for better learning
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_charter_school_for_children,bronx charter school for children
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_charter_school_for_excellence,bronx charter school for excellence
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_charter_school_for_the_arts,bronx charter school for the arts
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_community_charter_school,bronx community charter school
ocd-division/country:us/state:ny/county:bronx/school_district:bronx_global_learning_institute_for_girls_charter_school,bronx global learning institute for girls charter school
