ocd-division/country:us/state:oh/county:cuyahoga/council_district:1,Cuyahoga County Council District 1
ocd-division/country:us/state:oh/county:cuyahoga/council_district:2,Cuyahoga County Council District 2
ocd-division/country:us/state:oh/county:cuyahoga/council_district:3,Cuyahoga County Council District 3
ocd-division/country:us/state:oh/county:cuyahoga/council_district:4,Cuyahoga County Council District 4
ocd-division/country:us/state:oh/county:cuyahoga/council_district:5,Cuyahoga County Council District 5
ocd-division/country:us/state:oh/county:cuyahoga/council_district:6,Cuyahoga County Council District 6
ocd-division/country:us/state:oh/county:cuyahoga/council_district:7,Cuyahoga County Council District 7
ocd-division/country:us/state:oh/county:cuyahoga/council_district:8,Cuyahoga County Council District 8
ocd-division/country:us/state:oh/county:cuyahoga/council_district:9,Cuyahoga County Council District 9
ocd-division/country:us/state:oh/county:cuyahoga/council_district:10,Cuyahoga County Council District 10
ocd-division/country:us/state:oh/county:cuyahoga/council_district:11,Cuyahoga County Council District 11
ocd-division/country:us/state:oh/county:summit/council_district:1,Summit County Council District 1
ocd-division/country:us/state:oh/county:summit/council_district:2,Summit County Council District 2
ocd-division/country:us/state:oh/county:summit/council_district:3,Summit County Council District 3
ocd-division/country:us/state:oh/county:summit/council_district:4,Summit County Council District 4
ocd-division/country:us/state:oh/county:summit/council_district:5,Summit County Council District 5
ocd-division/country:us/state:oh/county:summit/council_district:6,Summit County Council District 6
ocd-division/country:us/state:oh/county:summit/council_district:7,Summit County Council District 7
ocd-division/country:us/state:oh/county:summit/council_district:8,Summit County Council District 8
ocd-division/country:us/state:oh/place:akron/ward:1,Akron OH City Council ward 1
ocd-division/country:us/state:oh/place:akron/ward:2,Akron OH City Council ward 2
ocd-division/country:us/state:oh/place:akron/ward:3,Akron OH City Council ward 3
ocd-division/country:us/state:oh/place:akron/ward:4,Akron OH City Council ward 4
ocd-division/country:us/state:oh/place:akron/ward:5,Akron OH City Council ward 5
ocd-division/country:us/state:oh/place:akron/ward:6,Akron OH City Council ward 6
ocd-division/country:us/state:oh/place:akron/ward:7,Akron OH City Council ward 7
ocd-division/country:us/state:oh/place:akron/ward:8,Akron OH City Council ward 8
ocd-division/country:us/state:oh/place:akron/ward:9,Akron OH City Council ward 9
ocd-division/country:us/state:oh/place:akron/ward:10,Akron OH City Council ward 10
ocd-division/country:us/state:oh/place:cleveland/ward:1,Cleveland OH - ward 1
ocd-division/country:us/state:oh/place:cleveland/ward:2,Cleveland OH - ward 2
ocd-division/country:us/state:oh/place:cleveland/ward:3,Cleveland OH - ward 3
ocd-division/country:us/state:oh/place:cleveland/ward:4,Cleveland OH - ward 4
