ocd-division/country:us/state:or/county:baker,Baker County
ocd-division/country:us/state:or/county:benton,Benton County
ocd-division/country:us/state:or/county:clackamas,Clackamas County
ocd-division/country:us/state:or/county:clatsop,Clatsop County
ocd-division/country:us/state:or/county:columbia,Columbia County
ocd-division/country:us/state:or/county:coos,Coos County
ocd-division/country:us/state:or/county:crook,Crook County
ocd-division/country:us/state:or/county:curry,Curry County
ocd-division/country:us/state:or/county:deschutes,Deschutes County
ocd-division/country:us/state:or/county:douglas,Douglas County
ocd-division/country:us/state:or/county:gilliam,Gilliam County
ocd-division/country:us/state:or/county:grant,Grant County
ocd-division/country:us/state:or/county:harney,Harney County
ocd-division/country:us/state:or/county:hood_river,Hood River County
ocd-division/country:us/state:or/county:jackson,Jackson County
ocd-division/country:us/state:or/county:jefferson,Jefferson County
ocd-division/country:us/state:or/county:josephine,Josephine County
ocd-division/country:us/state:or/county:klamath,Klamath County
ocd-division/country:us/state:or/county:lake,Lake County
ocd-division/country:us/state:or/county:lane,Lane County
ocd-division/country:us/state:or/county:lincoln,Lincoln County
ocd-division/country:us/state:or/county:linn,Linn County
ocd-division/country:us/state:or/county:malheur,Malheur County
ocd-division/country:us/state:or/county:marion,Marion County
ocd-division/country:us/state:or/county:morrow,Morrow County
ocd-division/country:us/state:or/county:multnomah,Multnomah County
ocd-division/country:us/state:or/county:polk,Polk County
ocd-division/country:us/state:or/county:sherman,Sherman County
ocd-division/country:us/state:or/county:tillamook,Tillamook County
ocd-division/country:us/state:or/county:umatilla,Umatilla County
ocd-division/country:us/state:or/county:union,Union County
ocd-division/country:us/state:or/county:wallowa,Wallowa County
ocd-division/country:us/state:or/county:wasco,Wasco County
ocd-division/country:us/state:or/county:washington,Washington County
ocd-division/country:us/state:or/county:wheeler,Wheeler County
ocd-division/country:us/state:or/county:yamhill,Yamhill County
ocd-division/country:us/state:or/place:adair_village,Adair Village city
ocd-division/country:us/state:or/place:adams,Adams city
ocd-division/country:us/state:or/place:adrian,Adrian city
ocd-division/country:us/state:or/place:albany,Albany city
ocd-division/country:us/state:or/place:amity,Amity city
ocd-division/country:us/state:or/place:antelope,Antelope city
ocd-division/country:us/state:or/place:arlington,Arlington city
ocd-division/country:us/state:or/place:ashland,Ashland city
ocd-division/country:us/state:or/place:astoria,Astoria city
ocd-division/country:us/state:or/place:athena,Athena city
ocd-division/country:us/state:or/place:aumsville,Aumsville city
ocd-division/country:us/state:or/place:aurora,Aurora city
ocd-division/country:us/state:or/place:baker_city,Baker City city
ocd-division/country:us/state:or/place:bandon,Bandon city
ocd-division/country:us/state:or/place:banks,Banks city
ocd-division/country:us/state:or/place:barlow,Barlow city
ocd-division/country:us/state:or/place:bay_city,Bay City city
ocd-division/country:us/state:or/place:beaverton,Beaverton city
ocd-division/country:us/state:or/place:bend,Bend city
ocd-division/country:us/state:or/place:boardman,Boardman city
ocd-division/country:us/state:or/place:bonanza,Bonanza town
ocd-division/country:us/state:or/place:brookings,Brookings city
ocd-division/country:us/state:or/place:brownsville,Brownsville city
ocd-division/country:us/state:or/place:burns,Burns city
ocd-division/country:us/state:or/place:butte_falls,Butte Falls town
ocd-division/country:us/state:or/place:canby,Canby city
ocd-division/country:us/state:or/place:cannon_beach,Cannon Beach city
ocd-division/country:us/state:or/place:canyon_city,Canyon City town
ocd-division/country:us/state:or/place:canyonville,Canyonville city
ocd-division/country:us/state:or/place:carlton,Carlton city
ocd-division/country:us/state:or/place:cascade_locks,Cascade Locks city
ocd-division/country:us/state:or/place:cave_junction,Cave Junction city
ocd-division/country:us/state:or/place:central_point,Central Point city
ocd-division/country:us/state:or/place:chiloquin,Chiloquin city
ocd-division/country:us/state:or/place:clatskanie,Clatskanie city
ocd-division/country:us/state:or/place:coburg,Coburg city
ocd-division/country:us/state:or/place:columbia_city,Columbia City city
ocd-division/country:us/state:or/place:condon,Condon city
ocd-division/country:us/state:or/place:coos_bay,Coos Bay city
ocd-division/country:us/state:or/place:coquille,Coquille city
ocd-division/country:us/state:or/place:cornelius,Cornelius city
ocd-division/country:us/state:or/place:corvallis,Corvallis city
ocd-division/country:us/state:or/place:cottage_grove,Cottage Grove city
ocd-division/country:us/state:or/place:cove,Cove city
ocd-division/country:us/state:or/place:creswell,Creswell city
ocd-division/country:us/state:or/place:culver,Culver city
ocd-division/country:us/state:or/place:dallas,Dallas city
ocd-division/country:us/state:or/place:damascus,Damascus city
ocd-division/country:us/state:or/place:dayton,Dayton city
ocd-division/country:us/state:or/place:dayville,Dayville town
ocd-division/country:us/state:or/place:depoe_bay,Depoe Bay city
ocd-division/country:us/state:or/place:detroit,Detroit city
ocd-division/country:us/state:or/place:donald,Donald city
ocd-division/country:us/state:or/place:drain,Drain city
ocd-division/country:us/state:or/place:dufur,Dufur city
ocd-division/country:us/state:or/place:dundee,Dundee city
ocd-division/country:us/state:or/place:dunes_city,Dunes City city
ocd-division/country:us/state:or/place:durham,Durham city
ocd-division/country:us/state:or/place:eagle_point,Eagle Point city
ocd-division/country:us/state:or/place:echo,Echo city
ocd-division/country:us/state:or/place:elgin,Elgin city
ocd-division/country:us/state:or/place:elkton,Elkton city
ocd-division/country:us/state:or/place:enterprise,Enterprise city
ocd-division/country:us/state:or/place:estacada,Estacada city
ocd-division/country:us/state:or/place:eugene,Eugene city
ocd-division/country:us/state:or/place:fairview,Fairview city
ocd-division/country:us/state:or/place:falls_city,Falls City city
ocd-division/country:us/state:or/place:florence,Florence city
ocd-division/country:us/state:or/place:forest_grove,Forest Grove city
ocd-division/country:us/state:or/place:fossil,Fossil city
ocd-division/country:us/state:or/place:garibaldi,Garibaldi city
ocd-division/country:us/state:or/place:gaston,Gaston city
ocd-division/country:us/state:or/place:gates,Gates city
ocd-division/country:us/state:or/place:gearhart,Gearhart city
ocd-division/country:us/state:or/place:gervais,Gervais city
ocd-division/country:us/state:or/place:gladstone,Gladstone city
ocd-division/country:us/state:or/place:glendale,Glendale city
ocd-division/country:us/state:or/place:gold_beach,Gold Beach city
ocd-division/country:us/state:or/place:gold_hill,Gold Hill city
ocd-division/country:us/state:or/place:granite,Granite city
ocd-division/country:us/state:or/place:grants_pass,Grants Pass city
ocd-division/country:us/state:or/place:grass_valley,Grass Valley city
ocd-division/country:us/state:or/place:gresham,Gresham city
ocd-division/country:us/state:or/place:haines,Haines city
ocd-division/country:us/state:or/place:halfway,Halfway city
ocd-division/country:us/state:or/place:halsey,Halsey city
ocd-division/country:us/state:or/place:happy_valley,Happy Valley city
ocd-division/country:us/state:or/place:harrisburg,Harrisburg city
ocd-division/country:us/state:or/place:helix,Helix city
