ocd-division/country:us/state:or/county:clatsop/council_district:1,Clatsop County District 1
ocd-division/country:us/state:or/county:clatsop/council_district:2,Clatsop County District 2
ocd-division/country:us/state:or/county:clatsop/council_district:3,Clatsop County District 3
ocd-division/country:us/state:or/county:clatsop/council_district:4,Clatsop County District 4
ocd-division/country:us/state:or/county:clatsop/council_district:5,Clatsop County District 5
ocd-division/country:us/state:or/county:hood_river/council_district:1,Hood River County District 1
ocd-division/country:us/state:or/county:hood_river/council_district:2,Hood River County District 2
ocd-division/country:us/state:or/county:hood_river/council_district:3,Hood River County District 3
ocd-division/country:us/state:or/county:hood_river/council_district:4,Hood River County District 4
ocd-division/country:us/state:or/county:lane/council_district:1,Lane County OR Board of County Commissioners District 1
ocd-division/country:us/state:or/county:lane/council_district:2,Lane County OR Board of County Commissioners District 2
ocd-division/country:us/state:or/county:lane/council_district:3,Lane County OR Board of County Commissioners District 3
ocd-division/country:us/state:or/county:lane/council_district:4,Lane County OR Board of County Commissioners District 4
ocd-division/country:us/state:or/county:lane/council_district:5,Lane County OR Board of County Commissioners District 5
ocd-division/country:us/state:or/county:multnomah/council_district:1,Multnomah County OR County Commission District 1
ocd-division/country:us/state:or/county:multnomah/council_district:2,Multnomah County OR County Commission District 2
ocd-division/country:us/state:or/county:multnomah/council_district:3,Multnomah County OR County Commission District 3
ocd-division/country:us/state:or/county:multnomah/council_district:4,Multnomah County OR County Commission District 4
ocd-division/country:us/state:or/county:washington/council_district:1,Washington County OR Board of Commissioners District 1
ocd-division/country:us/state:or/county:washington/council_district:2,Washington County OR Board of Commissioners District 2
ocd-division/country:us/state:or/county:washington/council_district:3,Washington County OR Board of Commissioners District 3
ocd-division/country:us/state:or/county:washington/council_district:4,Washington County OR Board of Commissioners District 4
ocd-division/country:us/state:or/place:eugene/ward:1,Eugene OR Ward 1
ocd-division/country:us/state:or/place:eugene/ward:2,Eugene OR Ward 2
ocd-division/country:us/state:or/place:eugene/ward:3,Eugene OR Ward 3
ocd-division/country:us/state:or/place:eugene/ward:4,Eugene OR Ward 4
ocd-division/country:us/state:or/place:eugene/ward:5,Eugene OR Ward 5
ocd-division/country:us/state:or/place:eugene/ward:6,Eugene OR Ward 6
ocd-division/country:us/state:or/place:eugene/ward:7,Eugene OR Ward 7
ocd-division/country:us/state:or/place:eugene/ward:8,Eugene OR Ward 8
ocd-division/country:us/state:or/region:oregon_metro,Oregon Metro regional government division
ocd-division/country:us/state:or/region:oregon_metro/council_district:1,Oregon Metro council district 1
ocd-division/country:us/state:or/region:oregon_metro/council_district:2,Oregon Metro council district 2
ocd-division/country:us/state:or/region:oregon_metro/council_district:3,Oregon Metro council district 3
ocd-division/country:us/state:or/region:oregon_metro/council_district:4,Oregon Metro council district 4
ocd-division/country:us/state:or/region:oregon_metro/council_district:5,Oregon Metro council district 5
ocd-division/country:us/state:or/region:oregon_metro/council_district:6,Oregon Metro council district 6
ocd-division/country:us/state:or/place:salem/ward:1,Salem OR ward 1
ocd-division/country:us/state:or/place:salem/ward:2,Salem OR ward 2
ocd-division/country:us/state:or/place:salem/ward:3,Salem OR ward 3
ocd-division/country:us/state:or/place:salem/ward:4,Salem OR ward 4
ocd-division/country:us/state:or/place:salem/ward:5,Salem OR ward 5
ocd-division/country:us/state:or/place:salem/ward:6,Salem OR ward 6
ocd-division/country:us/state:or/place:salem/ward:7,Salem OR ward 7
ocd-division/country:us/state:or/place:salem/ward:8,Salem OR ward 8
ocd-division/country:us/state:or/conservation:baker_valley,Baker Valley
ocd-division/country:us/state:or/conservation:baker_valley/district:2,Baker Valley Conservation District 2
ocd-division/country:us/state:or/conservation:baker_valley/district:5,Baker Valley Conservation District 5
ocd-division/country:us/state:or/conservation:benton,Benton
ocd-division/country:us/state:or/conservation:benton/district:2,Benton Conservation District 2
ocd-division/country:us/state:or/conservation:benton/district:3,Benton Conservation District 3
ocd-division/country:us/state:or/conservation:burnt_river/district:1,Burnt River Conservation District 1
ocd-division/country:us/state:or/conservation:burnt_river/district:zone,Burnt River Conservation District Zone
ocd-division/country:us/state:or/conservation:clackamas,Clackamas
ocd-division/country:us/state:or/conservation:clackamas/district:3,Clackamas Conservation District 3
ocd-division/country:us/state:or/conservation:clackamas/district:zone,Clackamas Conservation District Zone
ocd-division/country:us/state:or/conservation:clatsop,Clatsop
ocd-division/country:us/state:or/conservation:clatsop/district:3,Clatsop Conservation District 3
ocd-division/country:us/state:or/conservation:clatsop/district:5,Clatsop Conservation District 5
ocd-division/country:us/state:or/conservation:columbia,Columbia
ocd-division/country:us/state:or/conservation:columbia/district:2,Columbia Conservation District 2
ocd-division/country:us/state:or/conservation:columbia/district:4,Columbia Conservation District 4
ocd-division/country:us/state:or/conservation:columbia/district:5,Columbia Conservation District 5
ocd-division/country:us/state:or/conservation:coos/district:1,Coos Conservation District 1
ocd-division/country:us/state:or/conservation:coos/district:3,Coos Conservation District 3
ocd-division/country:us/state:or/conservation:coos/district:5,Coos Conservation District 5
ocd-division/country:us/state:or/conservation:crook_county,Crook County
ocd-division/country:us/state:or/conservation:crook_county/district:1,Crook County Conservation District 1
ocd-division/country:us/state:or/conservation:curry_county,Curry County
ocd-division/country:us/state:or/conservation:curry_county/district:3,Curry County Conservation District 3
ocd-division/country:us/state:or/conservation:deschutes,Deschutes
ocd-division/country:us/state:or/conservation:deschutes/district:2,Deschutes Conservation District 2
ocd-division/country:us/state:or/conservation:deschutes/district:5,Deschutes Conservation District 5
ocd-division/country:us/state:or/conservation:douglas/district:2,Douglas Conservation District 2
ocd-division/country:us/state:or/conservation:east_multnomah,East Multnomah
ocd-division/country:us/state:or/conservation:east_multnomah/district:1,East Multnomah Conservation District 1
ocd-division/country:us/state:or/conservation:east_multnomah/district:2,East Multnomah Conservation District 2
