ocd-division/country:us/state:or/county:baker/school_district:baker_sd_5j,baker sd 5j
ocd-division/country:us/state:or/county:baker/school_district:burnt_river_sd_30j,burnt river sd 30j
ocd-division/country:us/state:or/county:baker/school_district:huntington_sd_16j,huntington sd 16j
ocd-division/country:us/state:or/county:baker/school_district:pine_eagle_sd_61,pine eagle sd 61
ocd-division/country:us/state:or/county:benton/school_district:alsea_sd_7j,alsea sd 7j
ocd-division/country:us/state:or/county:benton/school_district:corvallis_sd_509j,corvallis sd 509j
ocd-division/country:us/state:or/county:benton/school_district:monroe_sd_1j,monroe sd 1j
ocd-division/country:us/state:or/county:benton/school_district:philomath_sd_17j,philomath sd 17j
ocd-division/country:us/state:or/county:clackamas/school_district:canby_sd_86,canby sd 86
ocd-division/country:us/state:or/county:clackamas/school_district:clackamas_esd,clackamas esd
ocd-division/country:us/state:or/county:clackamas/school_district:colton_sd_53,colton sd 53
ocd-division/country:us/state:or/county:clackamas/school_district:estacada_sd_108,estacada sd 108
ocd-division/country:us/state:or/county:clackamas/school_district:gladstone_sd_115,gladstone sd 115
ocd-division/country:us/state:or/county:clackamas/school_district:lake_oswego_sd_7j,lake oswego sd 7j
ocd-division/country:us/state:or/county:clackamas/school_district:molalla_river_sd_35,molalla river sd 35
ocd-division/country:us/state:or/county:clackamas/school_district:north_clackamas_sd_12,north clackamas sd 12
ocd-division/country:us/state:or/county:clackamas/school_district:oregon_city_sd_62,oregon city sd 62
ocd-division/country:us/state:or/county:clackamas/school_district:oregon_trail_sd_46,oregon trail sd 46
ocd-division/country:us/state:or/county:clackamas/school_district:west_linn-wilsonville_sd_3j,west linn-wilsonville sd 3j
ocd-division/country:us/state:or/county:clatsop/school_district:astoria_sd_1,astoria sd 1
ocd-division/country:us/state:or/county:clatsop/school_district:jewell_sd_8,jewell sd 8
ocd-division/country:us/state:or/county:clatsop/school_district:knappa_sd_4,knappa sd 4
ocd-division/country:us/state:or/county:clatsop/school_district:seaside_sd_10,seaside sd 10
ocd-division/country:us/state:or/county:clatsop/school_district:warrenton-hammond_sd_30,warrenton-hammond sd 30
ocd-division/country:us/state:or/county:columbia/school_district:clatskanie_sd_6j,clatskanie sd 6j
ocd-division/country:us/state:or/county:columbia/school_district:rainier_sd_13,rainier sd 13
ocd-division/country:us/state:or/county:columbia/school_district:scappoose_sd_1j,scappoose sd 1j
ocd-division/country:us/state:or/county:columbia/school_district:st_helens_sd_502,st helens sd 502
ocd-division/country:us/state:or/county:columbia/school_district:vernonia_sd_47j,vernonia sd 47j
ocd-division/country:us/state:or/county:coos/school_district:bandon_sd_54,bandon sd 54
ocd-division/country:us/state:or/county:coos/school_district:coos_bay_sd_9,coos bay sd 9
ocd-division/country:us/state:or/county:coos/school_district:coquille_sd_8,coquille sd 8
ocd-division/country:us/state:or/county:coos/school_district:myrtle_point_sd_41,myrtle point sd 41
ocd-division/country:us/state:or/county:coos/school_district:north_bend_sd_13,north bend sd 13
ocd-division/country:us/state:or/county:coos/school_district:powers_sd_31,powers sd 31
ocd-division/country:us/state:or/county:coos/school_district:south_coast_esd,south coast esd
ocd-division/country:us/state:or/county:crook/school_district:crook_county_sd,crook county sd
ocd-division/country:us/state:or/county:curry/school_district:brookings-harbor_sd_17c,brookings-harbor sd 17c
