ocd-division/country:us/state:pa/county:adams/school_district:bermudian_springs_sd,bermudian springs sd
ocd-division/country:us/state:pa/county:adams/school_district:conewago_valley_sd,conewago valley sd
ocd-division/country:us/state:pa/county:adams/school_district:fairfield_area_sd,fairfield area sd
ocd-division/country:us/state:pa/county:adams/school_district:gettysburg_area_sd,gettysburg area sd
ocd-division/country:us/state:pa/county:adams/school_district:gettysburg_montessori_charter_school,gettysburg montessori charter school
ocd-division/country:us/state:pa/county:adams/school_district:littlestown_area_sd,littlestown area sd
ocd-division/country:us/state:pa/county:adams/school_district:upper_adams_sd,upper adams sd
ocd-division/country:us/state:pa/county:adams/school_district:vida_charter_school,vida charter school
ocd-division/country:us/state:pa/county:allegheny/school_district:a_w_beattie_career_center,a w beattie career center
ocd-division/country:us/state:pa/county:allegheny/school_district:academy_cs,academy cs
ocd-division/country:us/state:pa/county:allegheny/school_district:allegheny_valley_sd,allegheny valley sd
ocd-division/country:us/state:pa/county:allegheny/school_district:avonworth_sd,avonworth sd
ocd-division/country:us/state:pa/county:allegheny/school_district:baldwin-whitehall_sd,baldwin-whitehall sd
ocd-division/country:us/state:pa/county:allegheny/school_district:bethel_park_sd,bethel park sd
ocd-division/country:us/state:pa/county:allegheny/school_district:brentwood_borough_sd,brentwood borough sd
ocd-division/country:us/state:pa/county:allegheny/school_district:career_connections_chs,career connections chs
ocd-division/country:us/state:pa/county:allegheny/school_district:carlynton_sd,carlynton sd
ocd-division/country:us/state:pa/county:allegheny/school_district:chartiers_valley_sd,chartiers valley sd
ocd-division/country:us/state:pa/county:allegheny/school_district:city_chs,city chs
ocd-division/country:us/state:pa/county:allegheny/school_district:clairton_city_sd,clairton city sd
ocd-division/country:us/state:pa/county:allegheny/school_district:cornell_sd,cornell sd
ocd-division/country:us/state:pa/county:allegheny/school_district:deer_lakes_sd,deer lakes sd
ocd-division/country:us/state:pa/county:allegheny/school_district:duquesne_city_sd,duquesne city sd
ocd-division/country:us/state:pa/county:allegheny/school_district:east_allegheny_sd,east allegheny sd
ocd-division/country:us/state:pa/county:allegheny/school_district:elizabeth_forward_sd,elizabeth forward sd
ocd-division/country:us/state:pa/county:allegheny/school_district:environmental_charter_school_at_frick_park,environmental charter school at frick park
ocd-division/country:us/state:pa/county:allegheny/school_district:forbes_road_ctc,forbes road ctc
ocd-division/country:us/state:pa/county:allegheny/school_district:fox_chapel_area_sd,fox chapel area sd
ocd-division/country:us/state:pa/county:allegheny/school_district:gateway_sd,gateway sd
ocd-division/country:us/state:pa/county:allegheny/school_district:hampton_township_sd,hampton township sd
ocd-division/country:us/state:pa/county:allegheny/school_district:highlands_sd,highlands sd
ocd-division/country:us/state:pa/county:allegheny/school_district:keystone_oaks_sd,keystone oaks sd
ocd-division/country:us/state:pa/county:allegheny/school_district:manchester_academic_cs,manchester academic cs
