ocd-division/country:us/state:pa/place:harrisburg/council_district:1,Harrisburg PA city council district 1
ocd-division/country:us/state:pa/place:harrisburg/council_district:2,Harrisburg PA city council district 2
ocd-division/country:us/state:pa/place:harrisburg/council_district:3,Harrisburg PA city council district 3
ocd-division/country:us/state:pa/place:harrisburg/council_district:4,Harrisburg PA city council district 4
ocd-division/country:us/state:pa/place:harrisburg/council_district:5,Harrisburg PA city council district 5
ocd-division/country:us/state:pa/place:harrisburg/council_district:6,Harrisburg PA city council district 6
ocd-division/country:us/state:pa/place:harrisburg/council_district:7,Harrisburg PA city council district 7
ocd-division/country:us/state:pa/place:philadelphia/council_district:1,Philadelphia PA city council district 1
ocd-division/country:us/state:pa/place:philadelphia/council_district:2,Philadelphia PA city council district 2
ocd-division/country:us/state:pa/place:philadelphia/council_district:3,Philadelphia PA city council district 3
ocd-division/country:us/state:pa/place:philadelphia/council_district:4,Philadelphia PA city council district 4
ocd-division/country:us/state:pa/place:philadelphia/council_district:5,Philadelphia PA city council district 5
ocd-division/country:us/state:pa/place:philadelphia/council_district:6,Philadelphia PA city council district 6
ocd-division/country:us/state:pa/place:philadelphia/council_district:7,Philadelphia PA city council district 7
ocd-division/country:us/state:pa/place:philadelphia/council_district:8,Philadelphia PA city council district 8
ocd-division/country:us/state:pa/place:philadelphia/council_district:9,Philadelphia PA city council district 9
ocd-division/country:us/state:pa/place:philadelphia/council_district:10,Philadelphia PA city council district 10
ocd-division/country:us/state:pa/place:pittsburgh/council_district:1,Pittsburgh PA city council district 1
ocd-division/country:us/state:pa/place:pittsburgh/council_district:2,Pittsburgh PA city council district 2
ocd-division/country:us/state:pa/place:pittsburgh/council_district:3,Pittsburgh PA city council district 3
ocd-division/country:us/state:pa/place:pittsburgh/council_district:4,Pittsburgh PA city council district 4
ocd-division/country:us/state:pa/place:pittsburgh/council_district:5,Pittsburgh PA city council district 5
ocd-division/country:us/state:pa/place:pittsburgh/council_district:6,Pittsburgh PA city council district 6
ocd-division/country:us/state:pa/place:pittsburgh/council_district:7,Pittsburgh PA city council district 7
ocd-division/country:us/state:pa/place:pittsburgh/council_district:8,Pittsburgh PA city council district 8
ocd-division/country:us/state:pa/place:pittsburgh/council_district:9,Pittsburgh PA city council district 9
